SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2004-05,2004-11-03,NNE,HEA,NNE,3.43,0,0,0.0,0,0,0.0,0,0,0.0,3,4,0.75,0,0,0,0,0,0,0,1,3,2.2,0,0.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2,187,121,9.5
2004-05,2004-11-05,NNE,BUL,BUL,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2004-05,2004-11-06,NNE,SUN,NNE,6.55,0,1,0.0,0,1,0.0,0,0,0.0,0,2,0.0,0,2,2,0,1,0,0,0,0,0.1,-9,0.0,0.0,0.0,2.0,0.0,44.2,18.0,0.0,8.0,0.0,0.0,12.5,0,112,-9.2
2004-05,2004-11-09,NNE,BLA,NNE,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2004-05,2004-11-10,NNE,76E,76E,5.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-2.1,-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,16.5,0,122,-30.7
2004-05,2004-11-13,NNE,MAV,NNE,1.72,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,120,-6.7
2004-05,2004-11-15,NNE,ROC,NNE,0.53,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,102,-7.3
2004-05,2004-11-17,NNE,SUP,NNE,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2004-05,2004-11-20,NNE,WIZ,NNE,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2004-05,2004-11-23,NNE,NUG,NUG,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2004-05,2004-11-25,NNE,CLI,CLI,1.33,1,1,1.0,1,1,1.0,0,0,0.0,0,1,0.0,0,0,0,0,0,0,0,0,2,1.3,2,0.694,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.2,139,123,22.2
2004-05,2004-11-26,NNE,SUP,SUP,13.18,2,3,0.667,2,3,0.667,0,0,0.0,1,2,0.5,2,1,3,0,0,1,2,3,5,2.5,-3,0.644,0.667,0.0,0.667,16.3,8.4,12.4,0.0,0.0,5.7,34.0,19.7,92,114,-4.9
2004-05,2004-11-28,NNE,BLA,BLA,11.75,0,1,0.0,0,1,0.0,0,0,0.0,4,4,1.0,2,1,3,0,0,3,0,4,4,5.5,2,0.725,0.0,0.0,4.0,17.8,8.7,13.2,0.0,0.0,18.5,0.0,11.5,172,94,7.7
2004-05,2004-11-30,NNE,BOB,NNE,12.1,1,4,0.25,1,4,0.25,0,0,0.0,2,2,1.0,2,1,3,0,0,2,2,2,4,1.9,-1,0.41,0.25,0.0,0.5,28.6,8.9,16.4,0.0,0.0,10.8,29.1,27.3,83,103,-12.0
2004-05,2004-12-01,NNE,WIZ,WIZ,13.65,1,3,0.333,1,3,0.333,0,0,0.0,1,2,0.5,1,1,2,1,0,1,0,3,3,2.1,-5,0.387,0.333,0.0,0.667,7.5,7.6,7.5,20.7,0.0,5.3,0.0,13.7,96,108,-1.1
2004-05,2004-12-04,NNE,HAW,NNE,20.43,5,9,0.556,5,9,0.556,0,0,0.0,5,6,0.833,2,4,6,0,1,1,0,5,15,12.6,5,0.644,0.556,0.0,0.667,16.6,23.4,20.6,0.0,2.8,4.3,0.0,29.1,141,93,2.1
2004-05,2004-12-06,NNE,RAP,NNE,17.4,1,5,0.2,1,5,0.2,0,0,0.0,1,1,1.0,2,7,9,3,1,1,0,3,3,6.0,-6,0.276,0.2,0.0,0.2,11.5,41.2,26.2,26.3,3.1,4.8,0.0,13.4,102,81,5.2
2004-05,2004-12-07,NNE,CAV,CAV,8.27,1,4,0.25,1,4,0.25,0,0,0.0,3,4,0.75,2,0,2,0,1,0,0,2,5,3.8,-1,0.434,0.25,0.0,1.0,41.4,0.0,19.4,0.0,6.8,0.0,0.0,35.0,112,110,-4.3
2004-05,2004-12-10,NNE,NHO,NNE,14.45,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,0,0,1,3,3,2,-0.8,-14,1.0,1.0,0.0,0.0,11.4,8.2,9.5,0.0,0.0,5.7,75.0,13.8,46,104,-13.5
2004-05,2004-12-11,NNE,HAW,HAW,20.3,4,7,0.571,4,7,0.571,0,0,0.0,2,3,0.667,3,4,7,1,1,2,2,4,10,9.1,-5,0.601,0.571,0.0,0.429,17.6,21.8,19.8,10.0,2.6,6.9,19.4,22.5,110,92,3.5
2004-05,2004-12-14,NNE,KNI,NNE,12.92,2,5,0.4,2,5,0.4,0,0,0.0,0,0,0.0,0,2,2,1,0,1,2,2,4,0.5,-15,0.4,0.4,0.0,0.0,0.0,19.5,8.7,20.0,0.0,8.0,28.6,25.0,63,91,-6.6
2004-05,2004-12-17,NNE,GRI,GRI,15.88,2,6,0.333,2,6,0.333,0,0,0.0,0,0,0.0,0,0,0,1,1,1,1,5,4,0.0,-14,0.333,0.333,0.0,0.0,0.0,0.0,0.0,12.5,3.7,6.8,14.3,23.2,65,102,-10.9
2004-05,2004-12-19,NNE,RAP,RAP,27.9,6,8,0.75,6,8,0.75,0,0,0.0,3,4,0.75,2,2,4,4,0,1,1,5,15,13.9,0,0.768,0.75,0.0,0.5,13.2,11.4,12.2,26.7,0.0,3.7,9.3,19.7,151,131,5.7
2004-05,2004-12-21,NNE,BOB,BOB,28.07,4,9,0.444,4,9,0.444,0,0,0.0,5,8,0.625,3,9,12,2,0,3,4,3,13,10.2,6,0.519,0.444,0.0,0.889,15.6,30.3,24.5,14.8,0.0,7.7,24.2,28.2,91,90,-2.7
2004-05,2004-12-22,NNE,CAV,NNE,33.02,4,8,0.5,4,8,0.5,0,0,0.0,0,0,0.0,4,4,8,1,0,2,3,4,8,5.5,4,0.5,0.5,0.0,0.0,12.9,13.2,13.1,5.2,0.0,4.0,27.3,16.0,87,105,-6.4
2004-05,2004-12-27,NNE,PIS,PIS,45.95,5,12,0.417,5,12,0.417,0,0,0.0,3,6,0.5,2,7,9,1,0,1,2,5,13,6.3,-19,0.444,0.417,0.0,0.5,4.3,21.2,11.3,4.6,0.0,1.9,12.0,16.7,84,102,-4.2
2004-05,2004-12-28,NNE,BUL,BUL,39.8,6,11,0.545,6,11,0.545,0,0,0.0,5,6,0.833,2,2,4,2,0,1,3,5,17,10.4,14,0.623,0.545,0.0,0.545,5.5,7.5,6.3,11.0,0.0,2.3,18.0,19.5,108,95,-0.4
2004-05,2004-12-30,NNE,PAC,NNE,15.7,2,5,0.4,2,5,0.4,0,0,0.0,0,0,0.0,1,0,1,0,0,1,0,6,4,0.3,-11,0.4,0.4,0.0,0.0,6.8,0.0,3.5,0.0,0.0,6.0,0.0,15.4,90,106,-10.0
2004-05,2005-01-01,NNE,KNI,KNI,41.3,5,7,0.714,5,7,0.714,0,0,0.0,2,4,0.5,3,4,7,2,1,4,0,1,12,16.4,9,0.685,0.714,0.0,0.571,9.5,12.0,10.8,7.5,1.3,8.5,0.0,10.5,151,96,6.5
2004-05,2005-01-04,NNE,WIZ,WIZ,31.07,4,7,0.571,4,7,0.571,0,0,0.0,1,2,0.5,1,3,4,5,0,1,3,4,9,6.5,-11,0.571,0.571,0.0,0.286,4.8,10.8,8.3,25.1,0.0,2.8,27.6,16.7,97,121,-1.0
2004-05,2005-01-05,NNE,BUC,BUC,15.05,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0.0,1,2,3,0,1,0,2,5,0,-3.8,-22,0.0,0.0,0.0,0.0,6.8,20.6,12.3,0.0,3.6,0.0,40.0,14.9,9,104,-22.6
2004-05,2005-01-07,NNE,WAR,NNE,41.57,4,13,0.308,4,13,0.308,0,0,0.0,5,6,0.833,4,4,8,2,2,1,1,5,13,10.2,20,0.416,0.308,0.0,0.462,12.0,10.0,10.9,8.9,2.6,2.0,6.0,18.5,100,82,-1.1
2004-05,2005-01-08,NNE,MAG,MAG,17.55,4,9,0.444,4,9,0.444,0,0,0.0,0,0,0.0,4,2,6,0,1,0,1,5,8,4.7,-10,0.444,0.444,0.0,0.0,22.0,12.6,17.6,0.0,2.9,0.0,10.0,23.7,102,115,-7.2
2004-05,2005-01-11,NNE,PIS,NNE,38.47,4,8,0.5,4,8,0.5,0,0,0.0,2,2,1.0,3,2,5,0,1,1,1,5,10,7.4,4,0.563,0.5,0.0,0.25,8.1,6.8,7.5,0.0,1.5,2.0,10.1,12.3,115,110,-3.2
2004-05,2005-01-13,NNE,ROC,ROC,44.98,7,14,0.5,7,14,0.5,0,0,0.0,1,2,0.5,3,7,10,4,0,0,1,2,15,12.8,-6,0.504,0.5,0.0,0.143,7.9,20.6,13.9,19.0,0.0,0.0,6.3,17.7,103,100,1.3
2004-05,2005-01-15,NNE,MAV,MAV,32.8,5,9,0.556,5,9,0.556,0,0,0.0,3,5,0.6,4,1,5,0,1,2,2,4,13,9.8,-3,0.58,0.556,0.0,0.556,11.0,3.3,7.5,0.0,1.5,4.9,15.2,17.3,106,107,-1.9
2004-05,2005-01-17,NNE,HAW,HAW,33.45,4,8,0.5,4,8,0.5,0,0,0.0,4,4,1.0,4,5,9,1,3,2,1,6,12,14.0,3,0.615,0.5,0.0,0.5,12.3,16.0,14.1,5.4,4.8,4.6,9.3,15.5,128,88,4.4
2004-05,2005-01-19,NNE,BUC,NNE,33.0,6,13,0.462,6,13,0.462,0,0,0.0,4,4,1.0,0,4,4,3,0,3,1,5,16,11.7,-1,0.542,0.462,0.0,0.308,0.0,13.5,7.6,14.4,0.0,6.9,6.3,25.0,107,104,-1.6
2004-05,2005-01-21,NNE,CEL,NNE,34.53,6,14,0.429,6,14,0.429,0,0,0.0,1,3,0.333,3,9,12,1,0,0,3,4,13,5.7,3,0.424,0.429,0.0,0.214,13.6,29.1,22.7,5.8,0.0,0.0,16.4,25.8,84,109,-10.4
2004-05,2005-01-23,NNE,SUN,SUN,29.85,4,9,0.444,4,9,0.444,0,0,0.0,4,4,1.0,1,1,2,1,0,0,1,4,12,6.4,-7,0.558,0.444,0.0,0.444,3.8,4.5,4.1,5.6,0.0,0.0,8.5,18.5,116,133,-6.4
2004-05,2005-01-25,NNE,KIN,KIN,30.05,3,7,0.429,3,7,0.429,0,0,0.0,2,3,0.667,5,2,7,1,0,0,2,4,8,5.1,-14,0.481,0.429,0.0,0.429,18.6,11.0,15.6,5.3,0.0,0.0,19.4,15.9,101,131,-9.2
2004-05,2005-01-26,NNE,WAR,WAR,37.28,4,13,0.308,4,13,0.308,0,0,0.0,5,8,0.625,3,7,10,3,0,2,1,6,13,8.6,26,0.393,0.308,0.0,0.615,11.8,21.2,17.1,10.1,0.0,4.3,5.7,22.2,105,111,-9.0
2004-05,2005-01-28,NNE,LAK,LAK,28.92,5,9,0.556,5,9,0.556,0,0,0.0,1,2,0.5,1,4,5,0,1,2,0,5,11,8.6,-3,0.557,0.556,0.0,0.222,4.6,14.1,10.0,0.0,1.8,5.1,0.0,16.6,111,111,-4.7
2004-05,2005-01-29,NNE,JAZ,JAZ,31.57,6,10,0.6,6,10,0.6,0,0,0.0,1,2,0.5,1,1,2,1,2,1,1,5,13,9.4,4,0.597,0.6,0.0,0.2,4.7,3.3,3.8,5.4,3.4,2.1,8.4,19.3,110,94,-2.4
2004-05,2005-02-01,NNE,BUL,NNE,33.63,4,8,0.5,4,8,0.5,0,0,0.0,4,4,1.0,3,4,7,1,0,1,0,5,12,10.7,21,0.615,0.5,0.0,0.5,13.2,14.9,14.1,4.5,0.0,2.5,0.0,13.9,144,110,-2.8
2004-05,2005-02-02,NNE,CEL,CEL,11.82,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,0,0,0.2,-14,0.0,0.0,0.0,0.0,0.0,36.4,15.6,0.0,0.0,0.0,0.0,3.9,0,123,-9.8
