SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2013-14,2013-10-30,GRI,SPU,SPU,4.77,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0.0,1,1,2,1,0,0,1,0,2,1.0,4,0.333,0.333,0.0,0.0,21.4,27.2,24.0,34.8,0.0,0.0,25.0,35.5,72,109,-6.1
2013-14,2013-11-01,GRI,PIS,GRI,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2013-14,2013-11-02,GRI,MAV,MAV,6.07,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,1.6,-4,1.0,1.0,0.0,0.0,0.0,16.5,8.2,0.0,0.0,0.0,0.0,6.9,200,119,-0.9
2013-14,2013-11-04,GRI,CEL,GRI,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2013-14,2013-11-06,GRI,PEL,GRI,10.15,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0.0,0,0,0,2,0,0,4,3,2,-3.5,6,0.333,0.333,0.0,0.0,0.0,0.0,0.0,32.3,0.0,0.0,57.1,34.8,41,125,-32.0
2013-14,2013-11-09,GRI,WAR,GRI,22.67,1,6,0.167,1,4,0.25,0,2,0.0,0,0,0.0,0,2,2,5,1,1,4,2,2,-0.8,10,0.167,0.167,0.333,0.0,0.0,9.4,5.5,26.5,2.2,4.4,40.0,20.0,48,93,-10.2
2013-14,2013-11-11,GRI,PAC,PAC,25.18,2,5,0.4,2,5,0.4,0,0,0.0,0,3,0.0,0,2,2,6,1,0,1,3,4,3.7,-11,0.316,0.4,0.0,0.6,0.0,11.2,5.0,42.1,2.2,0.0,13.7,14.9,80,112,-4.3
2013-14,2013-11-13,GRI,RAP,GRI,4.92,0,0,0.0,0,0,0.0,0,0,0.0,1,2,0.5,0,1,1,1,0,0,2,0,1,-0.4,-4,0.568,0.0,0.0,0.0,0.0,25.7,12.7,27.9,0.0,0.0,69.4,26.4,47,118,-20.5
2013-14,2013-11-15,GRI,LAK,LAK,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2013-14,2013-11-17,GRI,KIN,KIN,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2013-14,2013-11-18,GRI,CLI,CLI,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2013-14,2013-11-20,GRI,WAR,WAR,3.6,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,2,0,-2.2,2,0.0,0.0,0.0,0.0,0.0,37.7,16.2,0.0,0.0,0.0,50.0,28.8,0,91,-47.0
