SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2002-03,2002-10-30,NUG,TIM,TIM,28.78,3,7,0.429,0,3,0.0,3,4,0.75,0,0,0.0,1,1,2,3,0,2,0,5,9,7.8,19,0.643,0.643,0.571,0.0,3.8,4.0,3.9,19.1,0.0,4.6,0.0,10.9,146,89,8.3
2002-03,2002-11-01,NUG,ROC,NUG,18.77,4,9,0.444,3,6,0.5,1,3,0.333,1,2,0.5,1,1,2,1,0,0,1,2,10,4.8,0,0.506,0.5,0.333,0.222,5.6,5.9,5.7,12.7,0.0,0.0,9.2,26.5,96,106,-1.6
2002-03,2002-11-02,NUG,BLA,BLA,6.9,1,2,0.5,0,0,0.0,1,2,0.5,0,0,0.0,0,0,0,0,1,0,3,1,3,-0.4,1,0.75,0.75,1.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,60.0,34.1,47,87,-12.1
2002-03,2002-11-05,NUG,HAW,NUG,6.42,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,3,0,0,-2.3,-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,0.0,100.0,21.2,12,124,-25.5
2002-03,2002-11-07,NUG,PIS,NUG,10.82,0,3,0.0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-2.2,-12,0.0,0.0,0.333,0.0,0.0,12.5,5.4,0.0,0.0,0.0,0.0,12.8,0,110,-17.3
2002-03,2002-11-09,NUG,GRI,NUG,9.07,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,1,3,4,2,0,0,2,1,0,-0.8,6,0.0,0.0,0.5,0.0,10.7,34.0,22.0,32.3,0.0,0.0,50.0,18.1,28,76,-11.3
2002-03,2002-11-13,NUG,SUN,NUG,4.78,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.9,0.0,0.0,0.0,0.0,200,99,3.3
2002-03,2002-11-15,NUG,RAP,RAP,3.3,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,0,104,-16.0
2002-03,2002-11-16,NUG,PIS,PIS,24.45,1,5,0.2,1,3,0.333,0,2,0.0,0,0,0.0,1,2,3,1,0,0,2,2,2,-1.9,-9,0.2,0.2,0.4,0.0,6.3,12.1,9.2,10.5,0.0,0.0,28.6,15.3,39,95,-8.5
2002-03,2002-11-18,NUG,NNE,NNE,20.45,3,6,0.5,2,4,0.5,1,2,0.5,0,0,0.0,2,0,2,0,4,1,0,1,7,9.7,-1,0.583,0.583,0.333,0.0,10.7,0.0,6.7,0.0,10.1,4.2,0.0,12.5,142,90,13.4
