SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-10-31,WIZ,MAG,MAG,7.22,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,1,2,3,2,0,0,0,2,0,0.5,-7,0.0,0.0,0.0,0.0,18.0,31.9,25.4,41.6,0.0,0.0,0.0,12.6,69,98,-0.5
2000-01,2000-11-01,WIZ,CHO,CHO,6.17,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,4,2,-0.9,-1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,16.8,68,93,-16.1
2000-01,2000-11-03,WIZ,KNI,WIZ,11.25,1,5,0.2,1,5,0.2,0,0,0.0,3,4,0.75,2,2,4,0,0,0,0,0,5,3.5,-4,0.37,0.2,0.0,0.8,19.8,21.3,20.5,0.0,0.0,0.0,0.0,30.0,93,96,-2.6
2000-01,2000-11-04,WIZ,RAP,RAP,13.4,1,4,0.25,1,4,0.25,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,3,2,-2.3,-10,0.25,0.25,0.0,0.0,0.0,9.0,4.1,0.0,0.0,0.0,20.0,15.6,41,113,-17.7
2000-01,2000-11-07,WIZ,BUL,BUL,9.45,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,1,4,5,0,1,1,0,2,0,2.1,-6,0.0,0.0,0.0,0.0,9.2,44.4,25.2,0.0,5.8,8.2,0.0,4.6,50,64,-1.0
2000-01,2000-11-08,WIZ,NNE,WIZ,3.57,0,0,0.0,0,0,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,1,1,1,-0.8,-8,0.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.2,27.8,53,110,-21.8
2000-01,2000-11-10,WIZ,PAC,WIZ,3.27,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,104,-4.7
2000-01,2000-11-11,WIZ,CAV,CAV,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2000-01,2000-11-15,WIZ,CEL,CEL,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2000-01,2000-11-16,WIZ,SPU,WIZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2000-01,2000-11-18,WIZ,CEL,WIZ,2.88,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1.7,-4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,200,112,6.6
2000-01,2000-11-21,WIZ,BLA,WIZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2000-01,2000-11-24,WIZ,PAC,PAC,3.48,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,5,0.0,0.0,0.0,0.0,0.0,44.4,19.0,0.0,0.0,0.0,0.0,0.0,0,102,-4.4
2000-01,2000-11-25,WIZ,BUC,WIZ,2.97,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,113,-11.3
2000-01,2000-12-02,WIZ,HEA,WIZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2000-01,2000-12-03,WIZ,PIS,PIS,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2000-01,2000-12-06,WIZ,CLI,WIZ,5.52,0,1,0.0,0,1,0.0,0,0,0.0,2,2,1.0,1,0,1,0,0,0,1,1,2,0.6,2,0.532,0.0,0.0,2.0,19.0,0.0,8.6,0.0,0.0,0.0,34.7,21.8,88,110,-12.7
2000-01,2000-12-07,WIZ,TIM,TIM,1.2,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1.7,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,200,117,35.0
2000-01,2000-12-09,WIZ,BUC,BUC,2.07,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,112,-14.7
2000-01,2000-12-13,WIZ,76E,WIZ,0.83,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.7,0,114,-42.7
2000-01,2000-12-15,WIZ,CHO,WIZ,4.07,2,3,0.667,2,3,0.667,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,4,3.3,5,0.667,0.667,0.0,0.0,0.0,64.9,30.4,0.0,0.0,0.0,0.0,33.4,127,104,13.6
2000-01,2000-12-17,WIZ,CLI,CLI,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2000-01,2000-12-19,WIZ,KIN,KIN,8.98,1,4,0.25,1,4,0.25,0,0,0.0,1,2,0.5,1,1,2,1,1,0,0,1,3,2.5,-2,0.307,0.25,0.0,0.5,9.2,9.7,9.4,21.6,5.4,0.0,0.0,22.6,85,102,3.2
