SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2023-24,2023-11-04,BUL,NUG,NUG,3.18,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,138,-9.5
2023-24,2023-11-15,BUL,MAG,BUL,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2023-24,2023-11-30,BUL,BUC,BUL,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2023-24,2024-01-30,BUL,RAP,BUL,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2023-24,2024-01-31,BUL,HOR,HOR,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2023-24,2024-02-03,BUL,KIN,BUL,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2023-24,2024-02-06,BUL,TIM,BUL,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2023-24,2024-02-08,BUL,GRI,GRI,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2023-24,2024-02-14,BUL,CAV,CAV,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2023-24,2024-02-22,BUL,CEL,BUL,2.55,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1.4,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0,137,-40.5
2023-24,2024-02-25,BUL,PEL,PEL,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2023-24,2024-02-27,BUL,PIS,BUL,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2023-24,2024-02-28,BUL,CAV,BUL,27.55,3,4,0.75,1,2,0.5,2,2,1.0,2,2,1.0,0,6,6,0,0,0,2,1,10,7.8,16,1.025,1.0,0.5,0.5,0.0,23.4,11.2,0.0,0.0,0.0,29.1,10.1,128,112,0.3
2023-24,2024-03-01,BUL,BUC,BUL,16.17,2,7,0.286,0,2,0.0,2,5,0.4,0,0,0.0,0,4,4,1,0,0,0,2,6,3.0,-12,0.429,0.429,0.714,0.0,0.0,24.7,12.8,9.9,0.0,0.0,0.0,19.8,88,119,-4.0
2023-24,2024-03-04,BUL,KIN,KIN,12.68,0,3,0.0,0,1,0.0,0,2,0.0,1,2,0.5,1,0,1,1,0,1,1,1,1,-0.8,6,0.129,0.0,0.667,0.667,10.0,0.0,4.6,9.0,0.0,6.9,20.5,18.0,51,127,-14.8
2023-24,2024-03-06,BUL,JAZ,JAZ,6.45,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.1,-5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0,133,-20.6
2023-24,2024-03-07,BUL,WAR,WAR,16.83,2,4,0.5,0,0,0.0,2,4,0.5,0,0,0.0,0,0,0,1,2,0,0,1,6,6.3,11,0.75,0.75,1.0,0.0,0.0,0.0,0.0,7.1,5.5,0.0,0.0,10.3,147,115,7.1
2023-24,2024-03-09,BUL,CLI,CLI,10.35,2,3,0.667,0,0,0.0,2,3,0.667,0,0,0.0,1,0,1,0,0,0,0,0,6,5.4,-5,1.0,1.0,1.0,0.0,9.7,0.0,5.6,0.0,0.0,0.0,0.0,13.1,180,129,11.5
2023-24,2024-03-11,BUL,MAV,BUL,25.27,8,16,0.5,7,10,0.7,1,6,0.167,0,0,0.0,3,2,5,1,0,0,1,3,17,10.2,-21,0.531,0.531,0.375,0.0,10.8,9.7,10.3,9.6,0.0,0.0,5.9,28.9,108,139,-2.4
2023-24,2024-03-13,BUL,PAC,PAC,12.97,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,0,2,1.7,-9,1.0,1.0,0.0,0.0,0.0,8.2,4.3,9.3,0.0,0.0,50.0,7.0,104,125,-2.6
2023-24,2024-03-14,BUL,CLI,BUL,16.92,1,2,0.5,1,1,1.0,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,1,2,2.0,-2,0.5,0.5,0.5,0.0,0.0,0.0,0.0,14.9,0.0,0.0,0.0,5.4,141,145,-6.1
2023-24,2024-03-16,BUL,WIZ,BUL,23.93,3,5,0.6,3,3,1.0,0,2,0.0,0,0,0.0,0,6,6,2,1,1,0,3,6,7.4,22,0.6,0.6,0.4,0.0,0.0,25.1,14.5,9.3,2.0,3.9,0.0,8.9,140,95,1.0
2023-24,2024-03-18,BUL,BLA,BUL,25.72,4,9,0.444,3,6,0.5,1,3,0.333,0,0,0.0,1,3,4,1,0,0,1,2,9,4.8,-7,0.5,0.5,0.333,0.0,4.3,14.0,9.0,5.6,0.0,0.0,10.0,16.8,101,119,-8.0
2023-24,2024-03-21,BUL,ROC,ROC,8.08,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.1,-15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0,135,-15.7
2023-24,2024-03-23,BUL,CEL,BUL,6.78,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,2,2,0.2,-7,0.333,0.333,0.0,0.0,0.0,0.0,0.0,17.7,0.0,0.0,0.0,22.6,80,146,-19.1
2023-24,2024-03-25,BUL,WIZ,BUL,4.35,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,1,0,-2.5,0,0.0,0.0,0.5,0.0,0.0,21.6,11.3,0.0,0.0,0.0,33.3,30.0,0,111,-41.7
2023-24,2024-03-27,BUL,PAC,BUL,1.95,1,1,1.0,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0,1,0,0,0,0,3,3.4,1,1.5,1.5,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,21.8,282,115,67.4
2023-24,2024-03-29,BUL,NET,NET,3.82,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0,-0.8,-9,0.0,0.0,1.0,0.0,0.0,24.7,14.5,33.1,0.0,0.0,0.0,25.2,31,132,-26.3
2023-24,2024-03-31,BUL,TIM,TIM,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2023-24,2024-04-01,BUL,HAW,BUL,2.07,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1.4,5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,0,128,-45.6
2023-24,2024-04-05,BUL,KNI,BUL,2.33,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,113,-5.7
2023-24,2024-04-07,BUL,MAG,MAG,10.87,2,4,0.5,2,3,0.667,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,4,1.6,-5,0.5,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,101,128,-7.6
2023-24,2024-04-09,BUL,KNI,BUL,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2023-24,2024-04-11,BUL,PIS,PIS,2.32,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1.4,-3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0,118,-50.2
2023-24,2024-04-12,BUL,WIZ,WIZ,24.83,2,10,0.2,1,4,0.25,1,6,0.167,1,1,1.0,0,2,2,0,0,0,3,3,6,-3.8,-7,0.287,0.25,0.6,0.1,0.0,9.0,4.1,0.0,0.0,0.0,22.3,21.1,50,127,-24.7
2023-24,2024-04-14,BUL,KNI,KNI,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
