SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2006-07,2006-11-01,JAZ,ROC,JAZ,9.13,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,1.6,2,0.5,0.5,0.0,0.0,0.0,22.8,12.7,0.0,0.0,0.0,0.0,10.1,108,108,-0.5
2006-07,2006-11-03,JAZ,SUN,SUN,3.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,2,3,0,-2.2,-1,0.0,0.0,0.0,0.0,36.1,32.7,34.3,0.0,0.0,0.0,100.0,24.1,29,105,-38.3
2006-07,2006-11-04,JAZ,WAR,JAZ,14.28,2,4,0.5,2,4,0.5,0,0,0.0,0,0,0.0,2,1,3,0,0,0,1,2,4,1.9,10,0.5,0.5,0.0,0.0,17.7,7.2,11.9,0.0,0.0,0.0,20.0,15.4,99,97,-8.4
2006-07,2006-11-06,JAZ,PIS,JAZ,2.22,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,0,123,-24.5
2006-07,2006-11-08,JAZ,NNE,NNE,19.58,1,5,0.2,1,5,0.2,0,0,0.0,0,0,0.0,2,7,9,1,0,0,0,3,2,1.9,15,0.2,0.2,0.0,0.0,13.2,40.9,27.9,8.0,0.0,0.0,0.0,11.6,78,106,-6.8
2006-07,2006-11-10,JAZ,CEL,CEL,16.55,4,7,0.571,4,7,0.571,0,0,0.0,0,0,0.0,1,2,3,1,0,1,1,3,8,5.2,5,0.571,0.571,0.0,0.0,7.3,13.5,10.5,9.5,0.0,4.5,12.5,22.7,102,105,-3.5
2006-07,2006-11-11,JAZ,BUC,BUC,26.93,6,9,0.667,6,9,0.667,0,0,0.0,3,4,0.75,1,4,5,2,1,2,2,2,15,13.6,-2,0.697,0.667,0.0,0.444,5.1,18.8,12.2,11.0,1.8,5.7,15.7,20.3,125,111,4.8
2006-07,2006-11-14,JAZ,CLI,JAZ,22.45,0,2,0.0,0,2,0.0,0,0,0.0,4,6,0.667,0,6,6,0,4,4,0,5,4,8.4,20,0.431,0.0,0.0,3.0,0.0,40.1,17.8,0.0,8.9,14.3,0.0,9.3,101,67,7.3
2006-07,2006-11-17,JAZ,SUP,SUP,20.62,4,7,0.571,4,7,0.571,0,0,0.0,3,4,0.75,3,3,6,0,1,1,0,5,11,10.0,5,0.628,0.571,0.0,0.571,17.0,21.2,18.9,0.0,2.4,4.5,0.0,17.5,153,109,1.4
2006-07,2006-11-18,JAZ,SUN,JAZ,21.7,5,6,0.833,5,6,0.833,0,0,0.0,8,10,0.8,4,6,10,0,0,1,1,6,18,16.9,6,0.865,0.833,0.0,1.667,25.1,34.9,30.2,0.0,0.0,3.9,8.8,22.7,168,110,10.5
2006-07,2006-11-20,JAZ,RAP,JAZ,27.25,8,10,0.8,8,10,0.8,0,0,0.0,4,7,0.571,5,2,7,2,0,2,1,4,20,19.3,25,0.765,0.8,0.0,0.7,20.5,8.0,14.2,14.7,0.0,6.4,7.1,22.2,153,103,13.6
