SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2005-06,2005-11-02,TIM,BLA,TIM,21.53,3,12,0.25,3,10,0.3,0,2,0.0,0,1,0.0,0,1,1,1,1,1,1,0,6,0.1,3,0.241,0.25,0.167,0.083,0.0,4.7,2.4,7.4,2.5,3.2,7.4,29.1,53,97,-13.3
2005-06,2005-11-04,TIM,SUP,SUP,4.33,1,4,0.25,1,3,0.333,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,0.3,-3,0.25,0.25,0.25,0.0,31.4,0.0,15.7,0.0,0.0,0.0,0.0,43.2,75,124,-19.6
2005-06,2005-11-05,TIM,CLI,CLI,3.47,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-0.1,-7,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.1,66,115,-20.4
2005-06,2005-11-07,TIM,CLI,TIM,8.13,3,3,1.0,3,3,1.0,0,0,0.0,0,2,0.0,0,0,0,0,1,1,1,2,6,4.2,-1,0.773,1.0,0.0,0.667,0.0,0.0,0.0,0.0,6.7,9.5,20.5,30.9,91,78,11.3
2005-06,2005-11-09,TIM,LAK,TIM,16.65,3,7,0.429,3,5,0.6,0,2,0.0,0,0,0.0,0,0,0,1,1,0,1,2,6,2.2,7,0.429,0.429,0.286,0.0,0.0,0.0,0.0,11.4,3.4,0.0,12.5,23.7,80,90,-4.4
2005-06,2005-11-13,TIM,NUG,NUG,18.72,5,9,0.556,5,8,0.625,0,1,0.0,4,4,1.0,2,0,2,1,1,1,0,0,14,13.5,0,0.651,0.556,0.111,0.444,11.4,0.0,6.1,11.6,2.8,3.7,0.0,27.9,138,111,13.3
2005-06,2005-11-15,TIM,ROC,TIM,15.45,3,9,0.333,3,5,0.6,0,4,0.0,2,2,1.0,0,2,2,0,1,0,1,1,8,3.1,-10,0.405,0.333,0.444,0.222,0.0,19.4,8.6,0.0,3.7,0.0,9.2,35.1,77,108,-8.3
2005-06,2005-11-17,TIM,WIZ,TIM,10.98,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2,1,0,0,0,0,2.4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,4.8,0.0,0.0,0.0,215,105,5.1
2005-06,2005-11-19,TIM,BOB,TIM,24.87,4,8,0.5,3,7,0.429,1,1,1.0,2,2,1.0,0,4,4,1,2,1,3,2,11,7.8,-1,0.619,0.563,0.125,0.25,0.0,17.5,9.8,6.0,4.2,3.4,25.3,21.5,94,91,1.6
2005-06,2005-11-23,TIM,NOH,NOH,9.03,1,2,0.5,1,2,0.5,0,0,0.0,3,4,0.75,0,0,0,1,0,0,1,2,5,2.5,3,0.665,0.5,0.0,2.0,0.0,0.0,0.0,22.4,0.0,0.0,21.0,26.4,113,111,-0.6
