SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-10-31,TIM,ROC,ROC,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2000-01,2000-11-02,TIM,SPU,SPU,0.88,1,1,1.0,1,1,1.0,0,0,0,0,0,0.0,0,1,1,1,0,0,0,0,2,2.7,2,1.0,1.0,0.0,0.0,0.0,100.0,60.8,-600.0,0.0,0.0,0.0,44.6,201,82,124.1
2000-01,2000-11-04,TIM,KIN,TIM,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2000-01,2000-11-06,TIM,JAZ,JAZ,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2000-01,2000-11-08,TIM,NUG,NUG,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2000-01,2000-11-09,TIM,76E,TIM,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2000-01,2000-11-11,TIM,BUC,BUC,6.03,1,1,1.0,1,1,1.0,0,0,0,0,0,0.0,2,0,2,0,1,0,1,1,2,2.7,1,1.0,1.0,0.0,0.0,38.1,0.0,20.0,0.0,9.2,0.0,50.0,14.4,102,95,5.2
2000-01,2000-11-15,TIM,WAR,TIM,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2000-01,2000-11-17,TIM,SPU,TIM,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2000-01,2000-11-18,TIM,HAW,HAW,0.05,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,104,-2.6
2000-01,2000-11-22,TIM,VGR,TIM,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2000-01,2000-11-24,TIM,LAK,LAK,2.22,3,3,1.0,3,3,1.0,0,0,0,1,2,0.5,4,0,4,0,0,0,0,1,7,8.1,7,0.902,1.0,0.0,0.667,100.0,0.0,100.0,0.0,0.0,0.0,0.0,80.8,192,120,71.0
2000-01,2000-11-25,TIM,WAR,WAR,13.33,1,3,0.333,1,3,0.333,0,0,0,6,6,1.0,1,2,3,1,0,1,0,4,8,7.4,1,0.709,0.333,0.0,2.0,7.2,20.5,12.7,12.2,0.0,5.5,0.0,18.2,170,118,6.5
2000-01,2000-11-28,TIM,BUL,BUL,2.37,0,1,0.0,0,1,0.0,0,0,0,0,2,0.0,0,1,1,0,0,0,0,0,0,-1.2,-1,0.0,0.0,0.0,2.0,0.0,55.8,26.7,0.0,0.0,0.0,0.0,41.9,0,77,-35.2
2000-01,2000-11-29,TIM,NUG,TIM,3.2,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,114,-12.6
2000-01,2000-12-19,TIM,WAR,WAR,4.4,0,0,0.0,0,0,0.0,0,0,0,0,2,0.0,0,1,1,1,0,0,0,2,0,-0.6,-8,0.0,0.0,0.0,0.0,0.0,19.0,9.0,19.5,0.0,0.0,0.0,6.1,45,129,-11.8
2000-01,2000-12-20,TIM,CLI,CLI,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2000-01,2000-12-22,TIM,CHO,TIM,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2000-01,2000-12-23,TIM,JAZ,TIM,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2000-01,2000-12-26,TIM,RAP,TIM,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2000-01,2000-12-28,TIM,HAW,TIM,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2000-01,2000-12-30,TIM,KNI,TIM,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2000-01,2001-01-01,TIM,ROC,TIM,12.68,1,3,0.333,1,3,0.333,0,0,0,3,4,0.75,4,3,7,0,0,0,0,5,5,4.6,3,0.525,0.333,0.0,1.333,39.9,24.1,31.1,0.0,0.0,0.0,0.0,17.3,144,106,-7.3
2000-01,2001-01-02,TIM,WIZ,WIZ,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
