SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2001-02,2001-10-30,NNE,PAC,NNE,22.58,5,9,0.556,5,9,0.556,0,0,0.0,2,3,0.667,3,0,3,3,0,0,1,4,12,8.9,7,0.581,0.556,0.0,0.333,12.3,0.0,7.0,23.6,0.0,0.0,8.8,19.7,125,109,2.6
2001-02,2001-10-31,NNE,CEL,CEL,25.17,4,8,0.5,4,7,0.571,0,1,0.0,3,6,0.5,1,4,5,0,0,0,1,3,11,5.5,3,0.517,0.5,0.125,0.75,4.7,13.7,9.9,0.0,0.0,0.0,8.6,21.1,97,98,-3.9
2001-02,2001-11-02,NNE,PIS,PIS,24.2,6,9,0.667,5,8,0.625,1,1,1.0,4,4,1.0,0,3,3,3,0,1,4,4,17,11.2,-13,0.79,0.722,0.111,0.444,0.0,19.4,8.3,27.3,0.0,3.6,27.1,26.6,116,111,7.3
2001-02,2001-11-03,NNE,CHO,NNE,19.62,3,9,0.333,3,8,0.375,0,1,0.0,5,7,0.714,2,4,6,1,0,2,1,2,11,8.0,1,0.455,0.333,0.111,0.778,8.7,25.9,15.7,9.3,0.0,7.5,7.6,26.6,102,88,4.5
2001-02,2001-11-08,NNE,SUP,NNE,21.65,2,10,0.2,2,10,0.2,0,0,0.0,2,2,1.0,2,1,3,2,1,1,0,2,6,3.8,-4,0.276,0.2,0.0,0.2,9.7,4.0,6.5,11.9,2.3,2.9,0.0,21.3,86,106,-4.1
2001-02,2001-11-10,NNE,CAV,NNE,20.42,1,5,0.2,1,5,0.2,0,0,0.0,0,0,0.0,1,5,6,1,0,1,2,3,2,-0.7,3,0.2,0.2,0.0,0.0,5.1,26.7,15.7,7.6,0.0,3.6,28.6,15.8,43,93,-13.0
2001-02,2001-11-13,NNE,PAC,PAC,19.15,2,8,0.25,2,8,0.25,0,0,0.0,0,2,0.0,1,2,3,1,1,0,1,3,4,-0.8,2,0.225,0.25,0.0,0.25,5.6,9.7,7.8,7.9,2.6,0.0,10.1,22.8,52,85,-10.0
2001-02,2001-11-16,NNE,KNI,NNE,14.42,3,4,0.75,3,4,0.75,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,4,6,2.5,0,0.75,0.75,0.0,0.0,10.7,0.0,4.9,0.0,0.0,0.0,20.0,16.2,116,101,-6.7
2001-02,2001-11-17,NNE,76E,NNE,24.55,5,10,0.5,5,8,0.625,0,2,0.0,1,2,0.5,2,5,7,3,1,3,2,2,11,10.9,2,0.506,0.5,0.2,0.2,7.7,22.2,14.4,26.1,2.2,7.8,15.5,22.2,99,96,9.0
2001-02,2001-11-19,NNE,NUG,NUG,34.65,5,11,0.455,5,10,0.5,0,1,0.0,3,4,0.75,2,6,8,3,0,1,1,3,13,10.7,0,0.509,0.455,0.091,0.364,7.4,18.5,13.5,13.2,0.0,2.0,7.3,18.3,115,108,-0.3
2001-02,2001-11-21,NNE,JAZ,JAZ,27.63,3,9,0.333,3,8,0.375,0,1,0.0,5,6,0.833,1,1,2,1,1,1,0,4,11,7.3,8,0.473,0.333,0.111,0.667,3.9,3.5,3.7,6.0,1.9,2.3,0.0,18.0,117,93,2.9
2001-02,2001-11-22,NNE,CLI,CLI,5.88,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-2.1,2,0.0,0.0,0.0,0.0,0.0,17.8,8.3,0.0,0.0,0.0,33.3,20.7,0,99,-25.5
2001-02,2001-12-01,NNE,CEL,NNE,18.3,3,6,0.5,3,6,0.5,0,0,0.0,3,4,0.75,1,3,4,0,1,1,2,6,9,4.5,8,0.58,0.5,0.0,0.667,5.2,17.0,10.8,0.0,2.8,3.9,20.5,22.7,94,98,-3.1
2001-02,2001-12-05,NNE,SUN,NNE,20.07,4,6,0.667,4,6,0.667,0,0,0.0,0,0,0.0,1,4,5,2,0,1,2,0,8,7.4,-10,0.667,0.667,0.0,0.0,5.1,19.2,12.4,15.8,0.0,3.4,25.0,16.5,104,93,2.4
2001-02,2001-12-07,NNE,CAV,NNE,17.72,3,7,0.429,3,7,0.429,0,0,0.0,0,0,0.0,1,1,2,1,0,0,2,1,6,1.6,0,0.429,0.429,0.0,0.0,6.8,6.5,6.7,8.3,0.0,0.0,22.2,23.8,76,106,-11.1
2001-02,2001-12-08,NNE,BUC,BUC,29.57,0,8,0.0,0,7,0.0,0,1,0.0,1,4,0.25,1,5,6,1,0,0,1,0,1,-3.9,-12,0.051,0.0,0.125,0.5,2.8,20.2,9.9,5.5,0.0,0.0,9.3,16.5,20,109,-17.5
2001-02,2001-12-11,NNE,BUL,BUL,23.0,7,10,0.7,5,8,0.625,2,2,1.0,0,0,0.0,0,3,3,4,0,0,0,1,16,15.1,20,0.8,0.8,0.2,0.0,0.0,15.7,8.6,29.4,0.0,0.0,0.0,21.0,161,107,13.1
2001-02,2001-12-14,NNE,HEA,HEA,21.43,4,9,0.444,3,7,0.429,1,2,0.5,0,0,0.0,3,1,4,2,2,0,2,1,9,7.7,-5,0.5,0.5,0.222,0.0,15.9,6.9,12.0,15.3,5.2,0.0,18.2,24.5,97,93,3.6
2001-02,2001-12-16,NNE,KNI,KNI,14.97,1,3,0.333,1,3,0.333,0,0,0.0,2,2,1.0,0,3,3,1,1,0,0,0,4,4.9,-1,0.515,0.333,0.0,0.667,0.0,24.6,13.7,9.2,3.4,0.0,0.0,12.0,123,99,2.0
2001-02,2001-12-19,NNE,TIM,NNE,18.87,4,5,0.8,4,4,1.0,0,1,0.0,1,2,0.5,1,3,4,2,0,0,1,5,9,6.7,12,0.765,0.8,0.2,0.4,5.8,15.8,11.0,16.5,0.0,0.0,14.5,15.9,132,106,-0.3
2001-02,2001-12-21,NNE,PAC,PAC,25.13,2,4,0.5,2,3,0.667,0,1,0.0,1,2,0.5,1,0,1,5,1,1,4,1,5,4.1,7,0.512,0.5,0.25,0.5,4.9,0.0,2.5,29.9,2.2,3.0,45.0,16.1,78,114,0.4
2001-02,2001-12-22,NNE,JAZ,NNE,14.6,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,2,3,0,-3.6,-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,50.0,13.2,0,118,-18.9
2001-02,2001-12-26,NNE,CAV,CAV,40.07,7,18,0.389,7,16,0.438,0,2,0.0,2,3,0.667,5,4,9,2,0,0,3,3,16,7.7,-2,0.414,0.389,0.111,0.167,12.0,9.1,10.5,7.8,0.0,0.0,13.4,23.9,89,105,-5.8
2001-02,2001-12-27,NNE,PIS,PIS,21.1,1,4,0.25,1,4,0.25,0,0,0.0,0,0,0.0,1,2,3,2,1,2,1,4,2,2.1,4,0.25,0.25,0.0,0.0,5.6,9.7,7.8,13.6,2.5,7.1,20.0,11.4,65,82,-2.3
2001-02,2001-12-29,NNE,PAC,NNE,31.88,3,10,0.3,3,10,0.3,0,0,0.0,1,2,0.5,3,3,6,2,1,0,2,1,7,3.8,-7,0.322,0.3,0.0,0.2,9.4,11.0,10.1,9.2,1.6,0.0,15.5,16.1,78,94,-3.8
2001-02,2001-12-31,NNE,WIZ,WIZ,20.65,2,5,0.4,2,5,0.4,0,0,0.0,1,2,0.5,0,1,1,0,1,0,1,1,5,1.8,-6,0.425,0.4,0.0,0.4,0.0,5.4,2.5,0.0,2.7,0.0,14.5,16.6,69,119,-8.7
2001-02,2002-01-02,NNE,GRI,NNE,20.33,3,11,0.273,3,10,0.3,0,1,0.0,2,3,0.667,3,3,6,1,1,0,2,3,8,2.6,-12,0.325,0.273,0.091,0.273,17.6,11.6,14.0,7.5,2.5,0.0,14.0,32.4,72,81,-11.2
2001-02,2002-01-04,NNE,MAG,NNE,22.22,0,6,0.0,0,6,0.0,0,0,0.0,1,2,0.5,1,2,3,5,2,1,2,2,1,1.1,-6,0.073,0.0,0.0,0.333,4.3,12.1,7.5,28.7,4.8,3.6,22.5,16.9,54,114,-6.2
2001-02,2002-01-05,NNE,CHO,CHO,39.9,6,12,0.5,6,11,0.545,0,1,0.0,4,7,0.571,3,4,7,4,0,2,1,6,16,12.9,13,0.531,0.5,0.083,0.583,9.5,11.2,10.4,19.4,0.0,4.2,6.2,20.5,114,100,2.1
2001-02,2002-01-08,NNE,HEA,NNE,37.1,3,8,0.375,3,7,0.429,0,1,0.0,6,6,1.0,1,4,5,3,1,1,1,4,12,10.7,7,0.564,0.375,0.125,0.75,3.7,17.9,10.1,12.1,1.5,2.0,8.6,16.0,121,112,-1.7
2001-02,2002-01-10,NNE,CLI,NNE,23.4,4,6,0.667,4,6,0.667,0,0,0.0,5,6,0.833,0,1,1,4,0,4,1,1,13,14.5,6,0.752,0.667,0.0,1.0,0.0,4.3,2.4,23.4,0.0,12.1,10.4,18.4,149,89,16.7
2001-02,2002-01-12,NNE,MAG,MAG,21.92,2,8,0.25,2,8,0.25,0,0,0.0,3,4,0.75,0,4,4,2,2,0,1,4,7,3.8,4,0.359,0.25,0.0,0.5,0.0,16.8,8.6,16.4,4.5,0.0,9.3,21.4,75,82,-2.6
2001-02,2002-01-14,NNE,SPU,NNE,20.1,4,6,0.667,4,6,0.667,0,0,0.0,2,2,1.0,1,0,1,1,0,1,0,2,10,8.7,-3,0.727,0.667,0.0,0.333,6.0,0.0,3.2,7.9,0.0,3.7,0.0,15.0,161,107,7.8
2001-02,2002-01-16,NNE,WIZ,NNE,24.22,4,9,0.444,4,8,0.5,0,1,0.0,3,4,0.75,0,4,4,2,4,1,1,2,11,11.4,15,0.511,0.444,0.111,0.444,0.0,14.0,8.5,11.1,8.8,2.4,8.5,22.3,103,59,8.7
2001-02,2002-01-18,NNE,RAP,RAP,21.17,3,6,0.5,3,5,0.6,0,1,0.0,5,6,0.833,1,3,4,0,1,0,2,4,11,6.6,-5,0.637,0.5,0.167,1.0,5.7,15.9,11.0,0.0,2.5,0.0,18.8,23.7,109,98,0.4
2001-02,2002-01-19,NNE,ROC,NNE,26.6,4,11,0.364,4,11,0.364,0,0,0.0,2,2,1.0,2,2,4,2,0,2,0,2,10,7.9,10,0.421,0.364,0.0,0.182,8.9,9.4,9.1,10.2,0.0,5.9,0.0,21.3,107,110,-2.5
2001-02,2002-01-21,NNE,MAV,MAV,16.22,5,6,0.833,5,6,0.833,0,0,0.0,2,2,1.0,0,0,0,1,0,0,0,5,12,8.5,-1,0.872,0.833,0.0,0.333,0.0,0.0,0.0,11.5,0.0,0.0,0.0,17.7,181,127,7.0
2001-02,2002-01-22,NNE,SPU,SPU,20.12,0,1,0.0,0,1,0.0,0,0,0.0,2,2,1.0,0,4,4,2,0,1,0,2,2,3.8,2,0.532,0.0,0.0,2.0,0.0,21.8,10.8,14.1,0.0,3.9,0.0,4.3,151,98,3.1
2001-02,2002-01-24,NNE,ROC,ROC,21.73,5,9,0.556,5,8,0.625,0,1,0.0,3,4,0.75,2,0,2,3,1,1,1,2,13,11.7,19,0.604,0.556,0.111,0.444,10.4,0.0,5.3,21.8,2.5,3.5,8.5,24.3,130,114,8.6
2001-02,2002-01-26,NNE,HEA,HEA,25.48,3,6,0.5,3,5,0.6,0,1,0.0,1,2,0.5,0,2,2,0,1,0,1,3,7,3.0,3,0.509,0.5,0.167,0.333,0.0,12.4,5.3,0.0,2.4,0.0,12.7,16.2,88,113,-5.6
2001-02,2002-01-31,NNE,BUC,NNE,21.98,6,8,0.75,5,7,0.714,1,1,1.0,8,8,1.0,0,3,3,2,1,0,2,5,21,17.1,13,0.911,0.813,0.125,1.0,0.0,15.6,8.5,12.9,2.2,0.0,14.8,26.1,160,102,10.4
2001-02,2002-02-02,NNE,RAP,NNE,30.97,5,8,0.625,5,8,0.625,0,0,0.0,7,7,1.0,2,3,5,2,1,0,2,2,17,15.3,8,0.767,0.625,0.0,0.875,8.4,9.9,9.2,11.8,1.8,0.0,15.3,19.6,144,106,7.0
2001-02,2002-02-04,NNE,KIN,NNE,28.75,3,7,0.429,3,7,0.429,0,0,0.0,6,8,0.75,1,3,4,3,1,0,3,1,12,8.8,11,0.57,0.429,0.0,1.143,4.0,10.1,7.4,13.4,1.6,0.0,22.2,18.9,105,86,2.9
2001-02,2002-02-06,NNE,MAV,NNE,24.22,2,7,0.286,2,6,0.333,0,1,0.0,3,6,0.5,6,2,8,1,0,1,2,1,7,5.5,-12,0.363,0.286,0.143,0.857,22.6,12.1,18.6,5.9,0.0,3.4,17.2,19.6,89,124,-6.2
2001-02,2002-02-12,NNE,HAW,HAW,23.48,5,7,0.714,5,7,0.714,0,0,0.0,5,5,1.0,2,1,3,1,0,1,0,5,15,13.2,-2,0.815,0.714,0.0,0.714,9.3,5.1,7.3,7.1,0.0,3.3,0.0,17.5,177,119,8.3
2001-02,2002-02-14,NNE,PIS,NNE,30.8,2,5,0.4,2,5,0.4,0,0,0.0,4,4,1.0,0,3,3,1,2,0,4,4,8,3.3,7,0.592,0.4,0.0,0.8,0.0,12.2,5.0,6.0,3.3,0.0,37.2,15.0,79,90,-3.8
2001-02,2002-02-15,NNE,BUL,BUL,28.35,6,10,0.6,5,7,0.714,1,3,0.333,2,4,0.5,1,4,5,4,2,0,0,3,15,15.1,9,0.638,0.65,0.3,0.4,5.4,14.3,10.7,22.3,3.7,0.0,0.0,19.3,140,86,9.6
2001-02,2002-02-17,NNE,NUG,NNE,23.62,3,6,0.5,3,5,0.6,0,1,0.0,5,5,1.0,1,0,1,0,0,2,2,4,11,6.5,6,0.671,0.5,0.167,0.833,5.0,0.0,2.4,0.0,0.0,5.8,19.6,19.1,118,94,-1.7
2001-02,2002-02-19,NNE,WAR,NNE,13.65,4,7,0.571,4,6,0.667,0,1,0.0,2,2,1.0,1,1,2,2,0,0,2,6,10,4.7,-1,0.635,0.571,0.143,0.286,7.1,6.6,6.9,24.2,0.0,0.0,20.2,27.8,113,121,-8.4
2001-02,2002-02-21,NNE,WIZ,WIZ,27.85,4,5,0.8,3,4,0.75,1,1,1.0,2,2,1.0,0,3,3,3,1,1,3,4,11,9.2,0,0.935,0.9,0.2,0.4,0.0,12.2,6.2,17.6,2.0,2.5,33.8,14.9,122,95,6.5
2001-02,2002-02-22,NNE,KNI,NNE,21.78,8,10,0.8,5,7,0.714,3,3,1.0,3,4,0.75,2,1,3,2,2,0,0,3,22,21.7,21,0.935,0.95,0.3,0.4,10.1,7.8,9.2,16.4,4.7,0.0,0.0,23.2,188,100,24.5
2001-02,2002-02-24,NNE,CHO,NNE,29.05,5,10,0.5,5,10,0.5,0,0,0.0,0,2,0.0,2,5,7,1,2,2,0,2,10,10.4,3,0.46,0.5,0.0,0.2,7.5,20.7,13.8,5.4,3.6,4.8,0.0,17.5,104,95,4.3
2001-02,2002-02-27,NNE,CHO,CHO,21.25,4,7,0.571,4,7,0.571,0,0,0.0,1,2,0.5,0,1,1,1,1,1,3,0,9,5.0,-27,0.571,0.571,0.0,0.286,0.0,6.2,2.8,9.2,2.4,3.2,27.6,23.6,80,108,-1.2
2001-02,2002-03-01,NNE,76E,76E,24.62,8,13,0.615,8,11,0.727,0,2,0.0,3,5,0.6,1,2,3,2,0,0,3,4,19,10.4,-3,0.625,0.615,0.154,0.385,4.3,14.2,8.0,16.2,0.0,0.0,16.5,32.5,106,124,-1.3
2001-02,2002-03-03,NNE,BUL,NNE,22.8,3,9,0.333,3,7,0.429,0,2,0.0,2,2,1.0,0,2,2,1,1,0,1,2,8,3.4,-11,0.405,0.333,0.222,0.222,0.0,9.9,5.4,7.0,2.4,0.0,9.2,22.7,87,99,-8.3
2001-02,2002-03-05,NNE,LAK,LAK,28.63,6,11,0.545,6,10,0.6,0,1,0.0,3,7,0.429,0,1,1,0,2,1,1,5,15,8.1,0,0.533,0.545,0.091,0.636,0.0,4.1,1.7,0.0,3.6,3.0,6.6,22.3,101,108,0.9
2001-02,2002-03-06,NNE,SUN,SUN,22.3,3,8,0.375,3,8,0.375,0,0,0.0,2,3,0.667,1,2,3,1,1,0,2,6,8,1.8,-4,0.429,0.375,0.0,0.375,4.5,10.4,7.2,7.7,2.4,0.0,17.7,22.4,83,102,-10.0
2001-02,2002-03-08,NNE,BLA,BLA,27.65,0,4,0.0,0,3,0.0,0,1,0.0,2,2,1.0,0,3,3,5,3,0,0,3,2,5.4,-11,0.205,0.0,0.25,0.5,0.0,13.5,6.5,27.6,6.0,0.0,0.0,8.7,79,92,2.7
2001-02,2002-03-09,NNE,SUP,SUP,23.05,3,7,0.429,3,6,0.5,0,1,0.0,0,0,0.0,0,3,3,2,0,1,0,2,6,4.5,7,0.429,0.429,0.143,0.0,0.0,20.2,7.8,13.6,0.0,3.5,0.0,13.9,99,110,-2.1
2001-02,2002-03-12,NNE,RAP,NNE,23.45,1,6,0.167,1,6,0.167,0,0,0.0,6,8,0.75,2,1,3,1,1,0,2,2,8,4.0,-1,0.42,0.167,0.0,1.333,9.1,4.3,6.7,7.2,2.4,0.0,17.4,22.8,87,99,-2.6
2001-02,2002-03-13,NNE,CEL,CEL,20.17,2,6,0.333,2,6,0.333,0,0,0.0,0,0,0.0,0,2,2,1,0,1,0,4,4,1.0,-12,0.333,0.333,0.0,0.0,0.0,10.9,5.8,9.5,0.0,3.9,0.0,13.7,75,107,-7.3
2001-02,2002-03-15,NNE,HEA,NNE,20.22,3,5,0.6,3,5,0.6,0,0,0.0,3,8,0.375,0,3,3,0,0,1,1,1,9,4.9,1,0.528,0.6,0.0,1.6,0.0,15.7,8.9,0.0,0.0,3.3,10.5,22.6,96,91,-1.2
2001-02,2002-03-17,NNE,GRI,GRI,31.42,3,10,0.3,3,10,0.3,0,0,0.0,2,2,1.0,2,3,5,2,1,3,2,4,8,5.4,12,0.368,0.3,0.0,0.2,6.6,9.9,8.2,10.9,1.8,6.5,15.5,19.7,80,87,-3.8
2001-02,2002-03-19,NNE,CAV,CAV,26.43,3,5,0.6,3,5,0.6,0,0,0.0,0,0,0.0,2,1,3,2,1,0,1,0,6,6.8,1,0.6,0.6,0.0,0.0,9.2,4.4,6.8,11.7,2.2,0.0,16.7,10.8,121,123,-1.0
2001-02,2002-03-20,NNE,BLA,NNE,28.33,4,7,0.571,4,7,0.571,0,0,0.0,3,5,0.6,2,4,6,3,2,1,0,2,11,13.5,15,0.598,0.571,0.0,0.714,11.0,16.6,14.2,14.9,3.8,2.7,0.0,15.5,140,89,11.4
2001-02,2002-03-22,NNE,BUC,NNE,16.2,1,6,0.167,1,4,0.25,0,2,0.0,2,2,1.0,0,2,2,1,1,0,0,0,4,2.5,-8,0.291,0.167,0.333,0.333,0.0,14.6,7.1,7.7,3.1,0.0,0.0,19.2,74,88,-6.5
2001-02,2002-03-24,NNE,HAW,NNE,24.57,4,5,0.8,4,5,0.8,0,0,0.0,2,2,1.0,1,8,9,4,1,0,1,1,10,13.6,22,0.85,0.8,0.0,0.4,6.1,36.4,23.4,19.5,2.2,0.0,14.5,13.2,158,104,8.1
2001-02,2002-03-26,NNE,HAW,HAW,37.85,7,11,0.636,6,10,0.6,1,1,1.0,6,10,0.6,2,5,7,1,1,1,3,5,21,14.8,-17,0.682,0.682,0.091,0.909,6.2,17.1,11.3,6.3,1.3,1.9,16.3,21.9,118,111,3.5
2001-02,2002-03-27,NNE,76E,76E,41.63,7,15,0.467,6,13,0.462,1,2,0.5,5,6,0.833,1,5,6,3,2,0,1,3,20,16.0,6,0.567,0.5,0.133,0.4,2.5,13.0,7.7,15.4,2.6,0.0,5.4,20.9,118,87,5.5
2001-02,2002-03-30,NNE,76E,NNE,20.17,3,6,0.5,3,6,0.5,0,0,0.0,0,1,0.0,0,4,4,3,0,0,2,3,6,2.7,1,0.466,0.5,0.0,0.167,0.0,20.9,12.6,23.4,0.0,0.0,23.7,21.8,81,107,-8.9
2001-02,2002-03-31,NNE,TIM,TIM,28.28,1,3,0.333,1,3,0.333,0,0,0.0,2,2,1.0,0,5,5,2,0,0,2,2,4,2.4,6,0.515,0.333,0.0,0.667,0.0,20.9,10.3,11.7,0.0,0.0,34.0,11.2,78,107,-8.4
2001-02,2002-04-03,NNE,LAK,NNE,27.65,6,13,0.462,6,12,0.5,0,1,0.0,1,4,0.25,1,3,4,1,1,0,1,2,13,6.6,2,0.44,0.462,0.077,0.308,4.6,10.7,8.1,5.2,2.1,0.0,6.3,26.3,96,112,-5.4
2001-02,2002-04-05,NNE,MAG,NNE,23.63,3,8,0.375,3,6,0.5,0,2,0.0,2,5,0.4,0,5,5,0,3,0,1,1,8,5.5,4,0.392,0.375,0.25,0.625,0.0,22.2,10.5,0.0,6.3,0.0,8.9,19.3,77,81,-3.8
2001-02,2002-04-07,NNE,CEL,NNE,17.42,0,1,0.0,0,1,0.0,0,0,0.0,4,4,1.0,0,2,2,2,0,0,3,6,4,-0.1,-6,0.725,0.0,0.0,4.0,0.0,12.8,6.3,19.5,0.0,0.0,52.1,14.1,84,111,-9.5
2001-02,2002-04-09,NNE,WIZ,NNE,31.12,2,6,0.333,2,4,0.5,0,2,0.0,3,6,0.5,0,3,3,3,0,1,4,4,7,0.5,-7,0.405,0.333,0.333,1.0,0.0,12.6,5.9,13.3,0.0,2.5,31.6,18.1,67,104,-12.0
2001-02,2002-04-11,NNE,MAG,MAG,27.2,3,9,0.333,2,6,0.333,1,3,0.333,4,5,0.8,2,3,5,2,2,0,1,1,11,9.8,14,0.491,0.389,0.333,0.556,9.3,11.5,10.6,10.6,3.9,0.0,8.2,19.6,113,96,4.7
2001-02,2002-04-14,NNE,RAP,RAP,21.67,2,6,0.333,2,6,0.333,0,0,0.0,2,2,1.0,0,4,4,0,1,0,0,1,6,4.4,-4,0.436,0.333,0.0,0.333,0.0,25.7,10.8,0.0,2.5,0.0,0.0,14.9,95,111,-3.0
2001-02,2002-04-16,NNE,PIS,NNE,38.87,6,10,0.6,6,10,0.6,0,0,0.0,2,2,1.0,2,3,5,3,0,1,1,4,14,11.9,-1,0.643,0.6,0.0,0.2,6.5,8.8,7.7,11.0,0.0,2.0,8.4,13.6,131,116,0.1
2001-02,2002-04-17,NNE,KNI,KNI,20.62,3,8,0.375,3,6,0.5,0,2,0.0,2,4,0.5,0,1,1,0,1,0,0,0,8,4.1,8,0.41,0.375,0.25,0.5,0.0,5.3,2.6,0.0,2.5,0.0,0.0,20.9,87,106,-6.8
2001-02,2002-04-20,NNE,PAC,NNE,19.68,2,3,0.667,2,3,0.667,0,0,0.0,0,0,0.0,1,3,4,0,0,3,2,3,4,3.2,5,0.667,0.667,0.0,0.0,5.5,20.0,12.0,0.0,0.0,10.6,40.0,11.8,82,96,0.8
2001-02,2002-04-22,NNE,PAC,NNE,22.18,0,2,0.0,0,2,0.0,0,0,0.0,3,4,0.75,1,5,6,1,0,1,1,0,3,3.8,5,0.399,0.0,0.0,2.0,5.7,27.3,16.8,6.6,0.0,3.8,21.0,10.1,87,90,-0.2
2001-02,2002-04-26,NNE,PAC,PAC,19.82,1,5,0.2,1,5,0.2,0,0,0.0,0,0,0.0,2,4,6,1,0,0,0,1,2,1.8,5,0.2,0.2,0.0,0.0,11.4,19.6,15.8,7.4,0.0,0.0,0.0,11.6,70,95,-6.8
