SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2006-07,2006-10-31,HEA,BUL,HEA,5.12,0,3,0.0,0,1,0.0,0,2,0.0,0,0,0.0,0,1,1,0,1,0,2,2,0,-3.6,-12,0.0,0.0,0.667,0.0,0.0,24.7,12.0,0.0,10.2,0.0,40.0,49.0,0,94,-38.7
2006-07,2006-11-07,HEA,SUP,HEA,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2006-07,2006-11-22,HEA,SPU,SPU,17.02,4,6,0.667,3,5,0.6,1,1,1.0,0,0,0.0,0,1,1,1,1,1,0,0,9,9.1,-1,0.75,0.75,0.167,0.0,0.0,7.4,3.7,13.0,3.0,4.5,0.0,17.0,148,109,14.3
2006-07,2006-11-24,HEA,MAG,HEA,4.35,1,4,0.25,1,3,0.333,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,0.3,-4,0.25,0.25,0.25,0.0,25.1,0.0,12.4,0.0,0.0,0.0,0.0,40.4,82,132,-20.4
2006-07,2006-11-25,HEA,BOB,BOB,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2006-07,2006-11-27,HEA,76E,HEA,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2006-07,2006-11-30,HEA,PIS,HEA,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2006-07,2006-12-02,HEA,GRI,GRI,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2006-07,2006-12-05,HEA,CLI,CLI,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2006-07,2006-12-07,HEA,KIN,KIN,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2006-07,2006-12-08,HEA,NUG,NUG,16.1,0,6,0.0,0,3,0.0,0,3,0.0,1,2,0.5,0,3,3,1,0,0,1,2,1,-3.8,-4,0.073,0.0,0.5,0.333,0.0,27.1,11.5,7.3,0.0,0.0,12.7,20.4,25,129,-23.7
2006-07,2006-12-11,HEA,RAP,HEA,2.13,1,2,0.5,1,1,1.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1.0,2,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9,89,86,-2.4
2006-07,2006-12-13,HEA,SUN,HEA,25.38,4,9,0.444,3,7,0.429,1,2,0.5,2,4,0.5,0,2,2,1,0,0,1,3,11,4.6,5,0.511,0.5,0.222,0.444,0.0,10.5,4.3,7.4,0.0,0.0,8.5,21.6,99,118,-4.2
2006-07,2006-12-15,HEA,WIZ,WIZ,24.12,2,11,0.182,1,6,0.167,1,5,0.2,3,3,1.0,1,1,2,1,0,0,1,1,8,1.4,7,0.325,0.227,0.455,0.273,4.2,5.2,4.7,6.2,0.0,0.0,7.5,24.3,84,125,-13.3
2006-07,2006-12-16,HEA,GRI,HEA,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2006-07,2006-12-18,HEA,NOH,HEA,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2006-07,2006-12-20,HEA,BUC,BUC,3.78,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,0,1.4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.5,0.0,0.0,0.0,0.0,220,140,10.9
2006-07,2006-12-29,HEA,NNE,HEA,0.65,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,121,-8.1
2006-07,2006-12-30,HEA,MAG,MAG,6.92,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,2,0,0,0,0,2,2.7,-8,0.5,0.5,0.0,0.0,0.0,19.3,8.8,86.4,0.0,0.0,0.0,15.5,126,121,8.5
2006-07,2007-01-03,HEA,CLI,HEA,19.55,6,14,0.429,4,7,0.571,2,7,0.286,2,3,0.667,2,1,3,0,1,1,0,0,16,11.6,6,0.522,0.5,0.5,0.214,11.2,8.5,10.1,0.0,2.7,3.5,0.0,35.8,114,118,7.5
2006-07,2007-01-05,HEA,SUN,SUN,10.57,0,3,0.0,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,0,0,-2.5,-9,0.0,0.0,0.333,0.0,0.0,22.7,12.4,0.0,0.0,0.0,25.0,19.4,0,127,-22.2
2006-07,2007-01-07,HEA,BLA,BLA,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2006-07,2007-01-10,HEA,SUP,SUP,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2006-07,2007-01-13,HEA,JAZ,JAZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2006-07,2007-01-19,HEA,76E,76E,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
