SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2007-08,2007-12-21,PIS,GRI,PIS,6.73,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0.0,1,0,1,2,0,0,0,1,2,2.0,6,0.333,0.333,0.0,0.0,15.8,0.0,8.0,53.1,0.0,0.0,0.0,20.9,106,90,1.0
2007-08,2007-12-23,PIS,ROC,PIS,12.17,0,4,0.0,0,4,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,1,2,0,-3.2,-12,0.0,0.0,0.0,0.0,9.9,0.0,5.0,12.3,0.0,0.0,20.0,19.0,26,102,-20.8
2007-08,2007-12-26,PIS,NNE,NNE,10.92,3,7,0.429,3,7,0.429,0,0,0.0,1,1,1.0,0,1,1,3,2,0,1,0,7,6.7,1,0.47,0.429,0.0,0.143,0.0,13.3,6.8,45.8,10.4,0.0,11.8,38.3,98,83,12.4
2007-08,2007-12-28,PIS,PAC,PIS,18.35,2,5,0.4,2,5,0.4,0,0,0.0,6,6,1.0,2,1,3,3,3,0,3,4,10,9.5,-2,0.654,0.4,0.0,1.2,11.9,7.1,9.7,20.2,8.4,0.0,28.2,24.6,116,98,5.2
2007-08,2007-12-29,PIS,PAC,PAC,17.1,3,8,0.375,2,5,0.4,1,3,0.333,2,2,1.0,0,3,3,2,1,0,1,3,9,5.7,3,0.507,0.438,0.375,0.25,0.0,20.1,10.3,23.8,3.2,0.0,10.1,28.9,97,101,-0.8
2007-08,2007-12-31,PIS,BUC,PIS,23.43,3,6,0.5,3,6,0.5,0,0,0.0,0,0,0.0,0,3,3,7,1,0,2,4,6,6.2,22,0.5,0.5,0.0,0.0,0.0,13.7,8.3,36.9,2.3,0.0,25.0,16.7,109,78,-0.4
2007-08,2008-01-02,PIS,WIZ,WIZ,22.73,1,4,0.25,1,4,0.25,0,0,0.0,0,0,0.0,0,1,1,3,3,0,1,3,2,2.8,3,0.25,0.25,0.0,0.0,0.0,6.2,2.9,18.2,7.4,0.0,20.0,10.5,75,99,-0.4
2007-08,2008-01-04,PIS,RAP,RAP,18.27,3,5,0.6,3,5,0.6,0,0,0.0,2,2,1.0,0,1,1,6,2,0,2,2,8,9.4,12,0.68,0.6,0.0,0.4,0.0,5.4,3.2,50.7,6.3,0.0,25.4,22.5,124,93,13.8
2007-08,2008-01-05,PIS,CEL,PIS,12.9,2,4,0.5,2,4,0.5,0,0,0.0,2,2,1.0,2,1,3,0,1,0,1,1,6,5.3,-6,0.615,0.5,0.0,0.5,16.5,9.1,13.0,0.0,4.5,0.0,17.0,23.0,113,107,5.9
2007-08,2008-01-09,PIS,MAV,MAV,22.18,3,9,0.333,3,9,0.333,0,0,0.0,4,6,0.667,0,1,1,1,3,0,0,4,10,6.5,-8,0.43,0.333,0.0,0.667,0.0,7.0,2.8,7.9,7.8,0.0,0.0,25.3,102,113,0.4
2007-08,2008-01-10,PIS,SPU,SPU,6.88,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,105,-9.4
2007-08,2008-01-12,PIS,BOB,BOB,12.63,0,4,0.0,0,3,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,2,0,-2.3,-9,0.0,0.0,0.25,0.0,0.0,9.5,4.5,0.0,4.4,0.0,0.0,14.1,0,103,-17.7
2007-08,2008-01-13,PIS,KNI,KNI,19.43,1,5,0.2,1,5,0.2,0,0,0.0,4,4,1.0,0,3,3,1,0,0,2,1,6,2.1,-5,0.444,0.2,0.0,0.8,0.0,19.5,8.9,12.0,0.0,0.0,22.8,22.6,79,112,-6.6
2007-08,2008-01-15,PIS,RAP,PIS,24.9,3,7,0.429,3,7,0.429,0,0,0.0,2,3,0.667,0,1,1,5,0,0,2,1,8,5.3,-6,0.481,0.429,0.0,0.429,0.0,4.4,2.4,29.9,0.0,0.0,19.4,20.9,96,111,-7.0
2007-08,2008-01-18,PIS,KIN,PIS,10.37,0,4,0.0,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,2,0,-2.9,-17,0.0,0.0,0.25,0.0,0.0,0.0,0.0,13.6,0.0,0.0,0.0,17.8,17,122,-24.5
2007-08,2008-01-19,PIS,BUL,BUL,7.95,1,3,0.333,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,2,2,-1.5,-5,0.333,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.2,50,125,-21.9
2007-08,2008-01-21,PIS,MAG,MAG,13.33,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0.0,0,1,1,1,0,0,2,1,2,-1.1,-5,0.333,0.333,0.0,0.0,0.0,12.9,5.1,11.5,0.0,0.0,40.0,17.3,49,123,-14.2
2007-08,2008-01-23,PIS,76E,76E,11.82,0,4,0.0,0,3,0.0,0,1,0.0,0,0,0.0,0,3,3,2,1,0,1,1,0,-0.9,-3,0.0,0.0,0.25,0.0,0.0,30.5,15.2,25.4,5.3,0.0,20.0,22.4,24,83,-13.5
2007-08,2008-01-25,PIS,MAG,PIS,12.08,0,6,0.0,0,6,0.0,0,0,0.0,0,0,0.0,0,3,3,2,1,0,1,3,0,-3.1,-4,0.0,0.0,0.0,0.0,0.0,28.4,14.9,19.4,4.6,0.0,14.3,27.1,23,100,-23.4
2007-08,2008-01-29,PIS,PAC,PAC,13.52,3,5,0.6,3,5,0.6,0,0,0.0,1,4,0.25,0,2,2,2,0,0,0,1,7,5.1,1,0.518,0.6,0.0,0.8,0.0,16.9,8.1,22.7,0.0,0.0,0.0,22.3,118,121,-1.5
2007-08,2008-01-31,PIS,LAK,PIS,16.48,4,5,0.8,4,5,0.8,0,0,0.0,2,2,1.0,0,1,1,3,1,0,0,0,10,11.5,6,0.85,0.8,0.0,0.4,0.0,7.1,3.6,35.9,3.1,0.0,0.0,16.1,182,100,17.1
2007-08,2008-02-03,PIS,MAV,PIS,19.57,5,11,0.455,5,11,0.455,0,0,0.0,1,2,0.5,1,3,4,2,0,0,1,3,11,5.7,11,0.463,0.455,0.0,0.182,5.6,16.0,10.9,20.7,0.0,0.0,7.8,31.9,96,86,-1.0
2007-08,2008-02-06,PIS,HEA,PIS,15.48,1,4,0.25,1,4,0.25,0,0,0.0,1,2,0.5,0,1,1,3,1,0,0,2,3,2.8,-11,0.307,0.25,0.0,0.5,0.0,9.4,4.4,28.3,3.6,0.0,0.0,15.3,93,108,-4.9
2007-08,2008-02-08,PIS,BLA,PIS,24.0,5,10,0.5,5,10,0.5,0,0,0.0,3,4,0.75,1,2,3,4,0,1,0,1,13,12.0,0,0.553,0.5,0.0,0.4,5.7,10.8,8.3,30.8,0.0,3.0,0.0,25.4,135,105,6.8
