SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2006-07,2006-11-01,JAZ,ROC,JAZ,16.53,3,5,0.6,3,5,0.6,0,0,0.0,3,4,0.75,1,1,2,0,2,0,0,1,9,8.9,9,0.666,0.6,0.0,0.8,7.8,6.3,7.0,0.0,6.3,0.0,0.0,18.9,147,99,11.7
2006-07,2006-11-03,JAZ,SUN,SUN,3.1,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,2,1,0,-2.8,-2,0.0,0.0,0.0,0.0,0.0,36.9,19.4,0.0,0.0,0.0,66.7,40.8,0,105,-48.3
2006-07,2006-11-04,JAZ,WAR,JAZ,6.65,2,5,0.4,2,5,0.4,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,4,1.6,5,0.4,0.4,0.0,0.0,19.0,0.0,8.5,0.0,0.0,0.0,0.0,33.2,103,99,-9.9
2006-07,2006-11-06,JAZ,PIS,JAZ,4.07,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,0,0,0.6,2,0.0,0.0,0.0,0.0,0.0,26.8,14.1,29.5,13.2,0.0,0.0,21.9,33,81,1.3
2006-07,2006-11-08,JAZ,NNE,NNE,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2006-07,2006-11-10,JAZ,CEL,CEL,3.8,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,2.0,-7,1.0,1.0,0.0,0.0,0.0,29.4,15.2,0.0,0.0,0.0,0.0,12.4,200,107,6.1
2006-07,2006-11-11,JAZ,BUC,BUC,2.82,0,0,0.0,0,0,0.0,0,0,0.0,0,2,0.0,0,0,0,0,0,1,1,1,0,-1.5,-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,53.2,28.6,0,100,-23.6
2006-07,2006-11-14,JAZ,CLI,JAZ,25.02,5,7,0.714,5,7,0.714,0,0,0.0,2,5,0.4,1,0,1,0,1,2,1,1,12,9.6,12,0.652,0.714,0.0,0.714,4.8,0.0,2.7,0.0,2.0,6.4,9.8,18.3,117,92,4.9
2006-07,2006-11-17,JAZ,SUP,SUP,23.78,5,9,0.556,5,8,0.625,0,1,0.0,1,2,0.5,4,1,5,1,2,0,3,1,11,8.7,1,0.557,0.556,0.111,0.222,19.7,6.1,13.6,5.8,4.2,0.0,23.3,22.3,102,111,0.3
2006-07,2006-11-18,JAZ,SUN,JAZ,27.37,2,6,0.333,2,4,0.5,0,2,0.0,4,4,1.0,1,1,2,0,1,0,0,0,8,6.6,-11,0.515,0.333,0.333,0.667,5.0,4.6,4.8,0.0,1.9,0.0,0.0,12.3,130,116,-0.1
2006-07,2006-11-20,JAZ,RAP,JAZ,20.67,2,2,1.0,2,2,1.0,0,0,0.0,0,0,0.0,1,1,2,0,1,0,0,1,4,5.0,-3,1.0,1.0,0.0,0.0,5.4,5.3,5.3,0.0,2.5,0.0,0.0,4.2,201,104,4.1
2006-07,2006-11-22,JAZ,KIN,KIN,13.97,5,7,0.714,5,6,0.833,0,1,0.0,1,2,0.5,1,1,2,1,0,0,1,1,11,8.0,-7,0.698,0.714,0.143,0.286,8.8,8.0,8.4,11.9,0.0,0.0,11.3,27.7,127,115,4.5
2006-07,2006-11-24,JAZ,LAK,JAZ,16.9,3,3,1.0,3,3,1.0,0,0,0.0,1,2,0.5,1,3,4,1,1,0,0,3,7,7.8,0,0.902,1.0,0.0,0.667,7.9,23.7,15.8,8.5,3.1,0.0,0.0,10.5,183,116,6.7
2006-07,2006-11-25,JAZ,WAR,WAR,10.55,1,4,0.25,1,3,0.333,0,1,0.0,2,2,1.0,0,0,0,1,0,0,1,1,4,0.9,-12,0.41,0.25,0.25,0.5,0.0,0.0,0.0,20.3,0.0,0.0,17.0,23.5,83,109,-7.4
2006-07,2006-11-27,JAZ,MAG,JAZ,20.28,4,7,0.571,4,6,0.667,0,1,0.0,1,2,0.5,1,2,3,1,1,0,0,0,9,8.3,-9,0.571,0.571,0.143,0.286,6.8,10.3,8.8,12.1,2.7,0.0,0.0,19.1,117,99,8.8
2006-07,2006-11-29,JAZ,SPU,JAZ,8.93,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-1.4,-4,0.0,0.0,0.0,0.0,12.5,0.0,6.4,0.0,0.0,0.0,0.0,16.8,24,105,-17.3
2006-07,2006-11-30,JAZ,LAK,LAK,23.03,4,8,0.5,4,8,0.5,0,0,0.0,0,1,0.0,0,1,1,2,2,0,0,2,8,6.5,-5,0.474,0.5,0.0,0.125,0.0,6.7,2.7,13.6,4.3,0.0,0.0,15.6,106,133,-0.2
2006-07,2006-12-02,JAZ,SUP,JAZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2006-07,2006-12-04,JAZ,BUC,JAZ,2.32,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,107,-25.3
2006-07,2006-12-08,JAZ,TIM,TIM,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2006-07,2006-12-11,JAZ,MAV,JAZ,2.9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,96,-1.8
2006-07,2006-12-13,JAZ,CLI,CLI,6.07,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,2,0.3,9,0.5,0.5,0.0,0.0,0.0,19.8,10.8,0.0,0.0,0.0,33.3,23.0,60,101,-11.9
2006-07,2006-12-15,JAZ,KIN,JAZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2006-07,2006-12-17,JAZ,PAC,PAC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2006-07,2006-12-18,JAZ,KNI,KNI,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2006-07,2006-12-20,JAZ,HAW,HAW,12.13,1,2,0.5,1,2,0.5,0,0,0.0,6,8,0.75,2,1,3,2,2,1,0,1,8,11.6,15,0.725,0.5,0.0,4.0,22.6,10.7,16.5,22.6,8.1,6.1,0.0,19.6,173,96,25.0
2006-07,2006-12-22,JAZ,BOB,BOB,6.12,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.7,-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,15.4,0,118,-20.7
2006-07,2006-12-23,JAZ,GRI,GRI,23.2,5,6,0.833,5,6,0.833,0,0,0.0,0,0,0.0,1,0,1,0,3,0,0,2,10,10.7,5,0.833,0.833,0.0,0.0,5.9,0.0,3.0,0.0,7.3,0.0,0.0,12.0,170,105,10.5
2006-07,2006-12-26,JAZ,CLI,JAZ,18.25,0,1,0.0,0,1,0.0,0,0,0.0,2,2,1.0,2,3,5,0,1,0,0,0,2,4.6,-3,0.532,0.0,0.0,2.0,12.8,20.2,16.4,0.0,2.9,0.0,0.0,4.8,155,101,1.9
2006-07,2006-12-28,JAZ,SPU,SPU,18.38,1,5,0.2,1,5,0.2,0,0,0.0,1,2,0.5,0,1,1,0,1,0,2,1,3,-1.6,2,0.255,0.2,0.0,0.4,0.0,6.2,3.0,0.0,2.8,0.0,25.4,20.2,40,117,-14.1
2006-07,2006-12-30,JAZ,BLA,JAZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2006-07,2007-01-03,JAZ,76E,JAZ,5.93,0,1,0.0,0,1,0.0,0,0,0.0,2,2,1.0,0,0,0,1,1,0,0,0,2,3.0,0,0.532,0.0,0.0,2.0,0.0,0.0,0.0,24.5,8.9,0.0,0.0,14.4,141,85,14.0
2006-07,2007-01-05,JAZ,ROC,ROC,17.27,2,4,0.5,2,4,0.5,0,0,0.0,4,4,1.0,1,2,3,1,0,1,0,1,8,8.3,4,0.694,0.5,0.0,1.0,6.5,11.6,9.2,10.5,0.0,5.3,0.0,15.5,154,114,9.7
2006-07,2007-01-06,JAZ,NUG,NUG,0.95,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,97,-24.8
2006-07,2007-01-09,JAZ,MAV,JAZ,4.65,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,2,2.7,12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.0,0.0,9.8,200,98,20.4
2006-07,2007-01-12,JAZ,SUP,SUP,2.15,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,130,-6.4
2006-07,2007-01-13,JAZ,HEA,JAZ,13.63,2,4,0.5,2,4,0.5,0,0,0.0,0,2,0.0,0,0,0,0,1,0,0,2,4,1.4,9,0.41,0.5,0.0,0.5,0.0,0.0,0.0,0.0,3.8,0.0,0.0,15.7,83,125,-5.5
2006-07,2007-01-15,JAZ,WIZ,WIZ,20.72,4,10,0.4,4,9,0.444,0,1,0.0,0,0,0.0,2,0,2,0,1,0,1,4,8,2.4,0,0.4,0.4,0.1,0.0,11.0,0.0,5.5,0.0,2.6,0.0,9.1,23.0,91,130,-10.4
2006-07,2007-01-17,JAZ,PIS,PIS,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2006-07,2007-01-19,JAZ,RAP,RAP,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2006-07,2007-01-20,JAZ,BUL,BUL,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2006-07,2007-01-22,JAZ,TIM,JAZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2006-07,2007-01-24,JAZ,GRI,JAZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2006-07,2007-01-26,JAZ,NUG,JAZ,16.27,5,6,0.833,5,6,0.833,0,0,0.0,2,2,1.0,1,3,4,0,1,0,0,2,12,11.6,14,0.872,0.833,0.0,0.333,8.4,22.1,15.7,0.0,3.0,0.0,0.0,18.5,179,108,13.5
2006-07,2007-01-27,JAZ,NOH,NOH,15.28,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0,1,2,0,0,2,0,-0.2,-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,7.3,0.0,0.0,8.9,18,103,-6.6
2006-07,2007-01-29,JAZ,NNE,JAZ,8.47,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,2,1.2,-6,1.0,1.0,0.0,0.0,0.0,17.2,8.7,0.0,0.0,0.0,0.0,5.2,200,133,-3.5
2006-07,2007-01-31,JAZ,SPU,JAZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2006-07,2007-02-03,JAZ,SUN,SUN,12.0,2,3,0.667,2,3,0.667,0,0,0.0,1,1,1.0,0,0,0,1,0,0,0,0,5,4.4,14,0.727,0.667,0.0,0.333,0.0,0.0,0.0,11.1,0.0,0.0,0.0,12.8,165,129,4.2
2006-07,2007-02-05,JAZ,BUL,JAZ,1.43,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1.7,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3,200,114,27.6
2006-07,2007-02-10,JAZ,KNI,JAZ,6.65,1,2,0.5,1,2,0.5,0,0,0.0,1,1,1.0,0,0,0,0,0,0,0,0,3,2.0,-2,0.615,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,130,118,-3.1
2006-07,2007-02-12,JAZ,HAW,JAZ,10.07,2,4,0.5,2,4,0.5,0,0,0.0,0,0,0.0,3,1,4,0,0,0,1,0,4,3.4,-6,0.5,0.5,0.0,0.0,38.7,10.1,22.7,0.0,0.0,0.0,20.0,23.2,104,96,-0.9
2006-07,2007-02-14,JAZ,CAV,JAZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2006-07,2007-02-20,JAZ,BLA,BLA,16.43,2,4,0.5,2,4,0.5,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,2,4,3.2,3,0.5,0.5,0.0,0.0,0.0,7.7,3.9,10.4,3.2,0.0,0.0,10.7,117,112,0.1
2006-07,2007-02-23,JAZ,NUG,NUG,11.97,4,5,0.8,4,5,0.8,0,0,0.0,1,2,0.5,1,1,2,1,1,0,1,0,9,8.4,10,0.765,0.8,0.0,0.4,9.3,12.2,10.6,16.7,4.0,0.0,14.5,24.1,129,102,12.3
2006-07,2007-02-24,JAZ,CEL,JAZ,12.22,0,2,0.0,0,1,0.0,0,1,0.0,3,4,0.75,1,0,1,1,3,0,0,3,3,4.4,9,0.399,0.0,0.5,2.0,10.1,0.0,5.0,9.6,12.9,0.0,0.0,13.6,121,80,6.5
