SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2008-09,2008-10-29,PAC,PIS,PIS,6.22,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,2,1.7,-6,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,15.3,97,108,0.7
2008-09,2008-11-01,PAC,CEL,PAC,12.1,2,3,0.667,2,3,0.667,0,0,0.0,1,2,0.5,1,2,3,0,0,1,0,3,5,4.1,-1,0.644,0.667,0.0,0.667,8.4,15.0,11.9,0.0,0.0,6.8,0.0,14.7,137,83,1.8
2008-09,2008-11-05,PAC,SUN,PAC,14.33,1,5,0.2,1,5,0.2,0,0,0.0,0,0,0.0,1,1,2,2,1,0,0,3,2,1.1,-2,0.2,0.2,0.0,0.0,7.8,9.3,8.5,19.9,3.4,0.0,0.0,15.2,74,113,-5.9
2008-09,2008-11-07,PAC,CAV,CAV,19.05,4,8,0.5,4,8,0.5,0,0,0.0,3,3,1.0,5,4,9,2,0,2,5,6,11,7.1,-10,0.59,0.5,0.0,0.375,30.0,31.5,30.6,15.3,0.0,8.8,34.9,30.4,95,112,-5.0
2008-09,2008-11-08,PAC,NNE,PAC,16.1,2,3,0.667,2,3,0.667,0,0,0.0,0,2,0.0,2,2,4,2,1,1,3,5,4,2.0,4,0.515,0.667,0.0,0.667,14.2,13.0,13.6,19.9,3.4,5.2,43.6,19.8,74,85,-6.2
2008-09,2008-11-10,PAC,THU,PAC,10.25,4,6,0.667,4,6,0.667,0,0,0.0,0,3,0.0,1,2,3,0,1,0,0,4,8,4.9,-9,0.546,0.667,0.0,0.5,11.7,18.0,15.3,0.0,4.8,0.0,0.0,31.5,105,94,-2.7
2008-09,2008-11-12,PAC,NNE,NNE,21.85,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,2,2,2,1,2,1,0,0,2.0,-5,0.0,0.0,0.0,0.0,0.0,10.5,5.5,12.6,2.5,7.6,33.3,6.8,36,100,-4.1
2008-09,2008-11-14,PAC,76E,PAC,1.0,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,3,2,1.2,1,1.0,1.0,0.0,0.0,100.0,0.0,46.6,0.0,0.0,0.0,0.0,43.8,203,98,-1.8
2008-09,2008-11-15,PAC,BUL,BUL,2.1,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,2,0,0,0,1.7,0,0.0,0.0,0.0,0.0,0.0,45.7,21.4,65.3,0.0,58.6,0.0,18.7,45,37,36.7
2008-09,2008-11-18,PAC,HAW,PAC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
