SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2019-20,2019-10-23,WIZ,MAV,MAV,24.85,7,15,0.467,7,12,0.583,0,3,0.0,0,0,0.0,4,6,10,0,0,0,0,2,14,10.1,2,0.467,0.467,0.2,0.0,14.9,28.3,20.8,0.0,0.0,0.0,0.0,24.6,102,107,-0.6
2019-20,2019-10-25,WIZ,THU,THU,34.65,8,20,0.4,8,16,0.5,0,4,0.0,3,3,1.0,1,4,5,2,1,0,1,1,19,11.1,10,0.446,0.4,0.2,0.15,2.8,12.0,7.2,9.9,1.3,0.0,4.5,26.6,92,86,0.5
2019-20,2019-10-26,WIZ,SPU,SPU,37.98,8,14,0.571,8,13,0.615,0,1,0.0,0,0,0.0,3,5,8,3,1,1,2,0,16,14.8,-5,0.571,0.571,0.071,0.0,9.5,11.7,10.8,10.3,1.2,1.6,12.5,17.7,113,122,-1.9
2019-20,2019-10-30,WIZ,ROC,WIZ,35.52,9,15,0.6,6,12,0.5,3,3,1.0,2,2,1.0,2,3,5,0,0,0,1,2,23,16.6,-12,0.724,0.7,0.2,0.133,7.5,8.4,8.0,0.0,0.0,0.0,5.9,18.6,145,150,-4.0
2019-20,2019-11-02,WIZ,TIM,WIZ,22.48,2,11,0.182,2,9,0.222,0,2,0.0,0,0,0.0,1,1,2,0,0,0,1,2,4,-3.7,-28,0.182,0.182,0.182,0.0,4.1,6.3,5.0,0.0,0.0,0.0,8.3,20.7,40,119,-20.7
2019-20,2019-11-04,WIZ,PIS,WIZ,16.3,5,7,0.714,4,5,0.8,1,2,0.5,1,1,1.0,2,2,4,3,1,0,1,4,12,11.6,-2,0.806,0.786,0.286,0.143,14.0,14.4,14.2,31.2,3.1,0.0,11.8,21.6,152,103,13.6
2019-20,2019-11-06,WIZ,PAC,PAC,20.83,0,5,0.0,0,4,0.0,0,1,0.0,0,0,0.0,1,7,8,1,0,0,1,0,0,-1.0,-19,0.0,0.0,0.2,0.0,4.5,35.8,19.2,6.2,0.0,0.0,16.7,11.6,22,116,-13.1
2019-20,2019-11-08,WIZ,CAV,WIZ,35.3,10,13,0.769,10,13,0.769,0,0,0.0,1,2,0.5,4,3,7,3,2,0,2,3,21,20.1,-15,0.756,0.769,0.0,0.154,11.3,8.7,10.0,13.0,2.8,0.0,12.6,18.5,139,117,8.0
2019-20,2019-11-13,WIZ,CEL,CEL,24.25,9,12,0.75,9,11,0.818,0,1,0.0,3,4,0.75,3,1,4,2,1,0,0,5,21,18.6,-5,0.763,0.75,0.083,0.333,13.8,5.3,9.9,12.3,1.9,0.0,0.0,23.5,163,135,6.3
2019-20,2019-11-15,WIZ,TIM,TIM,25.18,4,10,0.4,4,8,0.5,0,2,0.0,0,0,0.0,1,3,4,3,2,0,2,1,8,5.9,10,0.4,0.4,0.2,0.0,4.1,12.2,8.1,12.3,3.5,0.0,16.7,18.4,85,104,-6.4
2019-20,2019-11-17,WIZ,MAG,MAG,27.92,3,7,0.429,3,7,0.429,0,0,0.0,0,0,0.0,1,3,4,2,0,0,0,2,6,4.5,-3,0.429,0.429,0.0,0.0,3.4,12.9,7.6,8.4,0.0,0.0,0.0,10.8,107,130,-8.8
2019-20,2019-11-20,WIZ,SPU,WIZ,25.45,5,10,0.5,5,9,0.556,0,1,0.0,5,6,0.833,2,5,7,2,0,0,1,4,15,11.3,13,0.593,0.5,0.1,0.6,10.8,21.4,16.7,8.5,0.0,0.0,7.3,22.3,126,126,-6.9
2019-20,2019-11-22,WIZ,HOR,WIZ,21.33,7,12,0.583,7,11,0.636,0,1,0.0,1,2,0.5,0,2,2,0,2,0,1,1,15,10.2,-3,0.582,0.583,0.083,0.167,0.0,10.7,5.3,0.0,4.3,0.0,7.2,28.2,98,110,-4.6
2019-20,2019-11-24,WIZ,KIN,WIZ,23.4,2,7,0.286,1,5,0.2,1,2,0.5,2,2,1.0,0,4,4,1,1,0,1,0,7,4.8,-8,0.444,0.357,0.286,0.286,0.0,21.0,9.8,5.4,2.1,0.0,11.3,16.1,90,113,-4.0
2019-20,2019-11-26,WIZ,NUG,NUG,22.02,3,10,0.3,2,7,0.286,1,3,0.333,0,0,0.0,0,4,4,2,1,0,0,4,7,3.2,-16,0.35,0.35,0.3,0.0,0.0,21.3,9.3,13.0,2.0,0.0,0.0,18.8,75,106,-5.8
2019-20,2019-11-27,WIZ,SUN,SUN,31.03,2,8,0.25,2,7,0.286,0,1,0.0,2,2,1.0,1,5,6,0,0,2,0,2,6,4.0,5,0.338,0.25,0.125,0.25,4.8,18.4,12.5,0.0,0.0,5.6,0.0,12.3,80,127,-11.2
2019-20,2019-11-29,WIZ,LAK,LAK,26.38,7,15,0.467,7,12,0.583,0,3,0.0,2,2,1.0,1,7,8,1,1,0,1,2,16,11.0,-27,0.504,0.467,0.2,0.133,3.4,32.7,15.8,7.2,1.7,0.0,5.9,25.3,101,116,-1.3
2019-20,2019-12-01,WIZ,CLI,CLI,38.45,13,23,0.565,11,18,0.611,2,5,0.4,2,3,0.667,2,7,9,3,1,0,0,3,30,24.1,-8,0.617,0.609,0.217,0.13,4.6,21.3,11.8,12.2,1.1,0.0,0.0,23.7,129,132,3.5
2019-20,2019-12-03,WIZ,MAG,WIZ,38.5,6,12,0.5,6,9,0.667,0,3,0.0,3,3,1.0,0,6,6,4,0,0,1,4,15,11.0,6,0.563,0.5,0.25,0.25,0.0,18.2,8.7,13.3,0.0,0.0,7.0,16.4,115,127,-5.3
2019-20,2019-12-05,WIZ,76E,WIZ,42.52,11,18,0.611,10,15,0.667,1,3,0.333,4,4,1.0,1,6,7,0,2,0,2,3,27,20.1,1,0.683,0.639,0.167,0.222,2.3,18.8,9.3,0.0,2.3,0.0,9.2,21.3,125,112,1.5
2019-20,2019-12-06,WIZ,HEA,HEA,39.18,6,15,0.4,6,13,0.462,0,2,0.0,2,2,1.0,1,5,6,2,1,0,1,1,14,9.1,-14,0.441,0.4,0.133,0.133,2.6,14.9,8.3,7.7,1.3,0.0,5.9,19.1,91,118,-6.1
2019-20,2019-12-08,WIZ,CLI,WIZ,37.4,5,14,0.357,5,13,0.385,0,1,0.0,7,7,1.0,3,4,7,4,0,0,0,3,17,14.1,-34,0.498,0.357,0.071,0.5,8.8,13.2,10.8,15.3,0.0,0.0,0.0,19.2,123,133,-3.3
2019-20,2019-12-10,WIZ,HOR,HOR,32.82,7,16,0.438,7,15,0.467,0,1,0.0,4,6,0.667,4,8,12,2,1,0,0,5,18,14.4,-30,0.483,0.438,0.063,0.375,11.7,27.2,18.9,10.5,1.5,0.0,0.0,24.6,115,117,-3.7
2019-20,2019-12-14,WIZ,GRI,GRI,28.67,4,10,0.4,3,8,0.375,1,2,0.5,1,2,0.5,0,4,4,0,0,0,0,3,10,4.2,-18,0.46,0.45,0.2,0.2,0.0,20.9,8.4,0.0,0.0,0.0,0.0,15.6,95,127,-10.4
2019-20,2019-12-16,WIZ,PIS,PIS,17.02,3,4,0.75,3,3,1.0,0,1,0.0,1,1,1.0,1,1,2,0,0,0,1,0,7,5.4,-4,0.788,0.75,0.25,0.25,9.1,7.1,7.9,0.0,0.0,0.0,18.4,13.7,130,125,-4.0
2019-20,2020-02-03,WIZ,WAR,WIZ,25.87,5,8,0.625,5,8,0.625,0,0,0.0,1,2,0.5,0,8,8,0,0,0,2,1,11,7.0,-4,0.619,0.625,0.0,0.25,0.0,33.0,18.8,0.0,0.0,0.0,18.4,18.9,90,121,-8.3
2019-20,2020-02-07,WIZ,MAV,WIZ,28.7,7,12,0.583,5,8,0.625,2,4,0.5,1,2,0.5,1,5,6,1,2,0,2,0,17,13.9,-7,0.66,0.667,0.333,0.167,4.0,18.2,11.4,5.0,3.4,0.0,13.4,22.9,112,117,0.8
2019-20,2020-02-09,WIZ,GRI,WIZ,24.97,5,13,0.385,4,11,0.364,1,2,0.5,1,2,0.5,3,8,11,1,0,0,0,3,12,8.5,-5,0.432,0.423,0.154,0.154,9.9,28.5,18.9,7.6,0.0,0.0,0.0,22.3,95,97,-1.8
2019-20,2020-02-11,WIZ,BUL,WIZ,31.8,7,12,0.583,7,12,0.583,0,0,0.0,6,6,1.0,2,2,4,3,2,2,2,2,20,19.1,20,0.683,0.583,0.0,0.5,7.0,6.7,6.9,12.1,2.8,5.7,12.0,21.5,132,105,4.2
