SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2009-10,2009-10-28,THU,KIN,THU,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2009-10,2009-10-30,THU,PIS,PIS,2.88,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,-3,0.0,0.0,0.0,0.0,0.0,37.0,18.9,0.0,0.0,0.0,0.0,0.0,0,91,-1.4
2009-10,2009-11-01,THU,BLA,THU,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2009-10,2009-11-03,THU,LAK,THU,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2009-10,2009-11-06,THU,ROC,ROC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2009-10,2009-11-08,THU,MAG,THU,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2009-10,2009-11-10,THU,KIN,KIN,2.13,0,0,0.0,0,0,0.0,0,0,0.0,2,2,1.0,0,1,1,0,0,0,1,0,2,1.3,7,1.136,0.0,0.0,0.0,0.0,52.3,25.9,0.0,0.0,0.0,53.2,39.0,107,96,-0.8
2009-10,2009-11-11,THU,CLI,CLI,15.58,2,4,0.5,2,4,0.5,0,0,0.0,0,0,0.0,2,1,3,0,0,1,1,6,4,1.0,6,0.5,0.5,0.0,0.0,15.0,6.4,10.4,0.0,0.0,5.3,20.0,15.0,93,96,-10.5
2009-10,2009-11-14,THU,SPU,SPU,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2009-10,2009-11-15,THU,CLI,THU,3.17,0,0,0.0,0,0,0.0,0,0,0.0,0,2,0.0,1,0,1,0,0,0,1,0,0,-1.1,-2,0.0,0.0,0.0,0.0,31.6,0.0,16.8,0.0,0.0,0.0,53.2,26.0,23,122,-30.2
2009-10,2009-11-17,THU,HEA,HEA,1.87,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,106,-15.5
2009-10,2009-11-18,THU,MAG,MAG,23.25,2,3,0.667,2,3,0.667,0,0,0.0,2,3,0.667,0,9,9,0,1,1,1,5,6,5.7,-2,0.694,0.667,0.0,1.0,0.0,40.4,20.9,0.0,2.1,4.1,18.8,10.4,109,103,-1.6
