SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-10-31,SUN,WAR,WAR,28.12,6,16,0.375,4,11,0.364,2,5,0.4,2,2,1.0,2,4,6,1,1,1,3,3,16,8.0,-12,0.474,0.438,0.313,0.125,6.6,14.6,10.4,6.7,1.7,2.4,15.1,29.4,84,95,-2.2
2000-01,2000-11-02,SUN,BLA,SUN,36.12,8,19,0.421,7,15,0.467,1,4,0.25,4,4,1.0,2,8,10,1,2,2,2,2,21,16.0,11,0.506,0.447,0.211,0.211,7.0,31.4,18.5,4.4,3.0,4.8,8.8,28.6,105,85,1.3
2000-01,2000-11-04,SUN,NUG,NUG,44.33,8,12,0.667,7,8,0.875,1,4,0.25,4,6,0.667,1,7,8,2,1,3,1,2,21,20.5,3,0.717,0.708,0.333,0.5,3.3,18.2,11.6,7.7,1.1,5.0,6.4,15.0,142,99,8.2
2000-01,2000-11-05,SUN,ROC,SUN,32.83,5,10,0.5,5,9,0.556,0,1,0.0,0,0,0.0,4,4,8,2,1,1,3,4,10,7.5,1,0.5,0.5,0.1,0.0,16.6,14.5,15.5,9.8,1.7,2.4,23.1,18.7,97,114,-4.4
2000-01,2000-11-07,SUN,SPU,SUN,40.97,10,12,0.833,10,12,0.833,0,0,0.0,3,3,1.0,1,7,8,2,3,1,0,2,23,25.7,18,0.863,0.833,0.0,0.25,3.3,20.0,12.2,7.5,3.7,1.7,0.0,15.1,176,83,13.0
2000-01,2000-11-09,SUN,HAW,SUN,41.32,10,22,0.455,10,21,0.476,0,1,0.0,4,6,0.667,8,5,13,1,2,5,3,0,24,22.1,17,0.487,0.455,0.045,0.273,19.5,12.7,16.2,4.8,2.5,7.9,10.9,28.3,102,82,6.5
2000-01,2000-11-11,SUN,HEA,SUN,39.28,8,12,0.667,8,10,0.8,0,2,0.0,2,2,1.0,1,12,13,3,2,2,5,3,18,16.4,1,0.699,0.667,0.167,0.167,2.9,37.9,19.8,15.9,2.6,4.2,28.0,20.2,99,82,6.2
2000-01,2000-11-15,SUN,MAV,SUN,41.7,9,18,0.5,9,18,0.5,0,0,0.0,1,1,1.0,6,13,19,0,4,5,3,4,19,21.0,26,0.515,0.5,0.0,0.056,18.5,36.2,27.8,0.0,4.7,9.2,14.0,21.7,101,67,7.1
2000-01,2000-11-17,SUN,KNI,SUN,43.68,7,16,0.438,3,8,0.375,4,8,0.5,2,3,0.667,2,13,15,3,3,1,2,6,20,17.9,6,0.577,0.563,0.5,0.188,5.9,32.2,20.2,15.3,3.4,1.7,10.4,19.3,112,84,11.1
2000-01,2000-11-18,SUN,ROC,ROC,42.78,7,15,0.467,7,15,0.467,0,0,0.0,6,6,1.0,5,12,17,0,1,0,3,3,20,16.2,-3,0.567,0.467,0.0,0.4,12.7,34.3,22.9,0.0,1.2,0.0,14.5,21.9,110,98,0.8
2000-01,2000-11-22,SUN,NNE,SUN,40.53,6,15,0.4,6,15,0.4,0,0,0.0,3,4,0.75,4,8,12,7,3,1,0,3,15,19.1,8,0.447,0.4,0.0,0.267,12.0,24.6,18.2,24.1,3.8,1.8,0.0,19.1,118,84,7.8
2000-01,2000-11-24,SUN,WAR,SUN,46.7,9,23,0.391,9,21,0.429,0,2,0.0,1,2,0.5,5,11,16,3,0,2,1,2,19,14.6,4,0.398,0.391,0.087,0.087,9.3,22.5,15.6,14.0,0.0,2.7,4.0,22.2,92,80,2.6
2000-01,2000-11-25,SUN,CLI,CLI,36.88,11,23,0.478,10,19,0.526,1,4,0.25,3,4,0.75,3,7,10,2,1,0,2,5,26,16.5,11,0.525,0.5,0.174,0.174,9.3,20.9,15.2,14.9,1.4,0.0,7.5,35.0,99,89,1.7
2000-01,2000-11-29,SUN,VGR,VGR,53.17,6,17,0.353,5,15,0.333,1,2,0.5,1,2,0.5,3,16,19,8,1,3,1,5,14,16.7,-1,0.391,0.382,0.118,0.118,6.1,36.5,20.4,26.2,1.0,3.9,5.3,16.4,100,93,4.3
2000-01,2000-12-01,SUN,KIN,KIN,38.4,6,14,0.429,5,11,0.455,1,3,0.333,4,5,0.8,2,8,10,2,1,1,1,2,17,14.3,-3,0.525,0.464,0.214,0.357,4.7,25.9,13.6,8.3,1.3,1.8,5.8,18.5,114,104,3.6
2000-01,2000-12-03,SUN,BLA,SUN,45.93,7,15,0.467,7,14,0.5,0,1,0.0,3,3,1.0,2,11,13,3,2,1,1,3,17,16.6,8,0.521,0.467,0.067,0.2,4.7,28.7,16.1,12.7,2.3,1.7,5.8,18.2,109,84,3.8
2000-01,2000-12-07,SUN,BUC,BUC,35.02,4,9,0.444,4,9,0.444,0,0,0.0,2,3,0.667,1,7,8,1,2,1,1,4,10,8.5,10,0.484,0.444,0.0,0.333,4.0,22.3,14.2,4.1,3.2,2.1,8.8,15.7,101,105,-3.9
