SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2022-23,2022-10-19,JAZ,NUG,JAZ,0.92,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,109,-2.8
2022-23,2022-10-21,JAZ,TIM,TIM,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2022-23,2022-10-23,JAZ,PEL,PEL,0.15,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,123,-7.4
2022-23,2022-10-24,JAZ,ROC,ROC,15.73,5,9,0.556,2,4,0.5,3,5,0.6,0,0,0.0,2,1,3,0,0,0,2,4,13,6.8,-4,0.722,0.722,0.556,0.0,12.7,6.4,9.5,0.0,0.0,0.0,18.2,28.0,119,124,-0.3
2022-23,2022-10-26,JAZ,ROC,JAZ,6.02,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-1.1,-6,0.0,0.0,1.0,0.0,0.0,14.2,7.8,0.0,0.0,0.0,0.0,13.5,0,102,-18.7
2022-23,2022-11-04,JAZ,LAK,LAK,1.28,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-0.4,2,0.0,0.0,1.0,0.0,0.0,89.1,42.5,0.0,0.0,0.0,0.0,32.4,0,109,-38.2
2022-23,2022-11-06,JAZ,CLI,CLI,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2022-23,2022-11-07,JAZ,LAK,JAZ,5.03,1,4,0.25,1,1,1.0,0,3,0.0,0,0,0.0,0,1,1,0,1,0,1,1,2,-0.5,-2,0.25,0.25,0.75,0.0,0.0,25.1,12.9,0.0,9.2,0.0,20.0,40.2,43,97,-27.9
2022-23,2022-11-09,JAZ,HAW,HAW,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2022-23,2022-11-12,JAZ,WIZ,WIZ,2.47,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,127,-8.2
