SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2017-18,2017-10-19,CLI,LAK,LAK,3.4,1,1,1.0,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,1,2,3,0.9,-6,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,22.3,80,93,1.3
2017-18,2017-10-21,CLI,SUN,CLI,6.63,3,5,0.6,3,5,0.6,0,0,0.0,2,2,1.0,0,0,0,1,2,0,0,1,8,8.0,14,0.68,0.6,0.0,0.4,0.0,0.0,0.0,27.5,14.3,0.0,0.0,37.6,146,64,24.6
2017-18,2017-10-24,CLI,JAZ,CLI,4.18,1,2,0.5,1,1,1.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,0.6,-5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,101,102,-9.1
2017-18,2017-10-26,CLI,BLA,BLA,8.53,1,2,0.5,1,2,0.5,0,0,0.0,4,4,1.0,1,1,2,1,0,0,0,2,6,5.9,3,0.798,0.5,0.0,2.0,13.4,11.7,12.5,18.5,0.0,0.0,0.0,20.4,187,122,12.1
2017-18,2017-10-28,CLI,PIS,CLI,9.0,1,3,0.333,1,2,0.5,0,1,0.0,1,2,0.5,2,1,3,0,0,1,0,1,3,2.9,-9,0.387,0.333,0.333,0.667,20.1,11.1,15.8,0.0,0.0,8.9,0.0,18.5,102,100,1.8
2017-18,2017-10-30,CLI,WAR,CLI,17.1,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,1,2,1.9,-17,0.333,0.333,0.0,0.0,0.0,7.0,3.5,7.8,2.8,0.0,0.0,7.6,86,140,-4.6
2017-18,2017-11-01,CLI,MAV,CLI,23.05,1,4,0.25,1,3,0.333,0,1,0.0,1,2,0.5,1,0,1,3,0,1,0,4,3,2.1,13,0.307,0.25,0.25,0.5,5.8,0.0,2.4,16.1,0.0,3.9,0.0,9.5,107,106,-4.8
2017-18,2017-11-04,CLI,GRI,CLI,9.73,0,1,0.0,0,1,0.0,0,0,0.0,1,4,0.25,0,1,1,0,0,1,0,2,1,-0.7,-8,0.181,0.0,0.0,4.0,0.0,13.3,6.0,0.0,0.0,9.3,0.0,12.4,42,121,-12.4
2017-18,2017-11-05,CLI,HEA,CLI,12.13,0,4,0.0,0,2,0.0,0,2,0.0,2,2,1.0,0,0,0,0,0,0,4,3,2,-6.0,-4,0.205,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,45.0,30.5,26,122,-36.2
2017-18,2017-11-07,CLI,SPU,SPU,16.73,3,6,0.5,3,6,0.5,0,0,0.0,0,1,0.0,1,1,2,1,2,0,1,1,6,4.9,3,0.466,0.5,0.0,0.167,7.5,7.2,7.4,8.6,6.1,0.0,13.4,20.0,94,120,-1.0
2017-18,2017-11-10,CLI,THU,THU,22.98,4,5,0.8,3,4,0.75,1,1,1.0,1,1,1.0,0,1,1,0,1,2,3,5,10,5.8,-11,0.919,0.9,0.2,0.2,0.0,5.1,2.4,0.0,2.2,8.0,35.5,15.3,110,120,3.1
2017-18,2017-11-11,CLI,PEL,PEL,31.87,2,5,0.4,1,3,0.333,1,2,0.5,2,2,1.0,2,0,2,2,2,0,2,5,7,5.1,-9,0.595,0.5,0.4,0.4,5.9,0.0,3.4,9.4,3.0,0.0,25.4,10.9,107,110,-2.2
2017-18,2017-11-13,CLI,76E,CLI,30.72,3,7,0.429,2,4,0.5,1,3,0.333,0,1,0.0,0,2,2,0,0,1,2,2,7,1.4,-13,0.47,0.5,0.429,0.143,0.0,8.9,3.7,0.0,0.0,3.5,21.2,13.3,71,113,-6.3
2017-18,2017-11-17,CLI,CAV,CAV,31.3,5,9,0.556,2,6,0.333,3,3,1.0,0,0,0.0,0,1,1,2,0,1,1,4,13,8.5,-8,0.722,0.722,0.333,0.0,0.0,3.4,1.6,9.0,0.0,3.0,10.0,13.6,127,114,1.4
2017-18,2017-11-18,CLI,HOR,HOR,30.75,2,5,0.4,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,3,2,0,1,4,5,3.8,-3,0.5,0.5,0.4,0.0,0.0,0.0,0.0,15.7,3.2,0.0,16.7,8.9,95,107,-1.0
2017-18,2017-11-20,CLI,KNI,KNI,15.75,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,3,0,-1.2,-12,0.0,0.0,0.0,0.0,6.5,0.0,3.5,0.0,0.0,0.0,0.0,2.8,51,123,-12.2
