SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2015-16,2015-10-27,PIS,HAW,HAW,24.48,3,10,0.3,2,7,0.286,1,3,0.333,0,0,0.0,3,1,4,3,0,0,1,1,7,4.3,-13,0.35,0.35,0.3,0.0,10.5,4.6,7.9,18.9,0.0,0.0,9.1,17.6,98,104,-2.5
2015-16,2015-10-28,PIS,JAZ,PIS,19.58,3,10,0.3,2,7,0.286,1,3,0.333,4,4,1.0,2,3,5,0,0,0,0,3,11,6.3,0,0.468,0.35,0.3,0.4,11.7,18.9,15.1,0.0,0.0,0.0,0.0,29.1,107,99,-0.3
2015-16,2015-10-30,PIS,BUL,PIS,11.98,3,8,0.375,3,7,0.429,0,1,0.0,1,1,1.0,2,2,4,1,1,0,1,1,7,4.9,-4,0.415,0.375,0.125,0.125,14.3,18.1,15.9,17.2,4.2,0.0,10.6,32.0,92,84,6.2
2015-16,2015-11-03,PIS,PAC,PIS,11.55,0,5,0.0,0,4,0.0,0,1,0.0,0,2,0.0,1,2,3,2,0,0,1,4,0,-4.2,-8,0.0,0.0,0.2,0.4,8.5,19.3,13.6,25.2,0.0,0.0,14.5,24.5,23,105,-21.6
2015-16,2015-11-06,PIS,SUN,SUN,22.47,2,5,0.4,2,3,0.667,0,2,0.0,1,3,0.333,0,5,5,2,1,0,3,5,5,0.4,7,0.396,0.4,0.4,0.6,0.0,20.5,11.5,13.1,2.2,0.0,32.2,19.0,63,90,-8.4
2015-16,2015-11-08,PIS,BLA,BLA,20.17,1,4,0.25,1,2,0.5,0,2,0.0,1,2,0.5,0,0,0,0,0,0,1,0,3,-0.8,-9,0.307,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12.2,59,116,-13.4
2015-16,2015-11-09,PIS,WAR,WAR,32.08,9,14,0.643,7,10,0.7,2,4,0.5,0,1,0.0,2,5,7,0,0,0,0,2,20,15.5,-9,0.693,0.714,0.286,0.071,7.5,17.8,12.8,0.0,0.0,0.0,0.0,19.4,147,117,7.1
2015-16,2015-11-11,PIS,KIN,KIN,27.3,3,11,0.273,3,8,0.375,0,3,0.0,2,2,1.0,2,3,5,2,2,0,1,2,8,5.4,-3,0.337,0.273,0.273,0.182,6.6,13.9,9.7,12.2,3.7,0.0,7.8,19.9,82,103,-2.8
2015-16,2015-11-14,PIS,CLI,CLI,20.87,4,8,0.5,3,4,0.75,1,4,0.25,0,0,0.0,1,3,4,1,1,0,2,4,9,4.7,-11,0.563,0.563,0.5,0.0,5.5,16.4,11.0,9.7,2.5,0.0,20.0,22.0,96,109,-2.1
2015-16,2015-11-15,PIS,LAK,LAK,16.47,2,6,0.333,2,4,0.5,0,2,0.0,0,0,0.0,0,3,3,1,2,0,1,5,4,1.2,-16,0.333,0.333,0.333,0.0,0.0,21.3,9.5,10.0,6.0,0.0,14.3,18.1,65,89,-5.9
2015-16,2015-11-17,PIS,CAV,PIS,16.33,2,6,0.333,2,5,0.4,0,1,0.0,0,0,0.0,0,6,6,1,1,0,2,1,4,1.7,-8,0.333,0.333,0.167,0.0,0.0,44.1,20.0,9.8,3.0,0.0,25.0,21.2,56,98,-7.5
2015-16,2015-11-20,PIS,TIM,TIM,24.37,6,10,0.6,3,5,0.6,3,5,0.6,0,0,0.0,1,1,2,1,0,0,1,0,15,11.1,3,0.75,0.75,0.5,0.0,4.7,4.6,4.6,7.0,0.0,0.0,9.1,20.3,139,97,9.2
2015-16,2015-11-21,PIS,WIZ,PIS,16.05,2,6,0.333,2,3,0.667,0,3,0.0,0,0,0.0,0,0,0,1,0,0,2,0,4,-0.7,-16,0.333,0.333,0.5,0.0,0.0,0.0,0.0,10.0,0.0,0.0,25.0,23.6,55,115,-13.5
2015-16,2015-11-23,PIS,BUC,BUC,25.77,5,14,0.357,5,10,0.5,0,4,0.0,6,7,0.857,1,1,2,2,1,0,2,3,16,8.0,-8,0.468,0.357,0.286,0.5,3.4,4.9,4.0,17.2,2.1,0.0,10.5,30.0,103,124,-1.4
