SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-10-31,BLA,LAK,BLA,35.82,8,18,0.444,8,14,0.571,0,4,0.0,6,7,0.857,1,1,2,5,0,0,1,3,22,14.5,-24,0.522,0.444,0.222,0.389,3.0,4.9,3.8,28.6,0.0,0.0,4.5,28.9,117,120,3.9
2000-01,2000-11-02,BLA,SUN,SUN,27.45,4,9,0.444,3,8,0.375,1,1,1.0,4,4,1.0,2,1,3,3,0,0,3,4,13,7.5,-7,0.604,0.5,0.111,0.444,10.5,4.7,7.4,24.4,0.0,0.0,21.8,24.0,107,126,-1.6
2000-01,2000-11-04,BLA,SUP,SUP,35.5,7,15,0.467,6,13,0.462,1,2,0.5,1,1,1.0,5,3,8,2,0,0,2,2,16,11.3,4,0.518,0.5,0.133,0.067,14.5,9.5,12.1,8.4,0.0,0.0,11.5,19.5,117,106,-0.1
2000-01,2000-11-06,BLA,KIN,KIN,30.4,2,9,0.222,2,6,0.333,0,3,0.0,0,0,0.0,3,3,6,3,0,0,2,2,4,0.8,-7,0.222,0.222,0.333,0.0,10.4,10.0,10.2,16.7,0.0,0.0,18.2,17.1,60,99,-8.1
2000-01,2000-11-07,BLA,HAW,BLA,33.6,9,16,0.563,8,12,0.667,1,4,0.25,3,4,0.75,2,2,4,2,0,2,4,4,22,13.2,16,0.619,0.594,0.25,0.25,7.3,5.9,6.5,10.8,0.0,4.0,18.4,29.9,104,103,-0.6
2000-01,2000-11-09,BLA,NUG,BLA,25.83,6,11,0.545,5,9,0.556,1,2,0.5,4,4,1.0,0,2,2,0,2,1,0,2,17,14.2,6,0.666,0.591,0.182,0.364,0.0,8.6,4.7,0.0,4.2,3.1,0.0,23.5,136,100,6.9
2000-01,2000-11-11,BLA,ROC,BLA,34.4,9,15,0.6,6,12,0.5,3,3,1.0,4,6,0.667,0,8,8,7,1,0,0,1,25,25.2,31,0.709,0.7,0.2,0.4,0.0,27.5,17.6,32.6,1.5,0.0,0.0,25.3,148,96,14.0
2000-01,2000-11-13,BLA,NNE,NNE,29.68,6,12,0.5,4,8,0.5,2,4,0.5,3,3,1.0,2,2,4,4,1,0,2,2,17,14.0,2,0.638,0.583,0.333,0.25,8.9,6.8,7.7,24.2,1.7,0.0,13.1,23.1,126,97,7.0
2000-01,2000-11-14,BLA,HAW,HAW,29.45,1,6,0.167,1,4,0.25,0,2,0.0,1,2,0.5,3,1,4,0,0,0,3,3,3,-3.0,-2,0.218,0.167,0.333,0.333,13.8,5.5,10.0,0.0,0.0,0.0,30.4,15.5,51,118,-16.3
2000-01,2000-11-16,BLA,RAP,RAP,37.25,4,11,0.364,3,9,0.333,1,2,0.5,6,7,0.857,1,6,7,7,1,1,1,3,15,15.4,3,0.533,0.409,0.182,0.636,3.2,14.7,9.8,30.5,1.5,1.8,6.6,20.4,120,90,8.8
2000-01,2000-11-18,BLA,HEA,HEA,35.63,8,12,0.667,6,9,0.667,2,3,0.667,1,2,0.5,0,2,2,1,1,0,5,3,19,9.5,8,0.738,0.75,0.25,0.167,0.0,5.6,3.1,6.6,1.6,0.0,28.0,25.3,99,105,1.0
2000-01,2000-11-19,BLA,MAG,MAG,40.83,3,9,0.333,3,7,0.429,0,2,0.0,3,3,1.0,0,3,3,9,1,1,1,5,9,9.8,7,0.436,0.333,0.222,0.333,0.0,8.4,4.5,35.1,1.4,1.9,8.8,12.7,120,111,-0.7
2000-01,2000-11-21,BLA,WIZ,WIZ,32.5,7,14,0.5,5,11,0.455,2,3,0.667,6,6,1.0,1,2,3,3,0,2,1,1,22,18.4,6,0.661,0.571,0.214,0.429,3.9,7.5,5.7,15.1,0.0,4.2,5.7,24.4,147,112,8.3
2000-01,2000-11-22,BLA,BUC,BUC,34.35,4,7,0.571,3,4,0.75,1,3,0.333,3,3,1.0,0,2,2,2,0,0,3,1,12,7.3,10,0.721,0.643,0.429,0.429,0.0,6.7,3.8,10.0,0.0,0.0,26.5,16.9,110,106,-0.7
2000-01,2000-11-25,BLA,NNE,BLA,35.88,4,12,0.333,3,8,0.375,1,4,0.25,4,4,1.0,4,4,8,6,0,0,2,1,13,12.0,13,0.472,0.375,0.333,0.333,14.8,14.4,14.6,30.0,0.0,0.0,12.7,20.9,115,100,4.4
2000-01,2000-11-28,BLA,SUP,BLA,43.05,5,10,0.5,3,5,0.6,2,5,0.4,3,3,1.0,2,1,3,3,0,1,2,3,15,11.3,-6,0.663,0.6,0.5,0.3,5.1,2.6,3.8,13.7,0.0,1.7,15.0,14.5,127,131,-2.0
2000-01,2000-11-30,BLA,MAV,BLA,37.7,6,13,0.462,6,10,0.6,0,3,0.0,7,7,1.0,2,5,7,4,1,1,2,4,19,16.1,16,0.591,0.462,0.231,0.538,7.4,15.8,11.9,17.2,1.5,2.1,11.1,23.6,126,99,4.4
2000-01,2000-12-02,BLA,ROC,ROC,34.95,1,8,0.125,1,7,0.143,0,1,0.0,2,3,0.667,1,1,2,4,1,0,2,1,4,0.8,20,0.215,0.125,0.125,0.375,3.8,3.9,3.9,15.8,1.6,0.0,17.7,16.3,64,109,-11.0
