SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2010-11,2010-11-01,SPU,CLI,CLI,10.4,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0.0,1,1,2,0,1,0,1,1,2,1.6,4,0.5,0.5,0.0,0.0,12.5,11.0,11.7,0.0,4.9,0.0,33.3,13.4,77,90,-4.9
2010-11,2010-11-03,SPU,SUN,SUN,15.2,3,6,0.5,3,6,0.5,0,0,0.0,1,3,0.333,3,0,3,0,0,0,0,3,7,4.1,0,0.478,0.5,0.0,0.5,27.1,0.0,11.1,0.0,0.0,0.0,0.0,20.3,118,121,-6.5
2010-11,2010-11-06,SPU,ROC,SPU,11.38,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,1.6,-11,0.5,0.5,0.0,0.0,0.0,19.4,9.8,0.0,0.0,0.0,0.0,7.6,105,117,-5.7
2010-11,2010-11-08,SPU,BOB,BOB,10.6,2,3,0.667,2,3,0.667,0,0,0.0,1,2,0.5,3,1,4,0,1,0,1,1,5,5.3,5,0.644,0.667,0.0,0.667,33.1,9.8,20.8,0.0,5.1,0.0,20.5,20.4,116,100,2.7
2010-11,2010-11-10,SPU,CLI,SPU,15.98,1,2,0.5,1,2,0.5,0,0,0.0,4,5,0.8,2,2,4,0,0,3,2,3,6,5.5,10,0.714,0.5,0.0,2.5,19.4,13.7,16.0,0.0,0.0,11.9,32.3,18.6,113,101,-1.4
2010-11,2010-11-13,SPU,76E,SPU,18.55,2,6,0.333,2,6,0.333,0,0,0.0,2,2,1.0,0,3,3,2,1,0,1,2,6,4.1,-2,0.436,0.333,0.0,0.333,0.0,17.3,9.1,14.4,2.6,0.0,12.7,18.3,93,95,-2.4
2010-11,2010-11-14,SPU,THU,THU,3.45,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,2,0,2,0,0,0,1,3,2,0.9,-9,1.0,1.0,0.0,0.0,63.2,0.0,34.4,0.0,0.0,0.0,50.0,23.8,116,110,-13.6
2010-11,2010-11-17,SPU,BUL,SPU,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2010-11-19,SPU,JAZ,JAZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2010-11-20,SPU,CAV,SPU,26.47,7,10,0.7,7,10,0.7,0,0,0.0,4,6,0.667,3,2,5,2,2,2,1,3,18,18.3,11,0.712,0.7,0.0,0.6,15.5,8.8,11.9,12.0,3.9,5.2,7.3,24.8,142,93,7.8
2010-11,2010-11-22,SPU,MAG,SPU,0.17,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,112,-4.7
2010-11,2010-11-24,SPU,TIM,TIM,22.0,1,3,0.333,1,3,0.333,0,0,0.0,4,5,0.8,1,3,4,0,1,1,0,3,6,6.0,1,0.577,0.333,0.0,1.667,4.4,16.8,9.8,0.0,2.3,3.2,0.0,10.3,135,101,1.5
2010-11,2010-11-26,SPU,MAV,SPU,8.28,1,2,0.5,1,2,0.5,0,0,0.0,2,2,1.0,0,2,2,0,0,0,0,1,4,3.2,3,0.694,0.5,0.0,1.0,0.0,30.5,15.5,0.0,0.0,0.0,0.0,17.1,150,114,3.1
2010-11,2010-11-28,SPU,NHO,NHO,11.18,2,4,0.5,2,4,0.5,0,0,0.0,1,4,0.25,0,3,3,0,0,0,1,0,5,1.7,-9,0.434,0.5,0.0,1.0,0.0,35.8,16.9,0.0,0.0,0.0,14.8,28.2,72,111,-11.0
2010-11,2010-11-30,SPU,WAR,WAR,7.93,1,3,0.333,1,2,0.5,0,1,0.0,0,0,0.0,1,0,1,1,0,0,0,2,2,0.9,-1,0.333,0.333,0.333,0.0,12.9,0.0,6.4,16.8,0.0,0.0,0.0,15.7,102,107,-9.0
2010-11,2010-12-01,SPU,CLI,CLI,7.45,1,3,0.333,1,3,0.333,0,0,0.0,2,4,0.5,1,0,1,1,0,0,0,3,4,1.7,4,0.42,0.333,0.0,1.333,11.5,0.0,6.9,25.2,0.0,0.0,0.0,29.1,108,109,-4.2
2010-11,2010-12-03,SPU,TIM,SPU,8.07,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,2,0,0,0,1,0,1.6,-16,0.0,0.0,0.0,0.0,0.0,22.5,12.4,35.0,0.0,0.0,0.0,0.0,218,106,5.4
2010-11,2010-12-05,SPU,NHO,SPU,17.63,2,4,0.5,2,4,0.5,0,0,0.0,1,4,0.25,1,1,2,0,1,0,1,2,5,2.0,-8,0.434,0.5,0.0,1.0,9.1,7.2,8.0,0.0,3.1,0.0,14.8,19.1,81,96,-10.0
2010-11,2010-12-08,SPU,WAR,SPU,24.0,4,7,0.571,4,7,0.571,0,0,0.0,4,6,0.667,3,3,6,1,1,0,1,3,12,10.4,6,0.622,0.571,0.0,0.857,14.3,13.6,14.0,5.7,2.2,0.0,9.4,20.7,129,103,-1.7
2010-11,2010-12-10,SPU,HAW,SPU,1.08,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,0,1.4,2,0.0,0.0,0.0,0.0,100.0,0.0,56.1,100.0,0.0,0.0,0.0,0.0,220,112,54.2
2010-11,2010-12-12,SPU,BLA,SPU,3.55,0,1,0.0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0,0,0,0,1,0,0,-2.1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,33.2,0,108,-40.5
2010-11,2010-12-15,SPU,BUC,SPU,4.38,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,2,1.3,1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,43.7,0.0,0.0,0.0,22.6,111,106,3.0
2010-11,2010-12-16,SPU,NUG,NUG,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2010-12-18,SPU,GRI,SPU,8.12,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,1,0,1.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.7,0.0,0.0,0.0,0.0,223,119,4.4
