SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2016-17,2016-10-27,WIZ,HAW,HAW,4.22,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,2,3.1,4,1.0,1.0,0.0,0.0,22.8,0.0,12.4,39.8,0.0,0.0,0.0,9.4,205,122,14.6
2016-17,2016-10-30,WIZ,GRI,GRI,1.42,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,122,-7.2
2016-17,2016-11-02,WIZ,RAP,WIZ,9.88,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,2,1,0,1,2,2,2.2,3,0.5,0.5,0.0,0.0,0.0,28.6,14.5,26.2,5.1,0.0,33.3,14.2,90,111,0.1
2016-17,2016-11-04,WIZ,HAW,WIZ,21.58,2,6,0.333,2,3,0.667,0,3,0.0,0,0,0.0,0,3,3,1,0,0,3,2,4,-1.6,-3,0.333,0.333,0.5,0.0,0.0,14.8,7.2,8.4,0.0,0.0,33.3,17.5,49,94,-10.5
2016-17,2016-11-05,WIZ,MAG,MAG,32.35,4,7,0.571,4,7,0.571,0,0,0.0,0,1,0.0,0,2,2,3,1,0,1,3,8,5.8,13,0.538,0.571,0.0,0.143,0.0,6.6,3.2,15.9,1.7,0.0,11.8,12.1,109,105,-1.5
2016-17,2016-11-07,WIZ,ROC,WIZ,13.32,1,4,0.25,1,2,0.5,0,2,0.0,0,0,0.0,1,0,1,2,1,0,0,0,2,2.7,3,0.25,0.25,0.5,0.0,7.7,0.0,4.4,20.4,3.8,0.0,0.0,12.5,95,120,-2.2
2016-17,2016-11-09,WIZ,CEL,WIZ,31.55,2,6,0.333,2,5,0.4,0,1,0.0,0,0,0.0,2,2,4,4,0,0,0,2,4,4.6,-1,0.333,0.333,0.167,0.0,7.1,7.2,7.2,14.2,0.0,0.0,0.0,8.2,127,111,-5.9
2016-17,2016-11-11,WIZ,CAV,WIZ,20.13,3,7,0.429,3,7,0.429,0,0,0.0,2,2,1.0,1,1,2,2,1,0,1,0,8,6.7,0,0.508,0.429,0.0,0.286,5.4,4.9,5.1,15.5,2.4,0.0,11.3,19.2,106,111,1.9
2016-17,2016-11-12,WIZ,BUL,BUL,31.03,4,12,0.333,3,10,0.3,1,2,0.5,3,3,1.0,0,4,4,9,1,0,2,3,12,10.5,13,0.45,0.375,0.167,0.25,0.0,12.1,6.1,43.8,1.6,0.0,13.1,21.4,102,110,2.1
2016-17,2016-11-16,WIZ,76E,76E,22.82,3,4,0.75,3,3,1.0,0,1,0.0,1,4,0.25,1,0,1,3,0,0,2,4,7,3.4,1,0.608,0.75,0.25,1.0,4.5,0.0,2.6,19.9,0.0,0.0,25.8,14.4,101,117,-6.4
2016-17,2016-11-17,WIZ,KNI,WIZ,17.57,2,2,1.0,2,2,1.0,0,0,0.0,0,0,0.0,0,1,1,4,2,0,3,2,4,4.7,-13,1.0,1.0,0.0,0.0,0.0,6.8,3.7,28.4,5.8,0.0,60.0,13.1,101,111,3.2
