SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2013-14,2013-10-29,BUL,HEA,HEA,6.72,0,3,0.0,0,1,0.0,0,2,0.0,0,0,0.0,0,0,0,0,1,0,1,2,0,-2.9,-10,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,7.4,0.0,25.0,25.7,0,102,-26.7
2013-14,2013-10-31,BUL,KNI,BUL,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2013-14,2013-11-02,BUL,76E,76E,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2013-14,2013-11-06,BUL,PAC,PAC,1.08,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,2,0.0,0.0,0.0,0.0,0.0,96.3,48.2,0.0,0.0,0.0,0.0,0.0,0,70,1.0
2013-14,2013-11-08,BUL,JAZ,BUL,3.62,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-0.4,1,0.0,0.0,0.0,0.0,0.0,24.6,15.1,0.0,0.0,0.0,0.0,12.9,0,81,-15.6
2013-14,2013-11-11,BUL,CAV,BUL,0.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,105,-6.8
2013-14,2013-11-15,BUL,RAP,RAP,1.3,0,0,0.0,0,0,0.0,0,0,0.0,2,2,1.0,0,1,1,0,0,0,0,0,2,2.3,-3,1.136,0.0,0.0,0.0,0.0,76.9,40.6,0.0,0.0,0.0,0.0,31.4,250,67,42.1
2013-14,2013-11-16,BUL,PAC,BUL,0.37,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,114,-4.8
2013-14,2013-11-18,BUL,BOB,BUL,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2013-14,2013-11-21,BUL,NUG,NUG,1.25,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,2.0,2,1.0,1.0,0.0,0.0,0.0,78.4,36.2,0.0,0.0,0.0,0.0,31.7,200,83,43.7
2013-14,2013-11-22,BUL,BLA,BLA,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2013-14,2013-11-24,BUL,CLI,CLI,27.67,2,4,0.5,2,3,0.667,0,1,0.0,1,1,1.0,1,0,1,2,0,0,0,1,5,4.7,-25,0.563,0.5,0.25,0.25,3.5,0.0,2.1,12.2,0.0,0.0,0.0,7.3,131,134,-4.0
2013-14,2013-11-25,BUL,JAZ,JAZ,25.7,3,7,0.429,2,2,1.0,1,5,0.2,2,2,1.0,0,1,1,0,0,0,1,1,9,4.2,-1,0.571,0.5,0.714,0.286,0.0,4.4,2.2,0.0,0.0,0.0,11.3,16.8,110,102,0.7
2013-14,2013-11-27,BUL,PIS,PIS,36.97,5,9,0.556,2,4,0.5,3,5,0.6,0,0,0.0,1,1,2,3,2,0,3,0,13,10.8,17,0.722,0.722,0.556,0.0,3.8,3.0,3.3,11.0,2.9,0.0,25.0,15.5,111,92,5.4
2013-14,2013-11-30,BUL,CAV,CAV,35.08,7,12,0.583,4,7,0.571,3,5,0.6,1,4,0.25,1,3,4,2,1,0,2,0,18,13.2,-13,0.654,0.708,0.417,0.333,3.4,11.1,7.1,9.3,1.6,0.0,12.7,22.1,107,116,2.4
2013-14,2013-12-02,BUL,PEL,BUL,22.3,2,4,0.5,0,0,0.0,2,4,0.5,0,0,0.0,0,1,1,2,0,0,0,3,6,4.5,-11,0.75,0.75,1.0,0.0,0.0,4.6,2.6,13.3,0.0,0.0,0.0,8.6,163,124,0.3
2013-14,2013-12-05,BUL,HEA,BUL,28.33,3,7,0.429,1,3,0.333,2,4,0.5,0,0,0.0,0,3,3,2,0,0,2,1,8,4.2,14,0.571,0.571,0.571,0.0,0.0,12.1,6.7,10.6,0.0,0.0,22.2,14.8,100,102,-1.9
