SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2023-24,2024-02-01,GRI,CAV,GRI,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2023-24,2024-02-02,GRI,WAR,GRI,16.45,1,2,0.5,0,0,0.0,1,2,0.5,0,0,0.0,1,0,1,1,0,0,0,1,3,3.0,-13,0.75,0.75,1.0,0.0,6.0,0.0,3.5,9.1,0.0,0.0,0.0,5.3,159,129,-3.7
2023-24,2024-02-04,GRI,CEL,CEL,29.47,1,7,0.143,0,4,0.0,1,3,0.333,0,0,0.0,7,5,12,3,0,0,1,2,3,5.2,-23,0.214,0.214,0.429,0.0,20.4,17.3,19.0,14.6,0.0,0.0,12.5,11.1,89,135,-5.1
2023-24,2024-02-06,GRI,KNI,KNI,20.5,2,4,0.5,2,2,1.0,0,2,0.0,0,0,0.0,0,1,1,2,0,0,0,1,4,3.3,10,0.5,0.5,0.5,0.0,0.0,6.7,3.3,12.9,0.0,0.0,0.0,8.9,125,134,-6.6
2023-24,2024-02-08,GRI,BUL,GRI,7.57,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,1,0,1,0,-1.1,-2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0,125,-17.3
2023-24,2024-02-13,PIS,LAK,LAK,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2023-24,2024-02-14,PIS,SUN,SUN,8.4,2,2,1.0,1,1,1.0,1,1,1.0,0,0,0.0,0,2,2,0,1,0,0,1,5,5.6,-2,1.25,1.25,0.5,0.0,0.0,27.9,11.2,0.0,5.3,0.0,0.0,9.0,250,99,13.6
2023-24,2024-02-22,PIS,PAC,PAC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2023-24,2024-02-24,PIS,MAG,PIS,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2023-24,2024-02-26,PIS,KNI,KNI,7.8,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1.7,-4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,200,129,-4.0
