SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2004-05,2004-11-03,KNI,TIM,TIM,22.98,4,7,0.571,4,7,0.571,0,0,0.0,0,0,0.0,1,4,5,3,2,0,3,3,8,6.5,-3,0.571,0.571,0.0,0.0,4.1,22.4,11.9,24.9,4.4,0.0,30.0,19.5,87,95,0.3
2004-05,2004-11-06,KNI,CEL,KNI,20.0,3,7,0.429,3,7,0.429,0,0,0.0,1,2,0.5,1,2,3,2,1,0,1,5,7,3.6,-5,0.444,0.429,0.0,0.286,5.5,15.0,9.5,22.0,2.8,0.0,11.3,21.4,91,121,-3.9
2004-05,2004-11-09,KNI,76E,KNI,21.08,5,9,0.556,5,9,0.556,0,0,0.0,4,6,0.667,2,6,8,3,2,0,0,2,14,15.4,5,0.601,0.556,0.0,0.667,12.7,34.3,24.1,26.8,4.8,0.0,0.0,24.6,138,84,14.6
2004-05,2004-11-12,KNI,CLI,KNI,23.75,4,9,0.444,4,9,0.444,0,0,0.0,0,0,0.0,3,0,3,2,3,0,1,3,8,7.6,0,0.444,0.444,0.0,0.0,16.7,0.0,8.0,12.9,6.6,0.0,10.0,18.7,110,101,1.9
2004-05,2004-11-13,KNI,PAC,PAC,19.9,2,6,0.333,2,6,0.333,0,0,0.0,2,2,1.0,1,3,4,1,0,0,1,3,6,2.7,2,0.436,0.333,0.0,0.333,4.5,18.9,10.5,7.9,0.0,0.0,12.7,16.3,97,114,-5.8
2004-05,2004-11-16,KNI,SPU,SPU,5.27,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.1,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0,120,-14.8
2004-05,2004-11-18,KNI,ROC,ROC,19.95,2,7,0.286,2,7,0.286,0,0,0.0,4,5,0.8,2,2,4,2,1,0,0,3,8,6.7,3,0.435,0.286,0.0,0.714,10.8,11.5,11.1,16.9,2.9,0.0,0.0,22.3,115,103,0.7
2004-05,2004-11-19,KNI,MAV,MAV,8.62,0,4,0.0,0,4,0.0,0,0,0.0,2,2,1.0,0,0,0,1,1,0,0,0,2,0.9,-7,0.205,0.0,0.0,0.5,0.0,0.0,0.0,14.0,5.6,0.0,0.0,23.5,61,106,-6.0
2004-05,2004-11-21,KNI,CAV,KNI,7.15,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,1,1,0,1,1,2,1.3,8,0.5,0.5,0.0,0.0,0.0,0.0,0.0,20.7,7.7,0.0,33.3,21.0,77,92,0.0
2004-05,2004-11-23,KNI,HAW,KNI,9.42,1,3,0.333,1,3,0.333,0,0,0.0,2,4,0.5,2,0,2,0,0,0,2,0,4,0.9,-5,0.42,0.333,0.0,1.333,22.3,0.0,10.5,0.0,0.0,0.0,29.6,28.8,75,97,-13.2
