SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2012-13,2012-10-31,BLA,LAK,BLA,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2012-13,2012-11-02,BLA,THU,THU,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2012-13,2012-11-03,BLA,ROC,ROC,3.55,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,0,0.0,0.0,0.0,0.0,0.0,25.3,13.7,0.0,0.0,0.0,0.0,0.0,0,84,-4.2
2012-13,2012-11-13,BLA,KIN,KIN,1.65,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,-5,0.0,0.0,0.0,0.0,0.0,67.7,37.8,0.0,0.0,0.0,0.0,0.0,0,93,-0.5
2012-13,2012-11-16,BLA,ROC,BLA,8.97,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,0,0,-0.3,-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,0.0,0.0,100.0,5.2,47,125,-5.1
2012-13,2012-11-18,BLA,BUL,BLA,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2012-13,2012-11-21,BLA,SUN,SUN,8.53,0,1,0.0,0,0,0.0,0,1,0.0,1,2,0.5,1,1,2,0,0,0,1,2,1,-0.9,-7,0.266,0.0,1.0,2.0,13.7,21.6,16.8,0.0,0.0,0.0,34.7,14.9,53,130,-17.4
2012-13,2012-12-10,BLA,RAP,BLA,25.58,2,12,0.167,2,9,0.222,0,3,0.0,0,0,0.0,1,4,5,2,2,0,1,2,4,-0.1,14,0.167,0.167,0.25,0.0,4.0,16.3,10.1,11.6,4.2,0.0,7.7,23.1,46,79,-8.8
2012-13,2012-12-13,BLA,SPU,BLA,12.37,0,4,0.0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,2,0,1,0,0,-1.8,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,8.2,0.0,20.0,18.1,0,88,-11.8
2012-13,2012-12-16,BLA,NHO,BLA,12.1,1,2,0.5,0,0,0.0,1,2,0.5,0,0,0.0,0,1,1,1,0,0,1,1,3,1.6,-1,0.75,0.75,1.0,0.0,0.0,10.4,5.0,12.0,0.0,0.0,33.3,12.5,102,125,-6.9
