SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2002-03,2002-12-03,NUG,WAR,WAR,13.63,4,5,0.8,3,3,1.0,1,2,0.5,1,2,0.5,1,1,2,3,2,0,1,0,10,11.8,6,0.85,0.9,0.4,0.4,7.1,11.1,8.7,50.7,7.5,0.0,14.5,21.1,147,110,26.5
2002-03,2002-12-04,NUG,KIN,NUG,9.17,1,3,0.333,1,2,0.5,0,1,0.0,1,2,0.5,0,1,1,1,0,0,1,0,3,0.9,0,0.387,0.333,0.333,0.667,0.0,13.3,7.1,20.0,0.0,0.0,20.5,26.0,70,103,-7.3
2002-03,2002-12-06,NUG,KIN,KIN,19.82,3,8,0.375,3,7,0.429,0,1,0.0,2,3,0.667,0,4,4,0,2,0,1,3,8,4.2,-13,0.429,0.375,0.125,0.375,0.0,25.9,10.8,0.0,4.9,0.0,9.7,21.6,82,97,-3.2
2002-03,2002-12-07,NUG,PAC,NUG,7.05,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,2,0,0.9,6,0.0,0.0,0.0,0.0,20.8,15.6,17.8,22.1,0.0,0.0,0.0,0.0,216,95,-3.4
2002-03,2002-12-09,NUG,TIM,NUG,7.25,2,5,0.4,0,2,0.0,2,3,0.667,0,0,0.0,0,0,0,0,1,1,0,2,6,4.2,-6,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,8.0,10.1,0.0,33.5,115,95,24.5
2002-03,2002-12-11,NUG,GRI,GRI,7.93,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,1,0,-0.4,1,0.0,0.0,0.0,0.0,0.0,16.7,7.1,14.6,0.0,0.0,100.0,5.4,36,111,-12.5
2002-03,2002-12-13,NUG,PAC,PAC,20.23,1,6,0.167,0,4,0.0,1,2,0.5,0,0,0.0,0,1,1,2,1,1,0,0,3,2.6,-7,0.25,0.25,0.333,0.0,0.0,6.5,2.9,19.5,2.6,4.1,0.0,13.5,70,103,0.5
2002-03,2002-12-14,NUG,CAV,CAV,3.08,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,1,0,0,-1.4,-1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,16.6,0.0,33.3,42.6,0,89,-30.1
2002-03,2002-12-16,NUG,76E,76E,12.72,1,4,0.25,1,4,0.25,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,2,-1.1,-9,0.25,0.25,0.0,0.0,0.0,10.5,4.8,0.0,0.0,0.0,20.0,18.2,45,115,-15.3
2002-03,2002-12-18,NUG,MAV,NUG,18.37,2,9,0.222,2,5,0.4,0,4,0.0,0,0,0.0,0,5,5,1,1,2,2,5,4,-0.9,-4,0.222,0.222,0.444,0.0,0.0,28.4,14.8,13.6,3.0,9.2,18.2,28.0,45,77,-7.5
2002-03,2002-12-20,NUG,MAG,NUG,20.12,4,7,0.571,4,6,0.667,0,1,0.0,0,0,0.0,0,3,3,2,1,0,0,3,8,6.8,-12,0.571,0.571,0.143,0.0,0.0,18.9,8.9,18.9,2.7,0.0,0.0,15.6,122,98,2.2
2002-03,2002-12-21,NUG,CLI,CLI,27.18,7,10,0.7,5,7,0.714,2,3,0.667,0,0,0.0,3,1,4,2,1,1,0,2,16,16.5,9,0.8,0.8,0.3,0.0,16.7,5.7,11.3,15.8,2.1,3.6,0.0,16.8,180,111,17.7
2002-03,2002-12-28,NUG,LAK,NUG,21.0,4,12,0.333,4,9,0.444,0,3,0.0,0,0,0.0,0,1,1,0,1,0,1,4,8,-0.1,-13,0.333,0.333,0.25,0.0,0.0,9.5,3.4,0.0,2.5,0.0,7.7,30.1,60,123,-19.8
2002-03,2002-12-30,NUG,SUP,NUG,36.78,4,14,0.286,4,13,0.308,0,1,0.0,0,0,0.0,0,4,4,3,1,0,1,6,8,0.7,16,0.286,0.286,0.071,0.0,0.0,10.6,5.4,17.1,1.4,0.0,6.7,18.6,65,87,-6.5
2002-03,2003-01-03,NUG,SUP,SUP,18.12,0,3,0.0,0,1,0.0,0,2,0.0,1,2,0.5,0,1,1,0,1,1,0,3,1,-0.7,-3,0.129,0.0,0.667,0.667,0.0,5.8,3.8,0.0,3.4,4.0,0.0,11.4,38,100,-10.1
2002-03,2003-01-04,NUG,KIN,NUG,10.6,1,3,0.333,1,2,0.5,0,1,0.0,0,0,0.0,1,2,3,0,0,0,1,0,2,0.6,-4,0.333,0.333,0.333,0.0,9.5,18.6,14.1,0.0,0.0,0.0,25.0,16.0,60,95,-9.1
2002-03,2003-01-06,NUG,MAV,MAV,31.68,5,14,0.357,5,12,0.417,0,2,0.0,2,2,1.0,2,5,7,3,1,0,4,2,12,5.4,-1,0.403,0.357,0.143,0.143,7.7,16.0,12.2,22.0,1.8,0.0,21.2,28.8,78,102,-3.3
2002-03,2003-01-08,NUG,HEA,NUG,30.18,1,6,0.167,1,5,0.2,0,1,0.0,0,0,0.0,1,2,3,4,1,1,0,4,2,2.4,12,0.167,0.167,0.167,0.0,5.2,9.1,7.3,19.8,1.8,2.4,0.0,9.9,77,88,-4.7
2002-03,2003-01-10,NUG,BLA,NUG,36.02,5,9,0.556,5,9,0.556,0,0,0.0,0,0,0.0,0,4,4,5,0,2,2,2,10,9.0,4,0.556,0.556,0.0,0.0,0.0,11.6,6.5,25.3,0.0,4.0,18.2,15.0,101,101,-0.4
2002-03,2003-01-11,NUG,ROC,ROC,28.12,2,7,0.286,2,6,0.333,0,1,0.0,0,0,0.0,1,1,2,2,2,1,0,0,4,5.0,2,0.286,0.286,0.143,0.0,3.6,4.3,3.9,12.0,4.0,3.0,0.0,12.0,81,101,-1.9
2002-03,2003-01-13,NUG,TIM,TIM,31.07,3,8,0.375,2,6,0.333,1,2,0.5,0,0,0.0,2,3,5,3,0,1,1,0,7,6.7,4,0.438,0.438,0.25,0.0,8.1,13.3,10.6,18.3,0.0,2.5,11.1,14.0,96,106,1.0
2002-03,2003-01-15,NUG,JAZ,NUG,23.05,2,8,0.25,1,5,0.2,1,3,0.333,3,4,0.75,1,0,1,3,0,2,1,4,8,4.4,-6,0.41,0.313,0.375,0.5,4.7,0.0,2.6,25.2,0.0,6.5,9.3,22.3,95,115,-3.3
2002-03,2003-01-17,NUG,CAV,NUG,20.43,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,2,3,0,0,2,2,4.6,16,0.5,0.5,0.0,0.0,0.0,0.0,0.0,13.5,7.7,0.0,0.0,4.3,126,82,2.0
2002-03,2003-01-20,NUG,WIZ,WIZ,30.05,4,14,0.286,4,13,0.308,0,1,0.0,0,0,0.0,0,2,2,2,0,1,1,4,8,-0.1,-12,0.286,0.286,0.071,0.0,0.0,8.2,4.1,13.0,0.0,2.6,6.7,23.3,64,108,-11.1
2002-03,2003-01-22,NUG,KNI,KNI,35.87,7,12,0.583,7,12,0.583,0,0,0.0,4,4,1.0,2,1,3,1,1,0,2,5,18,11.8,2,0.654,0.583,0.0,0.333,7.8,4.0,6.0,5.6,1.6,0.0,12.7,21.1,123,124,-2.6
2002-03,2003-01-24,NUG,CEL,CEL,32.53,2,10,0.2,1,7,0.143,1,3,0.333,0,1,0.0,3,1,4,2,1,1,2,4,5,0.3,-23,0.239,0.25,0.3,0.1,10.1,3.5,6.9,13.8,1.8,3.0,16.1,18.0,58,101,-6.5
2002-03,2003-01-25,NUG,BUC,BUC,37.42,3,11,0.273,2,6,0.333,1,5,0.2,0,0,0.0,0,6,6,5,2,0,1,2,7,6.0,-15,0.318,0.318,0.455,0.0,0.0,22.9,10.2,20.9,3.1,0.0,8.3,15.6,80,103,-1.6
2002-03,2003-01-27,NUG,NNE,NUG,42.17,5,10,0.5,5,9,0.556,0,1,0.0,3,4,0.75,0,3,3,4,2,3,6,5,13,7.4,-26,0.553,0.5,0.1,0.4,0.0,8.4,4.6,29.9,2.5,5.2,33.8,20.0,74,100,-1.4
2002-03,2003-01-28,NUG,BLA,BLA,30.65,6,10,0.6,5,9,0.556,1,1,1.0,2,2,1.0,0,4,4,3,1,0,4,2,15,9.9,1,0.689,0.65,0.1,0.2,0.0,16.7,8.5,19.6,1.7,0.0,26.9,23.0,102,110,1.0
2002-03,2003-02-01,NUG,MAV,MAV,33.02,2,6,0.333,2,5,0.4,0,1,0.0,0,0,0.0,1,5,6,5,2,1,7,5,4,0.0,4,0.333,0.333,0.167,0.0,3.9,20.2,12.0,20.7,3.0,2.2,53.8,17.9,52,125,-13.0
2002-03,2003-02-02,NUG,GRI,NUG,22.82,2,5,0.4,0,3,0.0,2,2,1.0,2,2,1.0,0,2,2,4,0,0,0,2,8,7.9,10,0.68,0.6,0.4,0.4,0.0,8.7,4.5,28.0,0.0,0.0,0.0,11.4,170,98,4.2
2002-03,2003-02-04,NUG,BUL,NUG,16.65,2,4,0.5,1,3,0.333,1,1,1.0,0,0,0.0,0,2,2,4,0,0,1,2,5,4.6,1,0.625,0.625,0.25,0.0,0.0,15.2,7.4,36.9,0.0,0.0,20.0,13.2,119,104,0.4
2002-03,2003-02-06,NUG,SPU,NUG,12.85,1,4,0.25,1,4,0.25,0,0,0.0,0,0,0.0,0,0,0,1,1,0,1,2,2,-0.5,-13,0.25,0.25,0.0,0.0,0.0,0.0,0.0,14.0,4.0,0.0,20.0,17.8,49,92,-9.4
2002-03,2003-02-11,NUG,LAK,LAK,24.7,8,14,0.571,7,13,0.538,1,1,1.0,1,1,1.0,0,1,1,3,2,0,2,3,18,12.6,-18,0.623,0.607,0.071,0.071,0.0,5.1,2.4,25.4,4.0,0.0,12.2,28.6,112,125,5.6
2002-03,2003-02-12,NUG,LAK,NUG,36.87,6,16,0.375,6,12,0.5,0,4,0.0,0,0,0.0,1,1,2,3,2,0,0,1,12,7.9,7,0.375,0.375,0.25,0.0,2.1,3.1,2.5,14.3,2.6,0.0,0.0,16.8,91,112,-1.3
2002-03,2003-02-15,NUG,BUL,BUL,34.08,5,10,0.5,5,10,0.5,0,0,0.0,1,2,0.5,1,1,2,4,2,1,4,1,11,7.7,-5,0.506,0.5,0.0,0.2,2.8,2.8,2.8,25.7,3.2,1.8,26.9,20.2,81,101,0.7
2002-03,2003-02-16,NUG,NHO,NHO,24.03,3,7,0.429,3,5,0.6,0,2,0.0,3,4,0.75,0,2,2,1,1,1,0,3,9,6.7,-2,0.514,0.429,0.286,0.571,0.0,13.3,5.6,7.1,2.3,3.3,0.0,17.0,115,112,0.3
2002-03,2003-02-18,NUG,SPU,SPU,22.97,6,9,0.667,6,9,0.667,0,0,0.0,0,0,0.0,1,0,1,3,2,0,5,4,12,6.3,-7,0.667,0.667,0.0,0.0,4.4,0.0,2.4,29.1,4.5,0.0,35.7,26.5,86,107,0.5
2002-03,2003-02-19,NUG,TIM,NUG,27.52,7,11,0.636,5,9,0.556,2,2,1.0,2,2,1.0,0,2,2,4,0,1,2,4,18,13.6,5,0.758,0.727,0.182,0.182,0.0,8.2,3.5,34.3,0.0,2.6,14.4,21.5,130,100,12.4
2002-03,2003-02-22,NUG,JAZ,JAZ,29.8,2,13,0.154,2,12,0.167,0,1,0.0,2,3,0.667,2,1,3,0,1,0,1,3,6,-2.2,-6,0.209,0.154,0.077,0.231,6.4,4.2,5.5,0.0,1.7,0.0,6.5,21.4,55,111,-14.8
2002-03,2003-02-24,NUG,WAR,NUG,20.92,1,4,0.25,1,3,0.333,0,1,0.0,0,0,0.0,0,1,1,4,1,0,2,2,2,0.9,2,0.25,0.25,0.25,0.0,0.0,4.5,2.2,30.8,2.3,0.0,33.3,10.6,61,100,-5.1
2002-03,2003-02-26,NUG,BLA,NUG,35.98,3,5,0.6,3,5,0.6,0,0,0.0,1,1,1.0,0,3,3,2,0,1,3,3,7,3.5,-4,0.643,0.6,0.0,0.2,0.0,11.4,6.0,9.2,0.0,2.3,35.5,11.3,86,115,-5.9
2002-03,2003-02-28,NUG,NHO,NUG,29.95,2,8,0.25,2,7,0.286,0,1,0.0,0,0,0.0,0,2,2,3,2,0,1,2,4,2.1,-4,0.25,0.25,0.125,0.0,0.0,6.7,3.5,14.6,3.4,0.0,11.1,13.5,59,101,-5.6
2002-03,2003-03-02,NUG,76E,NUG,26.52,1,3,0.333,0,1,0.0,1,2,0.5,4,4,1.0,0,4,4,0,2,2,1,2,7,8.1,2,0.735,0.5,0.667,1.333,0.0,18.5,9.1,0.0,4.1,5.7,17.4,9.9,131,101,6.0
2002-03,2003-03-04,NUG,HAW,HAW,34.58,3,8,0.375,2,5,0.4,1,3,0.333,4,4,1.0,2,5,7,2,1,0,4,2,11,7.1,-13,0.564,0.438,0.375,0.5,6.1,18.0,11.6,9.5,1.5,0.0,29.1,17.4,92,103,-3.6
2002-03,2003-03-05,NUG,GRI,GRI,22.07,4,7,0.571,4,6,0.667,0,1,0.0,0,0,0.0,0,3,3,3,0,1,2,1,8,6.0,5,0.571,0.571,0.143,0.0,0.0,14.2,7.2,24.0,0.0,3.1,22.2,16.9,100,103,1.4
2002-03,2003-03-08,NUG,HEA,HEA,28.62,3,10,0.3,2,8,0.25,1,2,0.5,0,0,0.0,1,2,3,4,1,0,2,3,7,3.1,8,0.35,0.35,0.2,0.0,4.2,9.2,6.6,20.0,1.8,0.0,16.7,19.7,80,107,-8.1
2002-03,2003-03-09,NUG,MAG,MAG,23.2,1,6,0.167,1,5,0.2,0,1,0.0,0,2,0.0,0,3,3,3,1,2,0,4,2,1.2,-29,0.145,0.167,0.167,0.333,0.0,15.3,8.0,15.7,2.1,7.1,0.0,13.4,53,109,-8.0
2002-03,2003-03-11,NUG,RAP,NUG,17.22,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0.0,0,4,4,1,0,2,0,1,2,3.9,5,0.5,0.5,0.0,0.0,0.0,24.0,11.6,8.8,0.0,9.9,0.0,4.8,118,90,-0.2
2002-03,2003-03-16,NUG,SUP,NUG,24.5,3,8,0.375,2,5,0.4,1,3,0.333,0,0,0.0,0,5,5,4,0,1,1,3,7,5.4,0,0.438,0.438,0.375,0.0,0.0,25.0,12.0,28.6,0.0,3.5,11.1,18.1,95,109,-3.2
2002-03,2003-03-18,NUG,JAZ,JAZ,16.63,3,4,0.75,3,4,0.75,0,0,0.0,4,4,1.0,0,2,2,1,1,0,3,4,10,6.1,4,0.868,0.75,0.0,1.0,0.0,18.2,8.4,13.8,3.1,0.0,34.2,24.2,111,106,1.6
2002-03,2003-03-19,NUG,CLI,CLI,2.6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.0,-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,15.7,0,113,-30.1
