SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2022-23,2023-03-18,WIZ,KIN,WIZ,5.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,0,0,0.0,8,0.0,0.0,0.0,0.0,17.8,21.3,19.4,0.0,0.0,0.0,100.0,7.8,58,141,-16.0
2022-23,2023-03-21,WIZ,MAG,MAG,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2022-23,2023-03-22,WIZ,NUG,WIZ,3.65,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0.7,6,0.0,0.0,0.0,0.0,32.9,0.0,16.9,0.0,0.0,0.0,0.0,0.0,208,140,-5.0
2022-23,2023-03-24,WIZ,SPU,WIZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2022-23,2023-03-26,WIZ,RAP,RAP,2.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,1.0,4,0.0,0.0,0.0,0.0,0.0,42.8,22.3,57.4,0.0,0.0,0.0,0.0,242,108,17.5
2022-23,2023-03-28,WIZ,CEL,WIZ,2.08,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,2,0.7,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,40.5,65,115,-10.8
2022-23,2023-03-31,WIZ,MAG,WIZ,5.05,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,1,2,1.3,0,1.0,1.0,0.0,0.0,16.7,22.6,19.2,0.0,0.0,0.0,50.0,15.5,95,116,-7.8
2022-23,2023-04-02,WIZ,KNI,KNI,3.52,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,1,0,1,0,1.3,9,0.0,0.0,0.0,0.0,0.0,34.1,17.7,35.0,0.0,24.4,0.0,0.0,241,101,14.0
2022-23,2023-04-04,WIZ,BUC,WIZ,26.4,4,5,0.8,4,5,0.8,0,0,0.0,0,0,0.0,0,2,2,1,0,0,2,3,8,4.2,5,0.8,0.8,0.0,0.0,0.0,8.1,3.7,4.3,0.0,0.0,28.6,10.9,105,134,-8.8
2022-23,2023-04-05,WIZ,HAW,HAW,17.22,2,5,0.4,2,5,0.4,0,0,0.0,2,2,1.0,2,4,6,3,1,1,1,3,6,7.5,2,0.51,0.4,0.0,0.4,11.6,28.6,19.2,21.2,2.7,5.2,14.5,16.1,117,123,1.6
2022-23,2023-04-07,WIZ,HEA,WIZ,22.03,4,5,0.8,4,4,1.0,0,1,0.0,2,6,0.333,4,5,9,0,3,0,1,3,10,11.6,-22,0.654,0.8,0.2,1.2,19.4,20.9,20.2,0.0,6.4,0.0,11.6,16.2,125,91,4.7
2022-23,2023-04-09,WIZ,ROC,WIZ,38.13,5,11,0.455,5,11,0.455,0,0,0.0,0,2,0.0,7,7,14,0,2,2,1,2,10,12.1,3,0.421,0.455,0.0,0.182,16.9,17.6,17.3,0.0,2.5,3.6,7.8,13.7,101,108,-7.2
