SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2016-17,2016-11-09,NET,KNI,KNI,14.03,2,3,0.667,1,2,0.5,1,1,1.0,0,0,0.0,0,1,1,3,1,0,3,0,5,4.1,-6,0.833,0.833,0.333,0.0,0.0,8.1,3.8,39.2,3.4,0.0,50.0,18.8,91,108,0.7
2016-17,2016-11-12,NET,SUN,SUN,12.58,1,3,0.333,1,1,1.0,0,2,0.0,0,0,0.0,0,1,1,2,0,1,0,1,2,2.3,1,0.333,0.333,0.667,0.0,0.0,5.8,3.5,21.1,0.0,5.2,0.0,10.0,99,101,-3.0
2016-17,2016-11-14,NET,CLI,CLI,25.63,5,11,0.455,3,6,0.5,2,5,0.4,1,4,0.25,0,1,1,5,0,0,3,0,13,6.9,2,0.509,0.545,0.455,0.364,0.0,5.1,2.3,38.0,0.0,0.0,19.0,27.4,94,135,-4.2
2016-17,2016-11-15,NET,LAK,LAK,18.67,3,5,0.6,1,2,0.5,2,3,0.667,3,4,0.75,0,1,1,4,0,0,1,5,11,8.4,7,0.814,0.8,0.6,0.8,0.0,4.9,2.5,27.6,0.0,0.0,12.9,16.4,151,123,1.4
2016-17,2016-11-18,NET,THU,THU,19.07,1,5,0.2,1,2,0.5,0,3,0.0,4,4,1.0,3,1,4,1,0,0,2,2,6,3.2,-7,0.444,0.2,0.6,0.8,17.6,7.6,13.2,7.8,0.0,0.0,22.8,19.7,94,126,-9.8
2016-17,2016-11-20,NET,BLA,NET,11.78,0,3,0.0,0,1,0.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-1.4,-9,0.0,0.0,0.667,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,10.6,19,134,-17.7
2016-17,2016-11-23,NET,CEL,NET,7.95,0,3,0.0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-1.8,-8,0.0,0.0,0.333,0.0,0.0,12.6,6.3,0.0,0.0,0.0,0.0,15.8,0,116,-21.0
2016-17,2016-11-25,NET,PAC,PAC,21.42,3,9,0.333,1,3,0.333,2,6,0.333,2,4,0.5,0,2,2,0,1,0,3,2,10,1.9,-11,0.465,0.444,0.667,0.444,0.0,11.8,5.3,0.0,2.3,0.0,21.8,28.5,69,121,-13.9
2016-17,2016-11-27,NET,KIN,NET,16.77,2,6,0.333,1,2,0.5,1,4,0.25,0,0,0.0,1,0,1,1,0,1,2,1,5,1.3,-16,0.417,0.417,0.667,0.0,6.4,0.0,3.3,8.9,0.0,4.5,25.0,21.2,75,127,-10.3
2016-17,2016-11-29,NET,CLI,NET,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2016-17,2016-12-01,NET,BUC,NET,3.43,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1.7,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,200,128,3.5
2016-17,2016-12-03,NET,BUC,BUC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2016-17,2016-12-07,NET,NUG,NET,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2016-17,2017-01-29,MAV,SPU,SPU,35.6,3,9,0.333,2,5,0.4,1,4,0.25,2,2,1.0,2,0,2,7,2,0,0,3,9,11.0,12,0.455,0.389,0.444,0.222,5.9,0.0,3.1,27.0,2.8,0.0,0.0,13.3,125,106,2.2
2016-17,2017-01-30,MAV,CAV,MAV,37.62,7,15,0.467,4,9,0.444,3,6,0.5,2,2,1.0,0,5,5,3,4,0,2,2,19,16.1,10,0.598,0.567,0.4,0.133,0.0,17.2,7.8,12.7,5.5,0.0,11.2,22.2,111,98,5.8
2016-17,2017-02-01,MAV,76E,MAV,37.72,3,13,0.231,3,9,0.333,0,4,0.0,5,5,1.0,1,2,3,5,1,1,2,2,11,6.8,2,0.362,0.231,0.308,0.385,2.6,6.2,4.2,17.6,1.4,2.3,11.6,20.0,91,103,-7.7
2016-17,2017-02-03,MAV,BLA,BLA,39.08,11,17,0.647,2,6,0.333,9,11,0.818,1,2,0.5,0,2,2,5,0,0,2,4,32,24.6,3,0.895,0.912,0.647,0.118,0.0,5.3,3.1,27.3,0.0,0.0,10.1,27.1,157,122,13.2
2016-17,2017-02-06,MAV,NUG,NUG,35.07,4,11,0.364,2,6,0.333,2,5,0.4,5,5,1.0,0,2,2,5,2,1,2,0,15,13.7,-32,0.568,0.455,0.455,0.455,0.0,7.6,3.5,24.0,3.0,2.4,13.2,21.6,105,117,3.3
2016-17,2017-02-07,MAV,BLA,MAV,34.88,4,9,0.444,3,5,0.6,1,4,0.25,3,3,1.0,0,2,2,2,1,0,2,2,12,7.5,7,0.581,0.5,0.444,0.333,0.0,6.0,3.2,8.7,1.5,0.0,16.2,17.6,101,126,-6.2
2016-17,2017-02-09,MAV,JAZ,MAV,25.77,3,8,0.375,2,4,0.5,1,4,0.25,2,2,1.0,0,4,4,5,3,0,2,1,9,9.9,-6,0.507,0.438,0.5,0.25,0.0,19.6,10.3,27.2,6.2,0.0,18.4,20.5,99,96,5.4
2016-17,2017-02-11,MAV,MAG,MAV,31.72,4,8,0.5,2,5,0.4,2,3,0.667,0,0,0.0,0,3,3,6,0,0,3,3,10,6.9,21,0.625,0.625,0.375,0.0,0.0,9.1,5.0,23.3,0.0,0.0,27.3,15.5,109,94,-4.7
2016-17,2017-02-13,MAV,CEL,MAV,32.65,8,11,0.727,6,7,0.857,2,4,0.5,2,2,1.0,0,2,2,5,0,0,2,5,20,15.6,-14,0.842,0.818,0.364,0.182,0.0,7.4,3.8,31.6,0.0,0.0,14.4,20.4,143,125,4.3
2016-17,2017-02-15,MAV,PIS,PIS,20.35,2,8,0.25,1,5,0.2,1,3,0.333,0,0,0.0,1,4,5,3,2,0,1,2,5,4.4,-4,0.313,0.313,0.375,0.0,4.6,21.9,12.5,23.4,4.9,0.0,11.1,20.6,73,95,-2.4
2016-17,2017-02-24,MAV,TIM,TIM,29.98,2,9,0.222,1,3,0.333,1,6,0.167,0,1,0.0,0,3,3,4,1,0,3,2,5,0.0,-4,0.265,0.278,0.667,0.111,0.0,13.3,6.1,20.1,1.8,0.0,24.1,19.5,56,109,-10.8
2016-17,2017-02-25,MAV,PEL,MAV,29.45,3,9,0.333,2,4,0.5,1,5,0.2,0,0,0.0,2,3,5,7,0,0,1,2,7,7.3,8,0.389,0.389,0.556,0.0,7.6,10.9,9.3,36.7,0.0,0.0,10.0,16.0,107,94,-0.8
2016-17,2017-02-27,MAV,HEA,MAV,29.47,2,9,0.222,1,7,0.143,1,2,0.5,1,2,0.5,2,3,5,5,1,0,1,2,6,5.1,-2,0.304,0.278,0.222,0.222,7.6,11.1,9.4,27.4,1.9,0.0,9.2,17.9,90,103,-2.5
2016-17,2017-03-01,MAV,HAW,HAW,32.33,5,10,0.5,4,7,0.571,1,3,0.333,0,0,0.0,0,2,2,9,0,0,3,0,11,9.9,-12,0.55,0.55,0.3,0.0,0.0,11.0,4.4,48.4,0.0,0.0,23.1,18.8,112,117,-0.6
2016-17,2017-03-03,MAV,GRI,MAV,28.72,6,12,0.5,6,10,0.6,0,2,0.0,5,5,1.0,0,2,2,5,1,0,1,3,17,13.9,1,0.599,0.5,0.167,0.417,0.0,7.6,4.0,28.8,1.8,0.0,6.6,24.9,125,109,3.9
2016-17,2017-03-05,MAV,THU,MAV,31.8,3,8,0.375,2,5,0.4,1,3,0.333,0,0,0.0,0,2,2,3,0,0,0,2,7,4.5,23,0.438,0.438,0.375,0.0,0.0,6.7,3.5,12.1,0.0,0.0,0.0,12.0,99,101,-5.1
2016-17,2017-03-07,MAV,LAK,MAV,32.37,6,9,0.667,4,5,0.8,2,4,0.5,2,2,1.0,1,1,2,7,0,0,2,2,16,15.2,18,0.81,0.778,0.444,0.222,3.8,3.2,3.5,28.8,0.0,0.0,16.8,16.7,151,120,3.0
2016-17,2017-03-10,MAV,NET,MAV,34.02,5,12,0.417,2,7,0.286,3,5,0.6,4,4,1.0,1,1,2,2,1,0,1,3,17,11.8,2,0.618,0.542,0.417,0.333,3.7,3.2,3.4,10.9,1.5,0.0,6.8,19.8,126,102,2.5
2016-17,2017-03-11,MAV,SUN,MAV,27.23,3,7,0.429,2,4,0.5,1,3,0.333,6,6,1.0,0,0,0,1,1,0,0,3,13,9.8,-6,0.674,0.5,0.429,0.857,0.0,0.0,0.0,7.8,1.9,0.0,0.0,16.5,147,107,1.9
2016-17,2017-03-13,MAV,RAP,RAP,30.88,1,7,0.143,1,3,0.333,0,4,0.0,3,4,0.75,0,3,3,6,1,0,1,2,5,4.4,-8,0.285,0.143,0.571,0.571,0.0,13.0,5.2,31.7,1.8,0.0,10.2,15.5,75,115,-6.3
2016-17,2017-03-15,MAV,WIZ,WIZ,24.73,2,7,0.286,0,3,0.0,2,4,0.5,3,4,0.75,0,1,1,3,0,0,1,5,9,3.9,11,0.514,0.429,0.571,0.571,0.0,4.9,2.4,16.1,0.0,0.0,10.2,18.9,105,116,-6.9
2016-17,2017-03-17,MAV,76E,76E,22.98,2,5,0.4,2,5,0.4,0,0,0.0,0,0,0.0,0,5,5,3,1,1,2,1,4,4.2,-24,0.4,0.4,0.0,0.0,0.0,27.5,11.7,24.3,2.1,4.1,28.6,13.7,66,113,-6.0
2016-17,2017-03-19,MAV,NET,NET,21.9,2,5,0.4,2,4,0.5,0,1,0.0,4,4,1.0,0,2,2,5,3,1,1,3,8,10.9,1,0.592,0.4,0.2,0.8,0.0,11.0,5.9,29.9,7.1,5.3,12.9,17.5,126,99,9.4
2016-17,2017-03-21,MAV,WAR,MAV,26.62,4,10,0.4,0,4,0.0,4,6,0.667,0,0,0.0,1,0,1,4,2,0,3,1,12,8.7,-21,0.6,0.6,0.6,0.0,3.3,0.0,2.1,28.0,3.8,0.0,23.1,21.7,97,116,3.9
2016-17,2017-03-23,MAV,CLI,MAV,16.4,2,4,0.5,1,2,0.5,1,2,0.5,0,0,0.0,0,2,2,1,2,0,0,2,5,5.5,1,0.625,0.625,0.5,0.0,0.0,15.0,7.4,9.1,6.2,0.0,0.0,11.8,121,94,4.4
2016-17,2017-03-25,MAV,RAP,MAV,17.78,4,10,0.4,2,6,0.333,2,4,0.5,0,0,0.0,0,4,4,4,1,0,2,1,10,7.2,14,0.5,0.5,0.4,0.0,0.0,27.0,12.9,53.4,3.1,0.0,16.7,31.5,95,104,6.0
2016-17,2017-03-27,MAV,THU,MAV,31.98,5,10,0.5,2,6,0.333,3,4,0.75,0,0,0.0,1,3,4,5,3,0,3,2,13,12.3,-15,0.65,0.65,0.4,0.0,3.3,10.7,6.9,29.4,4.8,0.0,23.1,19.1,105,96,6.1
2016-17,2017-03-29,MAV,PEL,PEL,23.9,5,10,0.5,1,4,0.25,4,6,0.667,1,2,0.5,1,2,3,1,1,1,1,2,15,11.5,0,0.689,0.7,0.6,0.2,4.9,9.8,7.3,5.9,2.2,3.7,8.4,23.1,126,128,7.0
2016-17,2017-03-31,MAV,GRI,GRI,16.58,1,4,0.25,0,1,0.0,1,3,0.333,0,0,0.0,0,1,1,1,1,0,1,0,3,1.6,-7,0.375,0.375,0.75,0.0,0.0,7.2,3.4,11.1,3.3,0.0,20.0,15.2,67,113,-6.0
2016-17,2017-04-02,MAV,BUC,BUC,30.53,4,8,0.5,2,4,0.5,2,4,0.5,3,4,0.75,0,5,5,5,1,0,1,2,13,12.8,-12,0.666,0.625,0.5,0.5,0.0,26.2,12.5,24.8,1.7,0.0,9.3,17.8,134,115,2.7
2016-17,2017-04-04,MAV,KIN,KIN,24.6,3,9,0.333,2,3,0.667,1,6,0.167,0,0,0.0,0,0,0,5,0,1,3,1,7,2.7,0,0.389,0.389,0.667,0.0,0.0,0.0,0.0,37.3,0.0,3.3,25.0,22.9,75,114,-9.4
2016-17,2017-04-05,MAV,CLI,CLI,26.53,5,12,0.417,4,8,0.5,1,4,0.25,3,4,0.75,1,2,3,6,2,0,0,3,14,13.5,-8,0.509,0.458,0.333,0.333,3.9,9.5,6.5,37.5,3.7,0.0,0.0,22.6,126,111,8.5
2016-17,2017-04-07,MAV,SPU,MAV,29.53,4,13,0.308,3,8,0.375,1,5,0.2,2,2,1.0,0,2,2,5,0,0,0,5,11,5.6,-4,0.396,0.346,0.385,0.154,0.0,6.0,3.2,25.8,0.0,0.0,0.0,22.4,93,114,-7.0
2016-17,2017-04-09,MAV,SUN,SUN,32.2,8,16,0.5,5,10,0.5,3,6,0.5,2,2,1.0,2,2,4,4,0,0,2,2,21,15.0,-14,0.622,0.594,0.375,0.125,5.7,8.5,6.9,20.5,0.0,0.0,10.6,24.4,127,134,0.0
2016-17,2017-04-11,MAV,NUG,MAV,34.57,4,12,0.333,3,7,0.429,1,5,0.2,1,1,1.0,0,5,5,3,1,0,3,1,10,4.4,-9,0.402,0.375,0.417,0.083,0.0,15.8,7.3,14.1,1.4,0.0,19.4,20.3,71,115,-10.2
2016-17,2017-04-12,MAV,GRI,GRI,28.23,2,9,0.222,1,5,0.2,1,4,0.25,2,3,0.667,0,1,1,5,1,1,2,3,7,3.4,-5,0.339,0.278,0.444,0.333,0.0,3.8,2.0,28.7,1.9,2.9,16.2,20.8,78,110,-7.4
2017-18,2017-10-18,MAV,HAW,MAV,31.6,3,7,0.429,0,3,0.0,3,4,0.75,0,0,0.0,0,0,0,2,1,0,0,2,9,6.9,-9,0.643,0.643,0.571,0.0,0.0,0.0,0.0,9.1,1.5,0.0,0.0,9.6,132,123,-1.2
2017-18,2017-10-20,MAV,KIN,MAV,30.35,3,8,0.375,2,4,0.5,1,4,0.25,7,8,0.875,0,4,4,2,1,0,4,3,14,7.6,-9,0.608,0.438,0.5,1.0,0.0,14.1,6.8,12.0,1.8,0.0,25.8,25.5,95,107,-6.2
