SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2007-08,10.547,1.06,2.59,0.409,0.96,2.09,0.459,0.1,0.5,0.2,0.68,0.87,0.782,0.36,1.06,1.42,0.58,0.35,0.08,0.35,0.88,2.9,2.115,1.04,0.488,0.429,0.193,0.263,3.96,11.9,8.074,9.878,1.715,0.56,8.31,13.386,87.851,105.471,-2.039
2008-09,14.943,1.621,3.69,0.439,1.103,2.345,0.471,0.517,1.345,0.385,0.701,0.874,0.803,0.356,1.218,1.575,0.517,0.322,0.172,0.529,1.759,4.46,2.644,-0.437,0.547,0.509,0.364,0.19,2.414,10.546,6.378,5.206,1.213,0.881,9.956,14.337,94.064,111.051,-3.954
2009-10,26.307,3.281,6.933,0.473,2.0,3.978,0.503,1.281,2.955,0.433,0.91,1.225,0.743,0.674,2.292,2.966,1.629,0.528,0.36,0.876,2.764,8.753,6.184,1.876,0.586,0.566,0.426,0.131,3.057,10.06,6.512,9.207,0.98,1.088,10.052,14.107,113.034,112.398,-0.693
2010-11,32.56,4.378,8.932,0.49,2.919,5.419,0.539,1.459,3.514,0.415,1.959,2.311,0.848,0.608,2.905,3.514,2.365,0.459,0.419,1.0,2.203,12.176,9.358,1.878,0.612,0.572,0.393,0.219,2.151,10.062,6.164,11.028,0.685,0.957,9.368,15.121,117.25,112.014,0.839
2011-12,32.618,5.056,10.887,0.464,3.761,7.493,0.502,1.296,3.394,0.382,2.944,3.69,0.798,0.634,2.493,3.127,2.366,0.577,0.211,1.324,2.085,14.352,9.87,0.507,0.574,0.524,0.312,0.27,2.48,8.322,5.457,10.986,0.958,0.48,9.806,18.906,111.768,111.667,-0.529
2012-13,34.949,6.015,13.712,0.439,4.924,10.076,0.489,1.091,3.636,0.3,2.894,3.379,0.857,0.439,3.182,3.621,3.121,0.606,0.167,2.091,2.076,16.015,9.877,-4.864,0.527,0.478,0.265,0.211,1.553,10.406,6.016,14.436,0.903,0.341,11.78,22.73,100.109,112.984,-3.111
2013-14,34.491,6.27,13.662,0.459,4.541,9.608,0.473,1.73,4.054,0.427,3.703,4.541,0.815,0.432,3.108,3.541,3.351,0.473,0.041,1.973,1.838,17.973,11.957,-4.932,0.574,0.522,0.297,0.271,1.367,9.964,5.632,17.07,0.766,0.105,11.259,23.405,109.041,112.26,-0.162
2014-15,30.861,4.542,10.795,0.421,3.108,6.735,0.462,1.434,4.06,0.353,2.012,2.398,0.839,0.325,2.735,3.06,1.578,0.494,0.084,1.434,2.084,12.53,7.075,-0.807,0.529,0.487,0.376,0.186,1.042,9.558,5.254,7.847,0.825,0.21,10.735,18.77,98.531,111.889,-3.011
2015-16,32.929,4.917,11.097,0.443,3.653,7.792,0.469,1.264,3.306,0.382,1.528,1.819,0.84,0.319,3.375,3.694,2.0,0.347,0.139,1.139,1.972,12.625,7.86,-2.194,0.531,0.5,0.298,0.138,1.061,11.275,6.293,10.124,0.532,0.349,8.573,17.994,101.662,112.62,-3.165
2016-17,21.797,2.563,5.817,0.441,1.704,3.732,0.457,0.859,2.085,0.412,1.127,1.268,0.889,0.127,1.62,1.746,1.07,0.282,0.07,0.592,1.451,7.113,4.493,-3.493,0.558,0.515,0.358,0.194,0.697,8.61,4.693,7.155,0.688,0.285,7.788,14.507,105.567,117.867,-4.44
2017-18,8.852,0.844,2.104,0.401,0.494,1.195,0.413,0.351,0.909,0.386,0.286,0.338,0.846,0.052,0.805,0.857,0.39,0.052,0.117,0.273,0.727,2.325,1.29,-1.208,0.516,0.485,0.432,0.136,0.292,8.421,4.391,5.751,0.243,1.104,11.858,12.64,88.226,117.566,-5.875
