SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2002-03,36.148,5.43,13.063,0.416,5.0,11.709,0.427,0.43,1.354,0.318,3.911,4.747,0.824,1.709,3.316,5.025,2.696,1.734,0.392,2.43,2.911,15.203,10.389,-4.848,0.502,0.432,0.104,0.299,5.226,10.913,7.983,14.101,2.614,0.86,14.017,23.121,98.205,102.923,0.312
2003-04,30.55,3.602,9.446,0.381,3.458,8.807,0.393,0.145,0.639,0.226,2.169,2.807,0.773,1.325,3.928,5.253,1.892,1.241,0.241,1.373,2.494,9.518,6.56,1.169,0.446,0.389,0.068,0.23,4.854,13.879,9.414,10.832,2.16,0.702,10.832,18.357,89.852,100.877,-2.527
2004-05,35.156,5.654,12.705,0.445,5.167,11.103,0.465,0.487,1.603,0.304,3.526,4.09,0.862,1.872,3.897,5.769,1.872,1.41,0.295,1.603,2.731,15.321,11.174,-3.064,0.528,0.464,0.126,0.277,5.974,12.566,9.264,9.122,2.036,0.591,9.814,20.542,106.364,112.052,-1.192
2005-06,36.22,6.537,14.476,0.452,6.0,12.841,0.467,0.537,1.634,0.328,3.817,4.402,0.867,1.585,4.866,6.451,2.463,1.695,0.268,2.305,3.28,17.427,12.234,1.415,0.531,0.47,0.113,0.264,4.69,16.306,10.353,12.291,2.485,0.568,12.214,23.2,104.852,106.84,0.251
2006-07,38.067,6.938,15.0,0.463,6.662,13.892,0.48,0.277,1.108,0.25,4.354,5.046,0.863,2.262,4.923,7.185,3.585,2.062,0.262,2.785,2.892,18.508,14.378,0.892,0.537,0.472,0.074,0.29,6.565,15.548,10.941,15.383,2.719,0.505,14.203,23.013,106.667,109.524,0.667
2007-08,38.174,7.182,15.455,0.465,6.106,12.379,0.493,1.076,3.076,0.35,3.924,4.364,0.899,1.561,4.773,6.333,4.591,2.061,0.318,2.455,2.652,19.364,15.748,2.333,0.557,0.5,0.199,0.254,4.692,14.929,9.729,21.219,2.867,0.69,12.205,23.959,113.762,107.27,3.721
2008-09,35.902,6.819,15.069,0.453,5.917,12.153,0.487,0.903,2.917,0.31,4.792,5.583,0.858,1.639,4.111,5.75,4.028,1.472,0.278,2.917,2.292,19.333,14.229,-5.264,0.552,0.482,0.194,0.318,5.031,13.687,9.275,20.119,2.172,0.618,14.324,25.913,106.149,113.955,0.712
2009-10,36.411,6.012,14.024,0.429,5.415,11.976,0.452,0.598,2.049,0.292,3.524,4.171,0.845,1.305,4.744,6.049,2.0,1.524,0.354,2.134,2.549,16.146,10.83,-0.524,0.509,0.45,0.146,0.251,4.041,14.985,9.492,9.19,2.198,0.729,12.422,22.514,99.188,107.562,-1.225
2010-11,28.906,5.667,12.6,0.45,4.733,10.433,0.454,0.933,2.167,0.431,2.267,2.933,0.773,0.733,3.2,3.933,1.533,0.933,0.267,1.633,1.967,14.533,8.96,4.933,0.523,0.487,0.172,0.18,2.776,12.338,7.697,9.203,1.61,0.731,10.703,25.81,99.0,104.828,-1.41
2011-12,28.902,4.324,10.77,0.402,2.973,6.878,0.432,1.351,3.892,0.347,1.338,1.662,0.805,0.649,2.865,3.514,1.189,0.784,0.149,1.257,1.959,11.338,6.392,2.432,0.493,0.464,0.361,0.124,2.485,12.229,7.241,6.463,1.455,0.473,9.621,20.715,94.808,109.178,-3.141
2012-13,23.705,3.847,9.012,0.427,2.294,4.941,0.464,1.553,4.071,0.382,0.918,1.094,0.839,0.494,2.318,2.812,0.918,0.624,0.153,0.918,1.765,10.165,6.115,2.388,0.535,0.513,0.452,0.102,2.565,11.408,7.052,5.967,1.473,0.558,8.823,20.049,100.381,108.238,-1.994
2013-14,23.56,3.179,8.308,0.383,1.654,4.359,0.379,1.526,3.949,0.386,1.09,1.321,0.825,0.41,3.269,3.679,1.244,0.667,0.244,0.91,1.962,8.974,5.619,-2.462,0.505,0.475,0.475,0.131,1.809,16.159,8.893,9.027,1.385,0.859,8.169,18.785,93.662,110.0,-2.941
2014-15,20.042,1.988,4.889,0.407,0.963,2.185,0.441,1.025,2.704,0.379,0.679,0.753,0.902,0.259,2.16,2.42,0.975,0.531,0.049,0.605,1.481,5.679,3.902,-0.247,0.544,0.511,0.553,0.139,1.24,12.0,6.385,7.212,1.458,0.229,11.459,12.773,97.987,109.885,-2.749
2015-16,2.252,0.321,0.756,0.424,0.282,0.526,0.537,0.038,0.231,0.167,0.128,0.154,0.833,0.064,0.218,0.282,0.128,0.115,0.013,0.038,0.244,0.808,0.585,-0.526,0.49,0.449,0.305,0.169,2.459,8.735,5.535,7.212,2.065,0.212,5.882,15.276,76.059,113.765,-5.276
