SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2003-04,22.294,2.41,5.241,0.46,2.41,5.217,0.462,0.0,0.024,0.0,1.193,1.711,0.697,1.518,4.036,5.554,1.024,0.277,0.88,1.867,2.542,6.012,4.099,-2.554,0.502,0.46,0.005,0.228,7.394,20.2,13.857,7.651,0.715,2.654,25.49,16.265,80.744,108.22,-6.512
2004-05,23.034,3.465,6.972,0.497,3.465,6.958,0.498,0.0,0.014,0.0,1.127,1.704,0.661,1.901,4.056,5.958,1.028,0.366,0.958,1.62,2.563,8.056,5.99,-1.845,0.522,0.497,0.002,0.162,9.863,20.402,15.295,8.257,1.043,2.813,19.468,18.129,95.365,106.571,-3.187
2005-06,31.354,4.565,8.609,0.53,4.565,8.587,0.532,0.0,0.022,0.0,2.283,2.967,0.769,2.261,6.848,9.109,0.967,0.543,1.272,2.272,3.337,11.413,9.08,2.076,0.576,0.53,0.003,0.265,9.018,23.848,16.817,5.211,0.981,3.126,18.49,17.996,101.708,102.27,-1.012
2006-07,28.629,3.868,8.579,0.451,3.868,8.566,0.452,0.0,0.013,0.0,2.184,2.947,0.741,2.105,5.632,7.737,1.039,0.539,1.526,1.934,3.303,9.921,7.401,-2.289,0.502,0.451,0.002,0.255,8.975,23.655,16.459,5.884,0.949,4.217,16.619,19.615,95.107,103.333,-3.641
2007-08,31.556,5.121,10.606,0.483,5.121,10.545,0.486,0.0,0.061,0.0,3.061,4.015,0.762,2.621,8.152,10.773,1.621,0.5,2.348,2.485,2.712,13.303,11.535,-2.848,0.538,0.483,0.006,0.289,9.545,29.621,19.516,9.611,0.812,5.561,16.491,21.598,102.554,101.679,0.486
2008-09,28.77,5.031,9.531,0.528,5.031,9.531,0.528,0.0,0.0,0.0,1.594,2.344,0.68,2.344,5.375,7.719,1.438,0.531,1.406,2.625,2.906,11.656,8.684,-5.125,0.552,0.528,0.0,0.167,8.826,22.323,15.394,8.671,0.813,3.258,19.774,21.771,98.032,109.806,-4.003
2009-10,33.876,7.649,15.61,0.49,7.649,15.532,0.492,0.0,0.078,0.0,2.987,3.987,0.749,2.39,6.753,9.143,1.558,0.481,1.221,2.896,2.766,18.286,12.14,-3.818,0.527,0.49,0.005,0.191,8.316,23.559,15.882,8.745,0.718,2.634,14.483,27.358,98.382,108.803,-2.783
2010-11,25.381,5.364,11.394,0.471,5.364,11.394,0.471,0.0,0.0,0.0,1.303,1.727,0.754,1.545,5.273,6.818,1.394,0.485,1.455,1.758,2.273,12.03,8.506,-1.394,0.495,0.471,0.0,0.114,7.156,24.347,16.003,10.544,0.966,4.631,13.294,25.159,93.375,104.125,-2.212
2011-12,25.886,5.019,11.264,0.446,5.019,11.264,0.446,0.0,0.0,0.0,1.585,2.019,0.785,1.679,5.189,6.868,1.906,0.472,1.453,2.434,2.0,11.623,7.892,-1.075,0.478,0.446,0.0,0.141,7.798,22.911,15.37,13.281,1.074,4.909,18.23,26.691,89.426,102.213,-1.783
2012-13,19.197,4.408,8.69,0.507,4.408,8.676,0.508,0.0,0.014,0.0,0.944,1.197,0.788,1.366,3.873,5.239,0.718,0.408,0.732,1.451,1.986,9.761,6.637,-1.803,0.529,0.507,0.002,0.109,8.138,22.033,15.264,6.489,1.223,2.924,14.198,26.206,93.742,104.652,-3.997
2013-14,10.667,2.551,5.014,0.509,2.551,4.971,0.513,0.0,0.043,0.0,0.754,0.986,0.765,0.783,2.536,3.319,0.841,0.159,0.58,1.072,1.348,5.855,4.123,-0.87,0.537,0.509,0.009,0.15,8.195,22.728,15.146,12.341,0.79,4.008,17.456,26.151,94.026,107.051,-3.974
2014-15,17.94,3.588,6.962,0.515,3.588,6.962,0.515,0.0,0.0,0.0,0.912,1.288,0.709,1.925,4.3,6.225,0.85,0.225,0.675,1.388,1.812,8.088,6.316,-0.238,0.537,0.515,0.0,0.131,11.464,25.121,18.357,7.856,0.568,2.609,17.305,22.499,100.364,102.532,-1.142
2015-16,1.638,0.307,0.693,0.443,0.295,0.648,0.456,0.011,0.045,0.25,0.034,0.034,1.0,0.102,0.261,0.364,0.136,0.034,0.011,0.159,0.284,0.659,0.311,-0.364,0.465,0.451,0.066,0.049,5.87,17.77,12.325,16.205,0.805,0.23,12.985,24.84,86.5,107.1,-8.895
