SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2005-06,35.55,5.152,11.987,0.43,4.519,9.747,0.464,0.633,2.241,0.282,4.987,5.886,0.847,0.772,4.291,5.063,7.734,2.215,0.076,2.316,2.759,15.924,15.324,-2.291,0.546,0.456,0.187,0.416,2.444,14.772,8.418,38.514,3.359,0.153,14.001,22.336,113.487,104.885,4.886
2006-07,35.648,5.773,13.197,0.437,5.015,11.03,0.455,0.758,2.167,0.35,4.424,5.409,0.818,0.818,3.424,4.242,8.621,1.788,0.045,2.439,2.333,16.727,15.486,-0.697,0.537,0.466,0.164,0.335,2.491,11.584,6.942,41.327,2.677,0.089,13.272,22.861,116.938,107.781,5.084
2007-08,37.51,7.891,16.185,0.488,6.837,13.261,0.516,1.054,2.924,0.361,4.228,5.022,0.842,0.837,3.261,4.098,11.413,2.62,0.054,2.413,2.457,21.065,21.39,5.674,0.573,0.52,0.181,0.261,2.505,10.34,6.385,51.88,3.74,0.11,12.201,25.975,124.275,104.813,10.181
2008-09,37.684,7.776,15.624,0.498,6.965,13.365,0.521,0.812,2.259,0.359,5.565,6.412,0.868,0.859,4.482,5.341,10.741,2.635,0.118,3.0,2.588,21.929,21.912,2.988,0.594,0.524,0.145,0.356,2.761,14.483,8.661,54.383,3.806,0.277,14.282,27.578,123.157,105.289,10.377
2009-10,36.434,6.681,13.553,0.493,5.574,10.851,0.514,1.106,2.702,0.409,3.426,4.043,0.847,0.426,3.638,4.064,10.213,2.043,0.17,2.383,2.511,17.894,18.145,0.191,0.584,0.534,0.199,0.253,1.393,11.642,6.44,46.978,3.016,0.336,13.418,22.911,120.178,109.022,6.211
2010-11,35.974,5.425,11.552,0.47,4.506,9.23,0.488,0.92,2.322,0.396,4.322,4.977,0.868,0.471,3.747,4.218,9.782,2.287,0.057,2.287,2.379,16.092,17.303,2.621,0.586,0.509,0.201,0.374,1.517,12.912,7.198,46.263,3.506,0.123,14.48,21.503,121.663,104.663,7.472
2011-12,35.662,6.781,14.438,0.47,5.521,10.986,0.502,1.26,3.452,0.365,4.123,4.781,0.862,0.658,3.027,3.685,8.63,2.493,0.068,2.288,2.301,18.945,18.03,3.658,0.573,0.513,0.239,0.286,2.176,10.282,6.187,42.513,3.772,0.154,12.365,24.631,121.479,105.324,8.103
2012-13,33.231,5.987,12.312,0.486,4.922,9.052,0.544,1.065,3.26,0.327,4.143,4.675,0.886,0.727,2.987,3.714,9.299,2.338,0.13,2.182,2.078,17.182,18.075,5.039,0.598,0.53,0.265,0.336,2.614,10.508,6.682,45.392,3.793,0.3,13.28,22.807,127.961,104.25,8.934
2013-14,34.326,6.468,13.857,0.467,5.039,10.195,0.494,1.429,3.662,0.39,4.364,5.169,0.844,0.649,3.545,4.195,10.351,2.481,0.052,2.39,2.688,18.727,19.108,7.87,0.58,0.518,0.264,0.315,2.153,11.563,6.916,48.5,3.617,0.143,12.857,23.748,125.013,104.2,8.919
2014-15,34.761,6.979,14.305,0.488,5.232,9.947,0.526,1.747,4.358,0.401,3.547,3.916,0.906,0.621,3.895,4.516,9.926,1.874,0.189,2.274,2.526,19.253,19.157,8.126,0.601,0.549,0.305,0.248,2.033,12.232,7.21,46.904,2.741,0.443,12.7,23.563,126.67,106.064,8.018
