SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2008-09,10.835,1.474,3.289,0.448,0.632,1.395,0.453,0.842,1.895,0.444,0.684,0.711,0.963,0.342,1.105,1.447,0.395,0.368,0.105,0.395,1.263,4.474,3.139,1.316,0.621,0.576,0.576,0.208,3.111,11.307,6.825,5.239,1.657,0.682,9.214,15.646,115.214,112.714,-1.396
2009-10,33.092,4.723,11.169,0.423,2.482,5.289,0.469,2.241,5.88,0.381,3.024,3.699,0.818,0.783,4.012,4.795,1.627,0.904,0.699,1.325,2.301,14.711,10.549,-1.602,0.575,0.523,0.526,0.271,2.705,14.535,8.469,7.662,1.402,1.648,9.521,19.333,110.42,111.938,0.07
2010-11,33.114,4.176,10.059,0.415,2.559,5.529,0.463,1.618,4.529,0.357,5.176,6.059,0.854,0.882,3.853,4.735,1.676,0.809,0.397,1.324,2.368,15.147,11.187,0.897,0.595,0.496,0.45,0.515,2.842,13.188,8.046,7.652,1.197,0.951,9.345,19.176,116.254,110.612,-0.104
2011-12,26.212,3.783,9.333,0.405,2.717,5.9,0.46,1.067,3.433,0.311,3.4,3.883,0.876,0.617,3.35,3.967,2.217,0.783,0.45,1.283,1.683,12.033,8.95,3.233,0.545,0.462,0.368,0.364,2.806,14.556,8.902,13.2,1.508,1.292,10.398,20.928,108.5,105.84,1.08
2012-13,31.625,4.986,11.932,0.418,3.137,6.973,0.45,1.849,4.959,0.373,3.918,4.767,0.822,0.89,4.137,5.027,2.411,0.877,0.493,1.521,1.781,15.74,11.584,4.575,0.561,0.495,0.416,0.328,3.038,14.262,8.724,11.413,1.431,1.252,9.98,21.465,114.507,107.69,2.555
2014-15,21.936,3.508,8.738,0.401,1.862,4.108,0.453,1.646,4.631,0.355,2.631,2.938,0.895,0.477,2.877,3.354,1.277,0.723,0.308,0.877,1.446,11.292,8.029,0.354,0.563,0.496,0.53,0.301,2.442,14.315,8.188,8.964,1.541,0.997,7.344,21.244,105.78,109.203,0.463
2015-16,34.049,5.315,12.963,0.41,3.704,8.537,0.434,1.611,4.426,0.364,6.944,8.0,0.868,0.963,4.241,5.204,2.5,0.778,0.352,1.426,1.611,19.185,14.465,-1.852,0.582,0.472,0.341,0.536,3.121,13.947,8.489,12.011,1.113,0.889,8.017,23.274,118.566,110.189,2.549
2016-17,32.832,5.154,11.538,0.447,3.215,6.554,0.491,1.938,4.985,0.389,5.369,5.954,0.902,0.6,4.4,5.0,2.077,0.615,0.231,1.262,1.431,17.615,13.503,2.446,0.622,0.531,0.432,0.465,2.125,14.708,8.527,9.044,0.894,0.506,7.903,20.206,127.778,115.175,1.357
2017-18,21.647,3.29,8.258,0.398,2.129,4.677,0.455,1.161,3.581,0.324,2.613,2.806,0.931,0.29,2.968,3.258,1.323,0.387,0.323,0.839,0.968,10.355,7.219,0.355,0.545,0.469,0.434,0.316,1.752,14.286,8.114,9.448,0.914,1.219,8.257,21.048,111.0,112.0,-0.648
2018-19,30.143,5.973,13.267,0.45,3.653,7.733,0.472,2.32,5.533,0.419,5.267,5.853,0.9,0.84,5.213,6.053,2.587,0.76,0.32,1.467,1.907,19.533,15.119,0.827,0.616,0.538,0.417,0.397,2.946,18.527,10.919,13.255,1.227,0.927,8.009,24.345,122.027,113.338,3.841
2019-20,29.225,5.571,12.8,0.435,2.857,6.0,0.476,2.714,6.8,0.399,4.214,4.686,0.899,0.557,4.586,5.143,1.8,0.671,0.086,1.3,1.229,18.071,13.117,2.757,0.608,0.541,0.531,0.329,2.135,16.754,9.717,9.652,1.093,0.313,8.272,24.538,118.029,111.942,2.623
2020-21,22.491,3.784,8.77,0.431,1.932,4.203,0.46,1.851,4.568,0.405,2.838,3.054,0.929,0.338,3.459,3.797,1.216,0.486,0.176,0.784,2.041,12.257,8.68,0.892,0.606,0.537,0.521,0.324,1.619,16.409,9.2,7.696,0.99,0.6,7.47,21.694,119.043,116.507,0.564
2021-22,25.055,3.892,9.014,0.432,2.27,4.689,0.484,1.622,4.324,0.375,2.135,2.351,0.908,0.527,4.0,4.527,1.459,0.392,0.176,0.635,1.405,11.541,8.609,1.257,0.574,0.522,0.48,0.237,2.5,17.847,10.216,8.153,0.766,0.618,5.67,18.74,118.055,117.068,-0.422
2023-24,8.888,1.16,2.64,0.439,0.76,1.373,0.553,0.4,1.267,0.316,1.16,1.36,0.853,0.28,1.28,1.56,0.76,0.187,0.08,0.32,0.667,3.88,3.184,-1.387,0.599,0.515,0.48,0.439,3.477,15.412,9.398,11.237,1.281,0.669,8.956,16.988,119.308,121.25,-3.406
