SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2009-10,21.329,3.269,6.564,0.498,3.218,6.359,0.506,0.051,0.205,0.25,1.897,2.487,0.763,0.846,2.013,2.859,0.679,0.551,0.231,0.795,2.256,8.487,5.651,-3.0,0.554,0.502,0.031,0.289,4.845,10.139,7.605,4.999,1.396,0.861,9.84,17.836,104.364,115.558,-3.278
2010-11,34.35,6.494,13.904,0.467,6.434,13.277,0.485,0.06,0.627,0.096,3.94,4.843,0.813,0.904,2.892,3.795,1.783,1.024,0.373,1.735,2.614,16.988,10.745,-4.952,0.53,0.469,0.045,0.283,3.109,10.118,6.482,8.589,1.504,0.807,10.118,23.177,105.183,115.378,-2.723
2011-12,34.463,5.953,14.109,0.422,5.578,12.672,0.44,0.375,1.438,0.261,4.188,5.172,0.81,0.625,2.672,3.297,2.0,0.75,0.266,1.922,2.531,16.469,9.22,-1.484,0.503,0.435,0.102,0.297,2.062,9.094,5.649,10.773,1.211,0.649,10.76,25.324,97.508,108.349,-3.014
2012-13,36.302,6.602,14.831,0.445,6.193,13.386,0.463,0.41,1.446,0.283,4.277,5.145,0.831,0.578,3.277,3.855,2.458,0.916,0.289,1.819,2.084,17.892,11.377,-1.361,0.523,0.459,0.097,0.288,1.876,11.018,6.351,11.671,1.351,0.609,10.063,24.232,103.695,110.585,-1.587
2013-14,37.486,7.375,17.318,0.426,6.58,14.727,0.447,0.795,2.591,0.307,6.705,8.057,0.832,0.614,3.614,4.227,3.841,1.068,0.341,2.205,2.5,22.25,14.841,1.795,0.533,0.449,0.15,0.387,1.962,11.422,6.671,19.119,1.498,0.755,9.684,28.192,110.337,108.279,1.676
2014-15,34.227,6.682,16.212,0.412,6.258,14.758,0.424,0.424,1.455,0.292,5.682,6.833,0.831,0.697,3.879,4.576,3.53,1.197,0.167,2.227,2.03,19.47,12.73,1.242,0.507,0.425,0.09,0.35,2.466,13.084,7.805,17.606,1.823,0.406,10.531,28.662,101.266,109.141,-1.003
2015-16,35.149,7.634,17.574,0.434,7.129,15.941,0.447,0.505,1.634,0.309,6.485,7.683,0.844,0.762,3.515,4.277,3.653,1.02,0.238,2.178,2.168,22.257,14.816,0.95,0.531,0.449,0.093,0.369,2.545,11.511,7.108,20.009,1.519,0.535,9.739,30.193,109.286,109.143,1.597
2016-17,35.187,9.369,20.226,0.463,8.964,18.583,0.482,0.405,1.643,0.246,7.262,8.571,0.847,0.869,4.226,5.095,3.833,1.095,0.143,2.417,1.893,26.405,18.051,0.893,0.55,0.473,0.081,0.359,2.722,13.614,8.171,20.11,1.541,0.333,9.464,33.845,111.482,111.289,2.506
2017-18,33.327,7.957,17.522,0.454,6.88,14.022,0.491,1.076,3.5,0.307,5.478,6.652,0.824,0.707,3.109,3.815,4.967,0.978,0.304,2.152,1.902,22.467,16.098,4.054,0.549,0.485,0.2,0.313,2.429,10.474,6.516,24.898,1.471,0.737,9.801,29.716,112.044,110.633,2.101
2018-19,33.778,7.92,16.46,0.481,7.839,15.931,0.492,0.08,0.529,0.152,4.644,5.575,0.833,0.736,5.115,5.851,5.828,1.08,0.425,2.425,2.218,20.563,16.031,-0.264,0.544,0.484,0.032,0.282,2.382,16.042,9.318,27.058,1.565,1.106,11.873,27.904,110.69,110.988,1.36
2019-20,32.624,7.845,14.775,0.531,7.718,14.282,0.54,0.127,0.493,0.257,5.366,6.352,0.845,0.62,4.662,5.282,5.352,0.986,0.282,2.31,2.535,21.183,17.023,-1.662,0.603,0.535,0.033,0.363,1.954,15.519,8.681,25.912,1.437,0.769,11.8,26.449,119.176,114.882,1.938
2020-21,30.799,6.765,13.838,0.489,6.485,12.75,0.509,0.279,1.088,0.257,5.838,6.632,0.88,0.603,3.25,3.853,6.25,0.824,0.221,1.779,1.941,19.647,16.543,-1.706,0.586,0.499,0.079,0.422,1.992,11.395,6.589,31.139,1.337,0.584,9.752,25.932,121.548,116.758,2.7
2021-22,35.929,9.915,19.878,0.499,9.305,18.037,0.516,0.61,1.841,0.331,6.659,7.598,0.876,0.695,4.415,5.11,4.854,0.939,0.317,2.341,2.317,27.098,19.874,0.146,0.583,0.514,0.093,0.335,2.17,13.617,7.984,23.062,1.265,0.762,9.194,31.522,116.506,115.556,2.125
2022-23,35.855,8.779,17.416,0.504,8.182,15.532,0.527,0.597,1.883,0.317,6.065,6.974,0.87,0.481,4.117,4.597,5.052,1.091,0.494,2.026,2.494,24.221,18.699,0.753,0.591,0.521,0.108,0.348,1.487,12.792,7.267,22.708,1.501,1.232,9.521,27.872,117.908,114.618,1.666
2023-24,37.033,8.048,16.747,0.481,7.096,13.94,0.509,0.952,2.807,0.339,6.337,7.434,0.853,0.53,3.675,4.205,5.229,1.108,0.566,1.651,2.0,23.386,18.631,-0.675,0.584,0.509,0.168,0.378,1.559,11.214,6.344,21.883,1.496,1.514,7.468,25.874,123.37,119.654,1.641
