SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2013-14,8.874,0.864,1.886,0.458,0.864,1.886,0.458,0.0,0.0,0.0,0.477,0.727,0.656,0.864,2.023,2.886,0.114,0.159,0.5,0.409,1.5,2.205,1.92,-1.341,0.5,0.458,0.0,0.253,9.768,22.229,15.729,1.487,0.668,3.397,12.581,15.297,98.645,108.355,-5.487
2014-15,10.976,1.182,2.104,0.562,1.182,2.091,0.565,0.0,0.013,0.0,0.442,0.831,0.531,1.532,2.299,3.831,0.117,0.208,0.649,0.662,1.831,2.805,2.761,-0.195,0.568,0.562,0.006,0.21,14.376,23.378,18.659,1.675,1.386,4.895,19.073,13.79,99.661,103.186,-4.492
2015-16,8.702,1.222,2.185,0.559,1.222,2.185,0.559,0.0,0.0,0.0,0.704,0.938,0.75,0.827,1.988,2.815,0.16,0.272,0.568,0.395,1.346,3.148,3.037,-0.444,0.606,0.559,0.0,0.322,8.603,23.914,15.96,3.817,1.366,5.284,14.831,14.79,107.103,104.621,-0.331
2016-17,15.413,1.912,3.077,0.621,1.912,3.077,0.621,0.0,0.0,0.0,0.89,1.352,0.659,1.637,4.253,5.89,0.516,0.407,0.692,0.736,2.143,4.714,5.222,2.022,0.642,0.621,0.0,0.289,14.176,31.01,22.84,5.079,1.446,3.383,18.031,13.907,123.471,100.931,0.315
2017-18,23.73,3.846,7.338,0.524,3.077,5.169,0.595,0.769,2.169,0.355,1.031,1.323,0.779,1.538,5.985,7.523,1.385,0.615,0.785,1.323,2.492,9.492,8.463,-2.446,0.599,0.577,0.296,0.14,7.485,27.245,17.431,9.473,1.194,2.797,13.426,16.963,113.065,107.581,0.047
2018-19,24.381,3.924,7.97,0.492,2.667,4.682,0.57,1.258,3.288,0.382,1.394,1.712,0.814,1.591,5.682,7.273,1.364,1.045,1.076,1.273,3.242,10.5,9.365,-2.621,0.602,0.571,0.413,0.175,6.736,25.473,15.852,7.984,1.988,3.878,12.461,16.889,114.297,109.453,0.045
2019-20,13.573,1.789,4.474,0.4,1.404,2.596,0.541,0.386,1.877,0.206,0.526,0.632,0.833,1.053,3.316,4.368,0.386,0.439,0.719,1.0,2.333,4.491,3.044,-0.491,0.473,0.443,0.42,0.118,8.282,29.439,18.493,3.355,1.48,5.548,18.436,18.832,85.182,108.318,-6.839
2020-21,10.71,2.24,3.32,0.675,2.16,3.0,0.72,0.08,0.32,0.25,0.96,1.28,0.75,1.44,2.72,4.16,0.6,0.36,0.32,0.76,1.84,5.52,5.296,1.24,0.711,0.687,0.096,0.289,15.205,31.215,23.04,9.735,1.825,3.345,14.85,19.78,128.55,111.6,-0.245
2021-22,13.824,2.126,3.851,0.552,1.897,3.195,0.594,0.23,0.655,0.351,0.977,1.287,0.759,1.379,3.54,4.92,0.598,0.287,0.517,0.885,2.414,5.46,4.736,0.437,0.618,0.582,0.17,0.254,11.759,29.046,20.481,5.499,0.869,3.453,18.326,17.557,111.951,105.827,-3.144
2022-23,5.749,1.027,2.027,0.507,0.867,1.493,0.58,0.16,0.533,0.3,0.44,0.653,0.673,0.453,1.347,1.8,0.347,0.12,0.253,0.347,1.013,2.653,2.069,-1.707,0.573,0.546,0.263,0.217,8.379,28.677,18.038,8.521,0.979,3.882,15.197,19.923,104.872,107.821,-3.018
