SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,28.494,3.529,8.632,0.409,2.276,4.713,0.483,1.253,3.92,0.32,0.77,0.954,0.807,0.218,2.115,2.333,5.046,1.172,0.103,2.08,1.471,9.08,7.271,2.655,0.502,0.481,0.454,0.089,0.882,7.746,4.387,27.196,2.072,0.231,19.351,17.255,96.765,103.765,-1.056
2001-02,33.398,5.612,14.701,0.382,3.716,8.284,0.449,1.896,6.418,0.295,1.194,1.507,0.792,0.328,2.567,2.896,7.731,1.657,0.104,3.194,1.522,14.313,10.481,-4.851,0.466,0.446,0.437,0.081,1.095,8.471,4.829,40.346,2.546,0.234,17.58,25.166,93.6,108.123,-0.569
2002-03,30.834,4.269,11.013,0.388,2.436,5.833,0.418,1.833,5.179,0.354,1.41,1.679,0.84,0.321,2.397,2.718,8.09,1.167,0.128,2.154,1.667,11.782,10.715,-1.91,0.501,0.471,0.47,0.128,1.229,8.701,4.976,41.082,1.929,0.288,15.996,20.337,105.237,111.039,0.576
2003-04,29.1,3.961,9.857,0.402,2.325,4.857,0.479,1.636,5.0,0.327,1.156,1.364,0.848,0.338,1.688,2.026,6.623,1.221,0.065,1.857,1.39,10.714,9.548,-0.429,0.512,0.485,0.507,0.117,1.589,6.728,4.114,38.255,2.389,0.17,15.261,19.207,107.092,108.118,2.017
2004-05,27.182,3.868,9.171,0.422,2.329,4.553,0.512,1.539,4.618,0.333,1.079,1.355,0.796,0.263,1.461,1.724,5.526,1.066,0.066,1.816,1.289,10.355,8.643,0.487,0.53,0.506,0.504,0.118,1.105,6.803,3.969,34.424,2.135,0.167,16.556,20.141,105.04,109.12,0.972
2005-06,30.844,4.133,9.53,0.434,2.53,4.916,0.515,1.602,4.614,0.347,1.482,1.723,0.86,0.108,2.12,2.229,4.542,0.819,0.06,1.639,1.723,11.349,8.66,2.506,0.552,0.518,0.484,0.155,0.417,7.663,4.215,23.49,1.37,0.141,13.16,17.865,107.585,108.317,0.117
2006-07,29.07,3.559,8.779,0.405,2.015,4.191,0.481,1.544,4.588,0.337,1.441,1.588,0.907,0.265,1.926,2.191,4.941,0.926,0.029,1.515,1.074,10.103,8.547,0.162,0.533,0.493,0.523,0.164,1.054,7.712,4.442,27.329,1.778,0.062,15.386,18.043,106.723,108.8,-0.297
2007-08,26.947,3.014,7.857,0.384,1.629,3.929,0.415,1.386,3.929,0.353,0.986,1.143,0.862,0.171,1.686,1.857,4.386,1.186,0.071,1.3,1.329,8.4,7.143,-5.971,0.502,0.472,0.5,0.125,0.83,7.515,4.081,26.137,2.275,0.185,12.279,16.355,97.03,112.224,-1.633
2009-10,19.536,2.082,4.784,0.435,1.155,2.258,0.511,0.928,2.526,0.367,0.371,0.474,0.783,0.103,1.309,1.412,3.309,0.588,0.031,0.948,0.753,5.464,5.048,2.928,0.547,0.532,0.528,0.078,0.616,7.353,4.074,25.83,1.426,0.135,14.674,13.973,107.854,107.5,-0.126
2010-11,5.902,0.44,1.34,0.328,0.24,0.58,0.414,0.2,0.76,0.263,0.0,0.0,0.0,0.06,0.54,0.6,1.04,0.22,0.02,0.36,0.16,1.08,1.06,0.86,0.403,0.403,0.567,0.0,0.737,8.685,4.57,20.604,2.085,0.23,20.696,14.781,85.037,105.667,-5.544
