SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,13.882,1.195,2.552,0.468,1.172,2.471,0.474,0.023,0.08,0.286,0.563,1.069,0.527,1.69,2.92,4.609,0.402,0.448,0.356,0.644,1.839,2.977,3.125,0.483,0.493,0.473,0.032,0.221,13.223,25.031,19.32,4.409,1.48,1.855,15.881,11.711,89.253,99.08,-3.563
2001-02,21.167,2.091,4.625,0.452,2.045,4.409,0.464,0.045,0.216,0.211,1.307,2.17,0.602,2.398,4.193,6.591,0.875,0.841,0.443,1.0,2.784,5.534,5.374,-0.761,0.496,0.457,0.047,0.283,13.687,21.32,17.675,6.717,1.989,1.361,16.741,14.532,101.483,101.299,-1.894
2002-03,9.437,0.787,2.124,0.37,0.787,2.101,0.374,0.0,0.022,0.0,0.404,0.73,0.554,1.371,1.854,3.225,0.596,0.315,0.27,0.382,1.191,1.978,2.253,-0.652,0.404,0.37,0.011,0.19,14.571,19.151,17.346,8.646,1.978,2.105,11.559,13.62,81.566,98.723,-3.233
2003-04,22.86,2.242,4.091,0.548,2.242,4.04,0.555,0.0,0.051,0.0,1.121,1.657,0.677,2.949,4.273,7.222,0.768,0.848,0.323,0.737,2.283,5.606,6.733,4.455,0.582,0.548,0.012,0.274,14.991,22.111,18.599,5.434,2.227,1.093,13.239,11.211,117.092,95.061,1.044
2004-05,24.636,2.653,5.013,0.529,2.653,4.947,0.536,0.0,0.067,0.0,1.4,2.173,0.644,3.347,5.267,8.613,0.64,0.693,0.32,0.84,2.84,6.707,7.261,2.8,0.562,0.529,0.013,0.279,15.601,24.526,20.118,4.255,1.538,1.072,12.336,12.865,122.351,101.257,-0.097
2005-06,24.064,2.058,3.783,0.544,2.058,3.725,0.553,0.0,0.058,0.0,1.435,2.362,0.607,3.406,5.261,8.667,0.768,0.652,0.406,0.928,2.899,5.551,6.704,0.739,0.576,0.544,0.015,0.379,16.655,25.01,21.018,5.009,1.497,1.193,14.197,11.179,118.881,101.179,-0.357
2006-07,22.892,1.605,3.421,0.469,1.605,3.408,0.471,0.0,0.013,0.0,1.026,1.605,0.639,3.329,4.684,8.013,0.75,0.816,0.487,0.921,2.658,4.237,5.686,-0.882,0.513,0.469,0.004,0.3,16.02,23.901,19.92,5.196,1.831,1.623,18.452,9.724,114.453,102.387,-1.275
2007-08,23.842,2.595,4.722,0.55,2.595,4.684,0.554,0.0,0.038,0.0,1.089,1.835,0.593,3.342,5.114,8.456,1.633,0.709,0.405,0.785,2.797,6.278,7.818,-0.532,0.568,0.55,0.008,0.231,14.735,24.048,19.245,10.314,1.475,1.114,11.934,11.761,126.442,106.078,0.369
2008-09,24.371,2.36,4.707,0.501,2.333,4.613,0.506,0.027,0.093,0.286,1.28,1.947,0.658,2.867,3.907,6.773,1.733,0.707,0.653,1.173,3.053,6.027,6.571,1.24,0.542,0.504,0.02,0.272,12.272,18.284,15.28,10.38,1.465,2.057,17.343,11.924,114.865,108.324,-0.784
2009-10,14.988,1.294,2.706,0.478,1.294,2.647,0.489,0.0,0.059,0.0,0.294,0.529,0.556,2.0,2.765,4.765,1.235,0.176,0.235,0.824,2.647,2.882,2.965,-0.471,0.49,0.478,0.022,0.109,10.325,20.175,15.381,11.4,0.488,0.769,21.544,10.425,98.688,109.062,-4.844
2010-11,14.348,1.208,2.486,0.486,1.208,2.444,0.494,0.0,0.042,0.0,0.417,0.778,0.536,2.361,2.833,5.194,0.694,0.361,0.486,0.431,1.958,2.833,3.908,0.875,0.501,0.486,0.017,0.168,17.923,21.582,19.625,6.874,1.152,2.61,12.256,10.321,119.803,106.492,-0.711
2011-12,10.072,0.643,1.286,0.5,0.571,1.214,0.471,0.071,0.071,1.0,0.429,0.643,0.667,1.286,1.714,3.0,0.286,0.571,0.071,0.5,1.857,1.786,2.05,1.357,0.569,0.528,0.056,0.333,15.282,19.455,16.873,4.127,2.636,0.455,22.436,9.255,109.364,94.182,-2.118
