SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2009-10,8.267,1.032,2.638,0.391,0.936,2.245,0.417,0.096,0.394,0.243,0.436,0.521,0.837,0.053,0.681,0.734,1.34,0.394,0.128,0.574,0.904,2.596,1.854,-0.766,0.453,0.409,0.149,0.165,0.759,8.582,4.638,20.184,2.571,1.297,13.681,17.996,86.138,108.138,-5.512
2010-11,12.639,1.789,3.958,0.452,1.589,3.379,0.47,0.2,0.579,0.345,1.011,1.263,0.8,0.116,1.137,1.253,1.747,0.537,0.295,0.758,0.968,4.789,3.877,-0.989,0.531,0.477,0.146,0.255,1.133,9.951,5.522,22.687,2.136,1.555,14.746,20.785,92.795,108.397,-2.45
2011-12,32.978,4.795,10.205,0.47,4.0,7.932,0.504,0.795,2.274,0.349,2.151,2.795,0.77,0.342,2.137,2.479,4.74,1.521,0.575,1.973,2.233,12.534,10.307,3.11,0.548,0.509,0.223,0.211,1.169,7.586,4.347,23.76,2.418,1.324,14.335,19.101,106.625,102.806,1.183
2012-13,31.925,5.236,11.854,0.442,4.202,8.955,0.469,1.034,2.899,0.357,2.494,2.854,0.874,0.315,1.899,2.213,6.843,1.416,0.337,2.742,2.225,14.0,11.253,0.292,0.534,0.485,0.245,0.21,1.127,6.862,4.029,35.606,2.303,0.841,17.414,23.23,104.058,106.965,-0.234
2013-14,31.999,5.747,13.241,0.434,4.793,10.345,0.463,0.954,2.897,0.329,4.092,4.782,0.856,0.448,2.241,2.69,6.471,1.103,0.241,2.908,1.989,16.54,12.379,1.034,0.539,0.47,0.219,0.309,1.512,8.319,4.838,34.672,1.745,0.61,16.367,25.971,104.709,109.628,-0.324
2014-15,29.323,5.383,11.979,0.449,4.404,9.085,0.485,0.979,2.894,0.338,3.479,4.032,0.863,0.426,2.074,2.5,6.596,1.585,0.404,2.638,1.84,15.223,12.801,4.617,0.553,0.49,0.242,0.29,1.629,7.763,4.769,37.28,2.809,1.174,16.908,25.494,108.438,104.966,2.444
2015-16,28.148,5.333,12.322,0.433,4.011,8.878,0.452,1.322,3.444,0.384,3.389,4.044,0.838,0.4,2.189,2.589,5.911,1.144,0.289,2.7,2.189,15.378,11.469,0.667,0.545,0.486,0.28,0.275,1.604,8.22,5.055,34.724,2.03,0.873,16.635,26.619,104.101,105.27,0.626
2016-17,32.178,4.874,10.966,0.444,3.736,7.874,0.474,1.138,3.092,0.368,4.31,4.977,0.866,0.379,3.563,3.943,7.632,1.195,0.402,2.575,2.034,15.195,13.968,0.437,0.578,0.496,0.282,0.393,1.344,12.453,6.99,35.995,1.821,1.108,16.822,21.941,115.477,111.151,1.923
2017-18,29.338,4.488,10.06,0.446,3.405,7.131,0.477,1.083,2.929,0.37,2.548,3.048,0.836,0.321,2.381,2.702,6.202,1.25,0.298,2.274,2.262,12.607,10.721,0.988,0.553,0.5,0.291,0.253,1.216,9.453,5.347,30.097,2.155,0.932,17.453,20.86,109.493,113.76,0.056
2018-19,25.797,3.592,8.49,0.423,2.878,6.347,0.453,0.714,2.143,0.333,2.51,3.122,0.804,0.327,1.837,2.163,7.0,0.878,0.367,1.98,1.837,10.408,9.757,0.0,0.528,0.465,0.252,0.296,1.307,7.84,4.631,36.886,1.652,1.107,17.562,19.16,111.31,115.31,-0.738
2019-20,22.88,3.328,7.641,0.436,2.656,5.812,0.457,0.672,1.828,0.368,2.688,3.078,0.873,0.422,1.797,2.219,4.812,0.688,0.297,1.812,1.656,10.016,8.466,-2.656,0.557,0.48,0.239,0.352,2.002,8.385,5.122,30.012,1.353,1.122,17.168,19.661,111.136,117.695,-2.344
2020-21,11.882,1.467,3.5,0.419,1.011,2.467,0.41,0.456,1.033,0.441,1.089,1.289,0.845,0.189,0.878,1.067,1.611,0.411,0.133,0.778,0.722,4.478,3.496,0.133,0.55,0.484,0.295,0.311,1.849,8.118,4.965,16.099,1.43,1.1,18.173,16.577,93.915,117.549,-4.91
