SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2002-03,5.432,0.511,1.245,0.41,0.404,0.904,0.447,0.106,0.34,0.312,0.277,0.394,0.703,0.17,0.489,0.66,0.5,0.181,0.064,0.33,0.564,1.404,0.977,0.096,0.495,0.453,0.274,0.222,2.281,7.8,5.121,12.953,2.084,0.549,10.65,12.359,78.457,105.2,0.947
2003-04,19.612,1.988,5.136,0.387,1.37,3.321,0.413,0.617,1.815,0.34,0.877,1.136,0.772,0.469,1.951,2.42,1.654,0.765,0.198,0.951,1.506,5.469,3.988,-1.185,0.485,0.447,0.353,0.171,3.091,10.703,6.9,12.964,2.284,0.909,12.853,15.092,89.74,104.026,-1.627
2004-05,13.365,1.149,2.838,0.405,0.73,1.608,0.454,0.419,1.23,0.341,0.473,0.649,0.729,0.162,1.473,1.635,1.554,0.541,0.176,0.689,1.243,3.189,2.712,-1.189,0.511,0.479,0.433,0.167,1.2,11.723,6.355,17.028,2.145,0.875,15.173,11.705,94.95,105.633,-2.072
2005-06,24.812,2.639,6.277,0.42,2.325,5.229,0.445,0.313,1.048,0.299,1.867,2.41,0.775,0.578,2.072,2.651,2.687,0.88,0.157,1.506,2.145,7.458,5.435,-2.289,0.508,0.445,0.167,0.298,2.721,9.443,6.078,16.539,1.766,0.485,16.645,15.852,100.671,110.963,-3.583
2006-07,26.352,2.914,6.383,0.456,2.42,5.0,0.484,0.494,1.383,0.357,1.963,2.519,0.779,0.58,2.679,3.259,3.136,0.901,0.333,1.469,2.185,8.284,6.956,-2.296,0.553,0.495,0.217,0.308,2.423,12.462,7.439,18.549,1.705,0.962,17.596,15.089,102.658,108.949,-1.347
2007-08,30.326,4.59,9.627,0.477,4.12,8.181,0.504,0.47,1.446,0.325,2.578,3.133,0.823,0.916,3.289,4.205,2.506,1.12,0.373,2.048,2.06,12.229,8.996,-3.217,0.556,0.501,0.15,0.268,3.272,12.353,7.933,12.909,1.723,1.059,16.357,18.756,100.099,111.852,-2.059
2008-09,36.762,6.281,13.483,0.466,4.73,9.663,0.49,1.551,3.82,0.406,3.562,4.281,0.832,0.73,3.36,4.09,2.978,1.034,0.348,1.989,2.27,17.674,12.445,-5.596,0.575,0.523,0.283,0.264,2.233,10.598,6.399,14.055,1.473,0.692,11.507,21.495,111.0,115.907,-0.031
2009-10,34.939,5.404,12.36,0.437,4.034,8.629,0.467,1.371,3.73,0.367,3.146,3.742,0.841,0.472,2.854,3.326,2.82,1.225,0.337,1.517,2.079,15.326,10.871,1.494,0.547,0.493,0.302,0.255,1.41,9.097,5.281,13.865,1.778,0.712,8.994,20.12,108.58,106.227,1.193
2010-11,34.515,5.041,12.135,0.415,3.919,9.176,0.427,1.122,2.959,0.379,2.635,3.243,0.812,0.365,3.23,3.595,3.405,0.973,0.378,1.851,2.122,13.838,9.262,-0.77,0.51,0.462,0.244,0.217,1.266,11.163,6.088,17.007,1.485,0.888,12.34,21.1,98.877,105.425,-1.011
2011-12,26.592,3.0,7.34,0.409,2.298,4.957,0.464,0.702,2.383,0.295,0.617,0.957,0.644,0.426,2.426,2.851,1.979,0.787,0.149,0.957,1.638,7.319,4.934,-4.447,0.471,0.457,0.325,0.084,1.615,10.13,5.693,11.724,1.598,0.461,10.957,14.313,94.043,111.63,-3.974
2012-13,29.589,3.169,7.948,0.399,1.883,4.481,0.42,1.286,3.468,0.371,1.104,1.429,0.773,0.429,2.26,2.688,2.935,0.662,0.325,1.104,1.857,8.727,6.377,-0.481,0.509,0.48,0.436,0.139,1.6,8.896,5.149,14.637,1.282,0.966,11.55,14.622,99.368,115.882,-2.854
2013-14,20.719,1.782,4.943,0.36,1.034,2.931,0.353,0.747,2.011,0.371,0.471,0.609,0.774,0.23,1.713,1.943,1.747,0.563,0.218,0.632,1.529,4.782,3.349,-0.632,0.459,0.436,0.407,0.095,1.363,9.785,5.586,12.487,1.371,0.783,11.738,12.755,88.714,109.048,-2.788
2014-15,5.394,0.32,0.96,0.333,0.16,0.44,0.364,0.16,0.52,0.308,0.04,0.08,0.5,0.08,0.34,0.42,0.26,0.18,0.08,0.1,0.5,0.84,0.556,-1.26,0.422,0.417,0.542,0.042,1.676,5.686,3.505,6.086,1.39,1.043,10.314,8.433,87.571,114.143,-5.538
