SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2003-04,22.898,2.346,5.821,0.403,1.487,3.423,0.434,0.859,2.397,0.358,0.833,1.321,0.631,1.359,2.705,4.064,1.256,0.59,0.128,0.962,1.641,6.385,4.758,-4.321,0.499,0.477,0.412,0.143,7.119,12.519,9.759,8.337,1.249,0.367,13.197,14.773,91.466,113.918,-4.056
2004-05,23.941,3.493,9.173,0.381,2.733,6.867,0.398,0.76,2.307,0.329,1.773,2.44,0.727,1.013,2.0,3.013,1.8,0.907,0.107,1.627,2.227,9.52,5.263,-3.533,0.465,0.422,0.251,0.193,4.797,9.949,7.234,12.624,1.859,0.328,13.943,22.581,88.784,110.676,-4.915
2005-06,25.499,2.867,7.253,0.395,2.0,4.587,0.436,0.867,2.667,0.325,1.693,2.48,0.683,0.733,2.667,3.4,1.707,0.947,0.12,1.2,2.227,8.293,5.496,-2.76,0.497,0.455,0.368,0.233,3.425,11.607,7.472,10.167,1.96,0.35,12.419,17.919,94.625,107.097,-2.513
2006-07,12.371,1.238,3.062,0.404,0.575,1.35,0.426,0.662,1.712,0.387,0.588,0.788,0.746,0.2,0.962,1.162,0.738,0.35,0.025,0.575,1.225,3.725,2.244,0.612,0.546,0.512,0.559,0.192,2.254,9.839,6.09,8.475,1.617,0.147,13.403,16.19,99.102,108.441,-3.044
2007-08,26.778,2.86,7.054,0.405,1.108,2.172,0.51,1.753,4.882,0.359,0.957,1.301,0.736,0.495,2.817,3.312,1.237,0.677,0.108,0.645,2.043,8.43,5.846,3.398,0.553,0.53,0.692,0.136,2.093,11.275,6.9,6.892,1.379,0.299,6.929,14.237,113.163,108.391,-0.007
2008-09,17.426,1.63,4.438,0.367,0.616,1.452,0.425,1.014,2.986,0.339,0.712,0.781,0.912,0.425,2.342,2.767,0.877,0.589,0.055,0.562,1.438,4.986,3.608,1.151,0.521,0.481,0.673,0.16,2.865,16.598,9.508,7.655,1.726,0.289,10.575,13.912,98.969,106.492,-1.748
2009-10,17.359,1.312,3.312,0.396,0.548,1.14,0.481,0.763,2.172,0.351,0.398,0.538,0.74,0.28,1.677,1.957,1.043,0.505,0.14,0.591,1.774,3.785,2.667,0.237,0.533,0.511,0.656,0.12,1.783,10.354,6.192,7.374,1.48,0.597,12.578,10.182,86.414,107.448,-2.822
2010-11,17.864,1.535,3.798,0.404,0.374,0.808,0.462,1.162,2.99,0.389,0.222,0.364,0.611,0.232,1.465,1.697,1.141,0.485,0.121,0.485,1.404,4.455,3.278,1.949,0.563,0.557,0.787,0.059,1.521,9.105,5.471,9.346,1.343,0.479,11.136,11.473,108.49,104.704,-0.642
2011-12,15.607,1.333,3.5,0.381,0.833,1.5,0.556,0.5,2.0,0.25,0.333,0.833,0.4,0.833,1.0,1.833,0.5,0.333,0.0,0.5,2.5,3.5,1.45,-8.0,0.453,0.452,0.571,0.095,5.76,7.56,6.6,4.82,1.22,0.0,9.32,13.4,121.8,121.2,-8.44
2012-13,16.447,1.241,3.276,0.379,0.276,0.448,0.615,0.966,2.828,0.341,0.126,0.195,0.647,0.184,1.218,1.402,0.897,0.322,0.046,0.575,1.276,3.575,2.141,-0.368,0.532,0.526,0.863,0.039,1.066,8.997,5.009,8.225,0.932,0.174,15.072,10.805,89.632,111.5,-4.029
2013-14,1.578,0.086,0.171,0.5,0.0,0.0,0.0,0.086,0.171,0.5,0.086,0.086,1.0,0.0,0.086,0.086,0.086,0.029,0.0,0.029,0.057,0.343,0.32,-0.171,0.82,0.75,1.0,0.5,0.0,5.25,2.633,5.783,0.667,0.0,16.667,8.0,79.0,115.0,-6.717
