SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2005-06,15.287,1.986,4.971,0.399,1.057,2.371,0.446,0.929,2.6,0.357,0.871,1.014,0.859,0.414,1.443,1.857,0.486,0.3,0.2,0.614,1.286,5.771,3.403,-3.557,0.533,0.493,0.523,0.175,2.393,10.787,6.382,4.679,0.884,1.07,9.656,18.007,90.344,117.951,-3.561
2006-07,21.198,2.349,5.928,0.396,1.253,2.916,0.43,1.096,3.012,0.364,1.12,1.59,0.705,0.518,2.373,2.892,0.627,0.422,0.229,0.916,1.518,6.916,4.09,-1.783,0.522,0.489,0.508,0.189,2.648,14.887,8.607,5.057,1.066,0.834,12.63,16.923,93.61,112.427,-3.728
2007-08,27.693,3.597,8.519,0.422,2.0,4.403,0.454,1.597,4.117,0.388,1.584,2.156,0.735,0.701,3.143,3.844,1.169,0.545,0.364,1.078,2.065,10.377,6.771,-1.13,0.548,0.516,0.483,0.186,3.133,12.915,8.047,7.135,1.096,0.924,11.56,18.075,102.907,110.56,-0.824
2008-09,2.625,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35,-3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,121.0,-14.2
2009-10,24.236,3.157,7.764,0.407,1.708,3.843,0.444,1.449,3.921,0.37,1.528,1.944,0.786,0.607,2.697,3.303,0.742,0.562,0.483,0.708,1.865,9.292,6.153,0.831,0.539,0.5,0.505,0.197,2.716,13.892,8.233,4.76,1.184,1.707,7.909,17.989,96.761,109.534,-1.967
2010-11,22.337,3.102,6.939,0.447,1.98,4.245,0.466,1.122,2.694,0.417,1.918,2.49,0.77,0.735,2.265,3.0,1.082,0.571,0.184,1.184,2.061,9.245,6.043,-5.122,0.575,0.528,0.388,0.276,3.833,11.654,7.648,7.846,1.174,0.754,15.207,17.426,107.196,113.543,-2.026
2011-12,23.257,2.347,5.551,0.423,1.592,3.327,0.479,0.755,2.224,0.339,1.163,1.469,0.792,0.857,2.571,3.429,0.816,0.633,0.347,0.939,1.755,6.612,4.72,-1.673,0.533,0.491,0.401,0.21,3.781,12.617,8.068,5.074,1.338,0.96,13.645,14.326,103.851,110.34,-1.743
2012-13,27.849,3.557,8.051,0.442,1.797,3.886,0.463,1.759,4.165,0.422,2.127,2.506,0.848,0.671,3.051,3.722,1.81,0.62,0.215,1.139,2.101,11.0,8.078,-0.367,0.601,0.551,0.517,0.264,2.691,12.572,7.53,10.771,1.224,0.625,11.805,16.988,110.789,105.842,0.084
2013-14,25.57,2.924,6.826,0.428,1.272,2.5,0.509,1.652,4.326,0.382,1.207,1.457,0.828,0.457,2.228,2.685,1.109,0.489,0.217,0.674,1.783,8.707,6.016,-0.228,0.583,0.549,0.634,0.177,2.004,9.933,5.88,6.187,1.007,0.67,8.021,14.392,109.629,108.809,-1.265
2014-15,5.739,0.403,1.5,0.269,0.242,0.79,0.306,0.161,0.71,0.227,0.774,1.032,0.75,0.161,0.581,0.742,0.274,0.113,0.016,0.355,0.387,1.742,0.844,-2.161,0.446,0.323,0.473,0.516,4.933,13.661,9.664,6.764,0.788,0.148,14.77,19.697,74.152,108.545,-7.527
