SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2012-13,23.778,3.133,6.795,0.461,2.747,5.386,0.51,0.386,1.41,0.274,0.88,1.542,0.57,1.47,2.566,4.036,0.602,1.06,0.747,0.831,1.735,7.53,6.04,-5.651,0.504,0.489,0.207,0.129,6.497,12.921,9.741,3.88,2.189,2.643,10.055,14.754,99.0,107.829,-1.157
2013-14,23.489,2.699,5.819,0.464,1.988,3.964,0.502,0.711,1.855,0.383,1.024,1.723,0.594,0.831,2.349,3.181,0.964,1.169,0.602,1.036,1.687,7.133,5.7,-3.663,0.542,0.525,0.319,0.176,3.782,11.32,7.49,6.036,2.614,2.23,13.375,14.775,95.1,106.675,-0.831
2014-15,9.236,0.863,2.164,0.399,0.726,1.397,0.52,0.137,0.767,0.179,0.301,0.562,0.537,0.521,0.932,1.452,0.342,0.438,0.123,0.37,0.904,2.164,1.567,-1.233,0.449,0.43,0.354,0.139,5.902,11.678,8.927,4.887,2.38,0.889,14.371,12.942,84.289,109.844,-4.84
2015-16,18.391,2.574,5.543,0.464,2.0,3.585,0.558,0.574,1.957,0.293,0.862,1.447,0.596,1.309,2.266,3.574,0.787,0.628,0.404,0.777,1.723,6.585,5.093,0.011,0.533,0.516,0.353,0.155,6.511,13.951,10.138,6.528,1.642,1.606,13.575,16.162,98.483,109.191,-1.952
2016-17,27.322,3.812,7.741,0.492,2.988,5.318,0.562,0.824,2.424,0.34,0.988,1.553,0.636,1.553,2.612,4.165,1.071,1.059,0.882,1.024,2.682,9.435,7.515,-0.059,0.56,0.546,0.313,0.128,6.152,10.043,8.138,6.064,1.949,2.593,10.969,15.053,106.667,111.444,-1.12
2017-18,18.556,2.169,4.366,0.497,1.451,2.62,0.554,0.718,1.746,0.411,0.592,0.831,0.712,0.69,1.704,2.394,0.803,0.676,0.62,0.577,1.507,5.648,4.849,-0.014,0.597,0.579,0.4,0.135,3.498,9.018,6.308,6.18,1.844,2.682,12.202,11.793,104.033,108.557,0.002
2018-19,22.257,2.975,6.136,0.485,2.481,4.309,0.576,0.494,1.827,0.27,0.889,1.346,0.661,1.309,2.975,4.284,1.198,1.049,0.852,0.765,2.704,7.333,6.491,2.506,0.545,0.525,0.298,0.145,6.061,13.675,9.946,7.301,2.343,2.961,9.922,13.887,111.592,109.566,0.178
2019-20,22.293,2.219,4.422,0.502,1.688,2.891,0.584,0.531,1.531,0.347,0.609,1.031,0.591,0.859,2.891,3.75,1.062,0.906,0.516,0.828,2.312,5.578,4.928,0.328,0.572,0.562,0.346,0.138,3.898,13.179,8.553,6.013,1.89,2.09,14.75,10.377,106.048,108.484,-1.274
2020-21,13.082,1.169,2.797,0.418,0.78,1.373,0.568,0.39,1.424,0.274,0.559,0.729,0.767,0.22,1.288,1.508,0.746,0.508,0.339,0.373,1.458,3.288,2.583,-0.746,0.527,0.488,0.509,0.2,1.676,9.962,5.754,7.37,1.446,2.443,10.962,10.822,99.757,115.892,-5.165
2021-22,11.511,1.107,2.413,0.459,0.693,1.067,0.65,0.413,1.347,0.307,0.267,0.373,0.714,0.16,1.333,1.493,0.307,0.387,0.32,0.413,1.027,2.893,2.117,-1.2,0.561,0.544,0.558,0.11,1.428,12.843,7.221,3.183,1.485,2.328,16.149,10.936,80.043,116.787,-4.968
