SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,13.874,1.59,3.229,0.493,1.59,3.217,0.494,0.0,0.012,0.0,1.145,1.566,0.731,1.458,2.349,3.807,0.398,0.289,0.735,0.892,2.434,4.325,3.475,-0.928,0.552,0.493,0.004,0.354,11.125,17.798,14.425,4.653,1.151,3.389,19.363,15.162,95.531,101.074,-3.688
2001-02,2.702,0.367,0.772,0.475,0.354,0.747,0.475,0.013,0.025,0.5,0.253,0.329,0.769,0.278,0.392,0.671,0.139,0.089,0.114,0.177,0.443,1.0,0.8,0.101,0.545,0.484,0.033,0.328,9.641,16.876,13.728,-27.041,1.297,2.166,18.569,19.493,110.276,105.103,-1.572
2002-03,2.368,0.278,0.722,0.385,0.278,0.722,0.385,0.0,0.0,0.0,0.444,0.556,0.8,0.333,0.111,0.444,0.167,0.0,0.222,0.111,0.389,1.0,0.833,-0.833,0.517,0.385,0.0,0.615,12.112,1.65,6.862,8.638,0.0,6.575,7.412,17.188,87.875,104.375,4.25
2003-04,10.122,1.282,2.538,0.505,1.282,2.538,0.505,0.0,0.0,0.0,0.769,0.897,0.857,0.744,1.41,2.154,0.487,0.179,0.333,0.564,1.667,3.333,2.485,-0.333,0.568,0.505,0.0,0.303,10.247,15.978,13.125,6.781,0.7,2.022,17.969,17.647,85.406,102.875,-7.025
2004-05,14.657,1.8,3.588,0.502,1.788,3.525,0.507,0.012,0.062,0.2,1.338,1.7,0.787,1.212,1.862,3.075,0.588,0.238,0.4,0.788,2.162,4.95,3.698,-1.075,0.571,0.503,0.017,0.373,9.111,15.015,12.254,6.395,0.973,1.922,16.665,16.627,99.703,108.824,-5.441
2005-06,8.576,0.794,1.824,0.435,0.794,1.794,0.443,0.0,0.029,0.0,0.676,0.912,0.742,0.647,1.265,1.912,0.397,0.103,0.221,0.588,1.353,2.265,1.45,-0.118,0.509,0.435,0.016,0.371,9.296,16.655,12.917,6.696,0.534,1.794,16.345,14.128,89.447,116.872,-5.764
2006-07,26.114,3.832,6.379,0.601,3.832,6.368,0.602,0.0,0.011,0.0,1.926,2.779,0.693,1.768,3.179,4.947,0.926,0.589,0.705,1.4,3.242,9.589,7.542,1.0,0.631,0.601,0.002,0.302,8.43,15.037,11.804,5.99,1.101,2.22,17.087,16.112,111.703,106.121,-1.929
2007-08,28.737,3.398,5.892,0.577,3.398,5.867,0.579,0.0,0.024,0.0,1.614,2.193,0.736,1.928,4.024,5.952,1.012,0.422,0.554,1.325,3.735,8.41,6.669,-1.289,0.613,0.577,0.004,0.274,8.001,16.227,12.238,5.304,0.762,1.45,16.785,12.722,113.89,112.0,-2.705
2008-09,13.927,1.308,2.374,0.551,1.308,2.374,0.551,0.0,0.0,0.0,0.582,0.736,0.791,0.901,2.099,3.0,0.626,0.209,0.264,0.538,2.407,3.198,2.589,-1.692,0.593,0.551,0.0,0.245,8.768,18.664,13.698,6.438,0.691,1.496,14.879,11.284,108.0,112.112,-3.52
2009-10,16.23,2.16,3.6,0.6,2.16,3.6,0.6,0.0,0.0,0.0,0.28,0.44,0.636,1.04,1.72,2.76,1.44,0.2,0.52,0.84,2.4,4.6,3.896,-5.2,0.606,0.6,0.0,0.078,7.213,12.135,9.704,16.022,0.487,2.117,16.974,12.909,116.043,113.87,-1.909
2011-12,14.716,1.125,2.5,0.45,1.125,2.5,0.45,0.0,0.0,0.0,0.75,0.875,0.857,0.875,1.875,2.75,0.625,0.375,0.375,0.875,3.0,3.0,1.825,-2.0,0.52,0.45,0.0,0.3,8.0,14.243,11.071,6.071,0.857,1.386,20.743,12.114,83.429,108.571,-7.871
