SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2012-13,17.888,2.098,4.98,0.421,1.235,2.627,0.47,0.863,2.353,0.367,0.804,0.941,0.854,1.098,1.686,2.784,2.627,0.863,0.49,0.98,2.098,5.863,5.661,2.569,0.543,0.508,0.472,0.161,6.489,9.326,7.974,23.728,2.919,2.017,14.104,18.817,121.106,106.043,4.138
2013-14,30.046,3.354,8.169,0.411,1.831,3.908,0.469,1.523,4.262,0.357,1.385,1.723,0.804,1.308,2.092,3.4,2.492,1.231,0.385,1.077,3.0,9.615,7.614,4.415,0.539,0.504,0.522,0.169,4.918,7.295,6.208,12.392,1.935,0.889,10.69,15.063,113.871,108.774,0.521
2014-15,29.771,3.517,9.172,0.383,1.534,3.603,0.426,1.983,5.569,0.356,0.776,1.034,0.75,1.155,2.931,4.086,3.31,1.017,0.397,1.431,3.138,9.793,7.29,1.19,0.509,0.492,0.607,0.085,4.429,10.889,7.561,16.83,1.718,1.009,13.345,16.309,106.768,106.911,0.171
2015-16,27.812,3.436,8.09,0.425,1.808,3.936,0.459,1.628,4.154,0.392,0.846,1.205,0.702,0.987,2.5,3.487,3.205,1.231,0.359,1.218,3.218,9.346,7.576,1.308,0.542,0.525,0.513,0.105,3.905,10.124,6.903,16.974,2.136,1.066,12.241,15.475,110.092,111.329,-0.895
2016-17,29.416,3.37,8.049,0.419,1.753,3.852,0.455,1.617,4.198,0.385,1.037,1.346,0.771,1.432,4.173,5.605,3.877,1.42,0.333,1.457,3.21,9.395,8.865,4.481,0.544,0.519,0.521,0.129,5.176,15.035,10.067,18.374,2.332,0.906,14.167,14.841,113.218,108.936,1.213
2017-18,27.796,4.0,9.917,0.403,2.0,4.917,0.407,2.0,5.0,0.4,1.167,1.417,0.824,1.333,2.417,3.75,2.667,1.583,0.417,2.083,2.833,11.167,7.908,2.083,0.53,0.504,0.504,0.118,4.591,10.482,7.427,15.373,2.9,1.364,15.609,19.445,105.455,107.818,0.709
2018-19,27.428,2.518,6.165,0.408,1.047,2.494,0.42,1.471,3.671,0.401,1.2,1.541,0.779,0.988,4.141,5.129,3.859,0.859,0.576,1.118,3.365,7.706,7.695,1.094,0.563,0.528,0.595,0.195,3.794,15.312,9.681,18.407,1.42,1.689,14.133,12.495,118.429,112.238,0.389
2019-20,25.134,2.783,6.333,0.439,1.317,2.533,0.52,1.467,3.8,0.386,0.55,0.85,0.647,1.1,3.883,4.983,3.367,1.033,0.467,1.217,3.117,7.583,7.332,4.867,0.565,0.555,0.6,0.087,4.525,15.961,10.359,17.971,1.795,1.51,15.38,13.702,116.932,106.644,2.124
2020-21,18.637,1.968,4.645,0.424,0.855,1.774,0.482,1.113,2.871,0.388,0.774,0.952,0.814,0.645,1.935,2.581,1.613,0.661,0.645,0.613,2.306,5.823,5.026,2.371,0.575,0.543,0.618,0.167,3.383,11.302,7.515,11.528,1.706,3.361,9.65,14.367,111.593,112.907,0.193
2021-22,25.033,2.941,7.25,0.406,1.574,3.235,0.486,1.368,4.015,0.341,1.662,2.338,0.711,1.029,2.941,3.971,4.412,1.103,0.882,1.279,3.015,8.912,8.669,1.206,0.538,0.5,0.554,0.229,4.095,12.408,8.228,24.322,2.232,3.294,13.077,16.662,115.969,110.646,2.822
2022-23,26.698,2.071,5.271,0.393,0.914,1.757,0.52,1.157,3.514,0.329,0.671,0.929,0.723,0.643,2.957,3.6,2.843,0.914,0.6,0.871,2.786,5.971,5.683,-1.171,0.526,0.503,0.667,0.127,2.632,12.141,7.543,13.249,1.61,2.013,13.232,10.862,110.522,114.826,-1.412
2023-24,20.899,2.175,5.225,0.416,1.362,2.825,0.482,0.812,2.4,0.339,1.088,1.312,0.829,0.662,2.575,3.238,3.062,0.612,0.438,0.888,1.8,6.25,6.064,-0.788,0.539,0.494,0.459,0.208,3.729,13.656,8.644,19.062,1.4,1.868,12.776,14.132,112.532,116.203,-1.633
