SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2010-11,18.887,2.554,5.784,0.442,1.959,3.743,0.523,0.595,2.041,0.291,1.135,1.473,0.771,0.568,2.797,3.365,0.946,0.932,0.486,1.041,1.865,6.838,5.061,-0.5,0.532,0.493,0.353,0.196,3.433,16.312,9.908,7.277,2.868,1.703,14.762,17.647,98.409,104.439,-0.186
2011-12,29.854,4.077,9.41,0.433,2.782,5.885,0.473,1.295,3.526,0.367,2.154,2.692,0.8,0.91,4.769,5.679,2.359,1.615,0.538,1.769,2.859,11.603,9.229,3.936,0.548,0.502,0.375,0.229,3.41,18.349,10.896,13.587,2.903,1.526,14.516,19.006,106.792,100.299,3.008
2012-13,37.893,6.182,14.677,0.421,4.121,8.889,0.464,2.061,5.788,0.356,3.172,4.061,0.781,1.051,6.465,7.515,4.273,1.697,0.606,3.111,3.02,17.596,12.907,4.131,0.534,0.491,0.394,0.216,3.104,18.812,11.21,20.503,2.379,1.184,16.181,23.874,101.776,98.735,3.595
2013-14,36.075,7.01,16.441,0.426,4.716,10.275,0.459,2.294,6.167,0.372,4.922,5.804,0.848,0.755,5.98,6.735,3.49,1.882,0.284,2.676,2.49,21.235,15.352,3.892,0.559,0.496,0.375,0.299,2.432,18.382,10.683,17.923,2.738,0.614,12.606,28.091,107.354,98.758,4.953
2014-15,12.99,2.571,7.0,0.367,1.286,3.857,0.333,1.286,3.143,0.409,1.143,1.571,0.727,0.571,2.571,3.143,0.857,0.714,0.143,1.714,1.571,7.571,3.771,2.143,0.492,0.459,0.449,0.163,5.767,20.367,13.117,13.15,2.8,0.683,18.933,33.267,86.5,97.333,-2.35
2015-16,34.381,7.344,17.467,0.42,4.811,10.7,0.45,2.533,6.767,0.374,5.722,6.578,0.87,0.978,5.867,6.844,3.989,1.844,0.378,3.2,2.822,22.944,16.33,2.511,0.563,0.493,0.387,0.328,3.164,18.509,10.877,20.66,2.693,0.923,13.742,30.527,106.955,101.511,5.128
2016-17,35.321,8.099,17.728,0.457,5.469,11.086,0.493,2.63,6.642,0.396,4.469,4.988,0.896,0.778,5.728,6.506,3.457,1.556,0.358,2.877,2.704,23.296,16.449,1.753,0.585,0.531,0.375,0.252,2.505,17.963,10.297,16.718,2.218,0.87,12.873,29.089,108.734,108.81,3.049
2017-18,36.534,7.267,16.977,0.428,4.209,9.291,0.453,3.058,7.686,0.398,4.291,5.198,0.826,0.884,4.733,5.616,3.244,1.965,0.5,2.744,2.907,21.884,15.262,2.349,0.568,0.518,0.453,0.253,2.468,14.704,8.422,14.187,2.688,1.268,12.414,26.107,109.188,107.247,2.699
2018-19,35.41,8.733,19.942,0.438,5.163,10.593,0.487,3.57,9.349,0.382,5.733,6.849,0.837,1.291,6.512,7.802,3.907,2.058,0.407,2.628,2.733,26.767,20.069,5.791,0.583,0.527,0.469,0.287,3.534,19.602,11.357,17.871,2.756,0.996,10.484,29.582,115.829,105.659,6.928
2019-20,29.651,6.734,15.672,0.43,3.703,7.984,0.464,3.031,7.688,0.394,3.75,4.25,0.882,0.594,4.891,5.484,3.656,1.359,0.422,2.578,2.531,20.25,14.28,4.484,0.577,0.526,0.491,0.239,2.133,17.179,9.795,20.249,2.208,1.269,12.695,29.305,108.787,107.738,3.957
2020-21,32.877,7.722,16.797,0.46,4.911,9.608,0.511,2.81,7.19,0.391,4.152,4.835,0.859,0.785,6.076,6.861,4.835,1.025,0.43,3.114,2.418,22.405,16.465,6.392,0.592,0.543,0.428,0.247,2.797,20.471,11.832,24.299,1.585,1.305,14.279,30.575,113.384,111.945,3.662
2021-22,32.896,8.176,19.412,0.421,5.324,11.5,0.463,2.853,7.912,0.361,3.971,4.676,0.849,0.353,6.118,6.471,5.324,2.059,0.382,3.794,2.294,23.176,16.0,2.559,0.54,0.495,0.408,0.205,1.212,19.006,10.278,29.338,3.166,1.066,14.913,34.044,101.344,102.219,3.828
2022-23,34.017,8.053,17.614,0.457,5.281,10.14,0.521,2.772,7.474,0.371,4.491,5.158,0.871,0.789,5.211,6.0,5.053,1.456,0.351,3.088,2.789,23.368,17.144,2.754,0.588,0.536,0.424,0.255,2.648,17.116,10.032,24.679,2.109,0.855,13.254,30.111,111.893,113.179,2.705
2023-24,33.631,7.667,16.432,0.467,4.444,8.568,0.519,3.222,7.864,0.41,3.519,3.901,0.902,0.494,4.802,5.296,3.593,1.481,0.494,2.062,2.765,22.074,16.446,5.358,0.608,0.565,0.479,0.214,1.765,15.718,8.985,16.696,2.285,1.421,10.288,26.82,118.2,115.012,3.397
