SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2006-07,22.639,3.614,8.325,0.434,2.795,6.096,0.458,0.819,2.229,0.368,1.976,2.313,0.854,0.59,2.036,2.627,2.795,0.639,0.253,1.831,2.217,10.024,6.586,-2.0,0.536,0.483,0.268,0.237,2.944,10.407,6.785,19.957,1.544,0.846,17.067,23.011,95.378,109.902,-2.518
2007-08,31.469,4.95,11.55,0.429,3.425,7.85,0.436,1.525,3.7,0.412,1.325,1.625,0.815,0.325,2.875,3.2,4.1,0.9,0.075,1.975,2.55,12.75,8.442,-3.575,0.52,0.495,0.32,0.115,1.115,10.928,5.954,19.344,1.479,0.164,15.533,21.018,99.205,114.154,-2.985
2008-09,34.643,5.542,13.625,0.407,4.0,9.347,0.428,1.542,4.278,0.36,3.194,3.778,0.846,0.472,2.5,2.972,4.208,1.0,0.361,2.083,2.792,15.819,10.344,-2.875,0.517,0.463,0.314,0.234,1.49,8.996,5.013,20.566,1.5,0.767,12.201,22.634,104.743,114.686,-0.907
2009-10,23.156,3.556,8.597,0.414,2.681,6.069,0.442,0.875,2.528,0.346,1.792,2.014,0.89,0.222,1.583,1.806,3.167,0.458,0.139,1.306,1.708,9.778,6.507,-3.319,0.516,0.464,0.294,0.208,1.107,7.233,4.097,19.484,1.069,0.373,13.829,20.963,96.343,113.7,-3.513
2010-11,23.866,3.169,8.169,0.388,2.077,4.831,0.43,1.092,3.338,0.327,2.046,2.292,0.893,0.2,1.385,1.585,2.615,0.723,0.323,1.462,1.877,9.477,6.051,-3.015,0.516,0.455,0.409,0.25,0.948,6.446,3.727,17.0,1.375,1.122,12.865,19.963,101.841,113.429,-2.838
2011-12,25.292,3.654,9.205,0.397,1.846,4.577,0.403,1.808,4.628,0.391,1.077,1.256,0.857,0.372,1.679,2.051,2.09,0.667,0.346,1.09,1.91,10.192,6.421,-0.269,0.522,0.495,0.503,0.117,1.639,8.045,4.841,13.222,1.328,1.117,9.993,19.713,105.461,110.289,-1.092
2012-13,27.096,3.53,8.892,0.397,1.386,3.663,0.378,2.145,5.229,0.41,1.422,1.735,0.819,0.205,1.325,1.53,2.012,0.795,0.325,1.108,2.289,10.627,6.637,-1.036,0.55,0.518,0.588,0.16,0.933,5.956,3.389,11.477,1.567,0.938,9.83,18.22,105.829,111.488,-1.284
2013-14,30.305,4.402,10.671,0.413,2.098,4.598,0.456,2.305,6.073,0.38,1.915,2.256,0.849,0.439,2.39,2.829,3.5,0.817,0.476,1.768,2.5,13.024,9.035,-1.5,0.558,0.521,0.569,0.179,1.502,8.385,4.972,16.91,1.338,1.235,12.402,18.819,106.914,111.407,-0.112
2014-15,19.755,2.691,7.309,0.368,0.982,2.527,0.388,1.709,4.782,0.357,0.818,1.0,0.818,0.164,1.382,1.545,2.164,0.618,0.2,1.091,1.764,7.909,4.802,-1.818,0.51,0.485,0.654,0.112,0.616,6.928,3.686,16.014,1.412,0.95,12.486,19.202,91.92,112.74,-3.394
2015-16,18.132,1.812,5.178,0.35,0.99,2.446,0.405,0.822,2.733,0.301,0.644,0.772,0.833,0.257,1.485,1.743,1.723,0.406,0.317,0.96,1.475,5.089,3.047,0.178,0.461,0.429,0.528,0.124,1.53,9.18,5.414,13.546,1.063,1.367,15.1,15.127,86.639,111.495,-4.223
2016-17,16.466,1.513,4.167,0.363,0.654,1.564,0.418,0.859,2.603,0.33,0.692,0.808,0.857,0.115,1.872,1.987,1.731,0.449,0.115,1.026,1.269,4.577,3.069,-2.628,0.506,0.466,0.625,0.166,0.733,12.325,6.57,15.077,1.457,0.514,17.739,14.235,91.087,114.043,-4.532
