SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2002-03,18.501,0.892,1.892,0.471,0.892,1.892,0.471,0.0,0.0,0.0,1.081,2.081,0.519,2.257,3.757,6.014,0.459,0.514,0.149,0.703,2.338,2.865,3.505,-0.149,0.51,0.471,0.0,0.571,13.013,22.684,17.725,4.082,1.322,0.631,17.779,9.23,103.343,102.761,-3.407
2003-04,15.878,0.827,2.037,0.406,0.827,2.0,0.414,0.0,0.037,0.0,1.025,1.827,0.561,1.926,3.111,5.037,0.407,0.667,0.123,0.802,2.173,2.679,2.911,-1.296,0.471,0.406,0.018,0.503,14.176,22.469,18.385,3.635,1.945,0.516,21.019,11.123,100.867,106.187,-5.521
2004-05,22.949,1.604,3.429,0.468,1.604,3.407,0.471,0.0,0.022,0.0,1.495,2.802,0.533,3.088,5.89,8.978,0.692,0.692,0.198,1.264,2.571,4.703,5.374,0.11,0.504,0.468,0.006,0.436,16.407,30.873,23.696,4.521,1.593,0.689,23.122,12.133,102.989,105.767,-1.44
2005-06,17.4,1.595,3.274,0.487,1.595,3.238,0.493,0.0,0.036,0.0,1.524,2.798,0.545,2.131,4.119,6.25,0.452,0.5,0.131,1.083,2.107,4.714,4.261,-2.667,0.523,0.487,0.011,0.465,13.879,27.975,20.814,3.561,2.536,0.65,19.919,14.138,98.014,108.236,-3.231
2006-07,13.104,1.36,2.5,0.544,1.36,2.5,0.544,0.0,0.0,0.0,1.058,2.128,0.497,1.814,3.535,5.349,0.523,0.488,0.186,1.105,1.674,3.779,3.686,0.802,0.55,0.544,0.0,0.423,14.55,30.094,22.433,5.035,1.526,0.798,23.242,14.156,97.545,102.773,-3.276
2007-08,23.039,1.875,4.227,0.444,1.864,4.216,0.442,0.011,0.011,1.0,1.534,3.193,0.48,2.727,4.75,7.477,0.773,1.034,0.091,1.375,2.648,5.295,4.961,-0.716,0.47,0.445,0.003,0.363,13.697,24.541,18.998,4.956,2.531,0.334,19.6,14.037,93.609,103.391,-3.314
2008-09,13.335,0.92,2.125,0.433,0.92,2.114,0.435,0.0,0.011,0.0,1.216,2.034,0.598,1.557,2.659,4.216,0.295,0.5,0.091,0.807,1.875,3.057,2.711,-0.886,0.506,0.433,0.005,0.572,13.948,23.564,18.663,3.226,2.025,0.625,22.625,12.829,91.845,105.524,-5.079
2009-10,9.708,1.062,2.156,0.493,1.062,2.156,0.493,0.0,0.0,0.0,0.844,1.875,0.45,0.938,2.344,3.281,0.25,0.438,0.125,0.688,1.375,2.969,2.294,-0.156,0.498,0.493,0.0,0.391,11.293,30.061,20.921,4.179,2.314,0.721,18.554,17.089,89.179,109.214,-4.693
2010-11,25.746,1.355,3.323,0.408,1.355,3.29,0.412,0.0,0.032,0.0,1.548,2.839,0.545,3.839,7.29,11.129,1.226,0.935,0.194,1.258,2.871,4.258,6.355,-5.677,0.466,0.408,0.01,0.466,17.847,33.507,25.523,6.407,1.887,0.607,23.02,10.243,101.633,107.067,-1.933
2011-12,13.651,0.592,1.225,0.483,0.592,1.225,0.483,0.0,0.0,0.0,0.746,1.563,0.477,1.69,3.254,4.944,0.254,0.563,0.169,0.746,2.099,1.93,2.414,-1.746,0.504,0.483,0.0,0.609,14.001,27.887,21.046,2.89,2.222,0.781,27.669,9.151,98.761,102.015,-4.166
2012-13,24.731,1.545,3.227,0.479,1.545,3.227,0.479,0.0,0.0,0.0,1.398,2.727,0.513,3.136,7.932,11.068,0.557,0.92,0.17,1.33,2.5,4.489,5.991,1.375,0.507,0.479,0.0,0.433,14.803,37.455,26.077,3.17,1.972,0.491,26.674,10.549,97.828,100.563,-2.161
2013-14,11.675,0.922,1.948,0.473,0.922,1.948,0.473,0.0,0.0,0.0,0.935,1.688,0.554,1.494,2.844,4.338,0.273,0.481,0.039,0.753,1.545,2.779,2.709,-1.39,0.516,0.473,0.0,0.48,13.898,28.383,20.883,3.981,2.237,0.235,23.609,13.713,95.241,106.056,-4.815
2014-15,10.322,0.784,1.851,0.423,0.784,1.824,0.43,0.0,0.027,0.0,0.811,1.311,0.619,1.311,2.73,4.041,0.432,0.297,0.068,0.608,1.23,2.378,2.48,-0.608,0.49,0.423,0.015,0.438,14.849,28.349,21.564,6.398,1.491,0.436,20.63,13.057,97.128,106.894,-3.636
