SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2011-12,8.941,0.911,2.839,0.321,0.679,1.732,0.392,0.232,1.107,0.21,0.446,0.518,0.862,0.25,0.696,0.946,1.268,0.446,0.018,0.643,0.554,2.5,1.714,-0.054,0.408,0.362,0.39,0.157,3.398,7.969,5.758,18.162,2.502,0.104,16.602,20.382,77.889,105.156,-6.407
2012-13,14.472,2.191,4.723,0.464,1.798,3.16,0.569,0.394,1.564,0.252,0.83,0.968,0.857,0.266,2.074,2.34,1.723,0.362,0.202,0.787,1.255,5.606,4.35,0.755,0.544,0.506,0.331,0.176,2.327,14.935,8.983,18.837,1.26,0.935,13.723,18.048,106.247,104.84,-0.769
2013-14,28.083,4.78,10.77,0.444,3.74,7.79,0.48,1.04,2.98,0.349,1.97,2.21,0.891,0.56,3.29,3.85,3.77,0.9,0.13,2.06,1.91,12.57,9.032,3.44,0.535,0.492,0.277,0.183,2.156,12.959,7.806,22.019,1.543,0.34,14.935,22.171,105.586,107.97,-0.612
2014-15,29.08,5.538,12.769,0.434,4.615,9.679,0.477,0.923,3.09,0.299,2.321,2.795,0.83,0.718,3.474,4.192,5.923,0.795,0.115,2.385,2.141,14.321,10.733,1.462,0.511,0.47,0.242,0.182,2.664,13.44,8.065,33.858,1.466,0.319,13.929,24.542,104.195,107.455,0.438
2015-16,30.251,6.647,15.282,0.435,5.224,11.141,0.469,1.424,4.141,0.344,3.471,4.012,0.865,0.706,2.424,3.129,6.224,0.765,0.153,2.741,2.318,18.188,12.714,1.459,0.533,0.482,0.271,0.227,2.365,9.025,5.546,36.142,1.264,0.417,13.931,28.79,109.229,109.554,2.293
2016-17,27.066,5.442,12.923,0.421,4.173,9.423,0.443,1.269,3.5,0.363,2.192,2.538,0.864,0.404,1.788,2.192,5.173,0.635,0.096,2.154,2.462,14.346,9.342,-3.827,0.511,0.47,0.271,0.17,1.48,7.818,4.461,31.567,1.176,0.3,13.175,26.427,101.882,112.843,-1.488
2017-18,26.108,5.348,12.543,0.426,4.217,8.87,0.475,1.13,3.674,0.308,2.435,2.913,0.836,0.63,2.087,2.717,5.174,0.587,0.087,2.152,1.891,14.261,9.857,0.37,0.516,0.471,0.293,0.194,2.453,9.271,5.756,32.029,1.138,0.34,12.684,27.002,106.578,110.511,-0.762
2018-19,27.549,5.391,12.782,0.422,3.287,7.126,0.461,2.103,5.655,0.372,2.414,2.793,0.864,0.575,2.057,2.632,4.276,0.667,0.103,1.759,2.529,15.299,10.338,-0.126,0.546,0.504,0.442,0.189,2.059,8.356,5.083,26.093,1.205,0.286,10.933,24.898,110.43,113.628,0.405
2019-20,19.415,3.298,7.957,0.414,1.723,4.191,0.411,1.574,3.766,0.418,0.957,1.149,0.833,0.404,2.0,2.404,2.915,0.319,0.128,1.191,1.638,9.128,6.285,2.426,0.539,0.513,0.473,0.12,2.028,10.612,6.412,20.73,0.798,0.66,11.17,20.042,98.302,114.814,-1.505
2020-21,23.801,4.231,9.198,0.46,2.253,4.538,0.496,1.978,4.659,0.425,1.132,1.352,0.837,0.341,2.429,2.769,2.967,0.648,0.11,1.121,1.934,11.571,8.612,3.868,0.591,0.568,0.507,0.123,1.457,10.88,6.337,18.602,1.352,0.366,9.764,20.378,110.547,115.407,-0.565
2021-22,31.074,6.346,16.179,0.392,4.141,9.423,0.439,2.205,6.756,0.326,1.859,2.218,0.838,0.513,3.141,3.654,4.769,0.731,0.205,2.308,2.128,16.756,10.181,-0.949,0.488,0.46,0.418,0.115,1.761,10.365,6.249,23.873,1.199,0.509,11.979,27.877,96.104,114.649,-3.651
2022-23,16.919,2.667,6.485,0.411,1.687,3.556,0.474,0.98,2.929,0.334,0.717,0.788,0.91,0.253,1.222,1.475,2.374,0.485,0.061,1.172,1.152,7.03,4.629,-0.818,0.515,0.487,0.452,0.111,1.341,8.481,5.159,20.786,1.568,0.257,15.009,20.096,97.757,115.865,-3.976
2023-24,20.36,3.6,8.463,0.425,2.442,5.232,0.467,1.158,3.232,0.358,0.853,1.053,0.81,0.368,1.421,1.789,3.368,0.484,0.147,1.2,1.695,9.211,6.398,0.832,0.516,0.494,0.382,0.101,1.912,8.12,5.048,22.518,1.104,0.771,12.686,22.21,102.34,117.819,-4.679
