SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2008-09,15.813,1.928,4.904,0.393,1.096,2.627,0.417,0.831,2.277,0.365,1.181,1.398,0.845,1.253,2.494,3.747,0.627,0.53,0.241,0.759,1.892,5.867,4.366,-0.229,0.532,0.478,0.464,0.241,8.244,20.171,14.024,5.915,1.571,1.088,12.733,18.817,104.227,110.803,-2.37
2009-10,10.747,1.914,4.484,0.427,1.032,2.065,0.5,0.882,2.419,0.364,0.774,0.892,0.867,0.839,1.667,2.505,0.43,0.29,0.172,0.656,1.0,5.484,3.806,1.462,0.562,0.525,0.54,0.173,9.15,16.608,12.965,6.199,1.235,1.135,12.946,23.119,97.014,103.917,-1.011
2010-11,19.647,2.925,6.938,0.422,1.175,2.425,0.485,1.75,4.512,0.388,1.262,1.538,0.821,1.738,3.038,4.775,0.688,0.438,0.488,0.625,1.912,8.862,7.064,3.862,0.582,0.548,0.65,0.182,9.793,18.741,14.516,5.527,1.134,1.854,8.621,20.901,112.871,102.171,0.651
2011-12,31.409,5.103,11.779,0.433,2.485,5.132,0.484,2.618,6.647,0.394,2.294,2.618,0.876,3.426,3.838,7.265,0.853,0.779,0.412,0.971,2.471,15.118,12.04,3.632,0.585,0.544,0.564,0.195,12.148,14.314,13.241,5.112,1.33,1.036,7.53,20.809,118.818,105.894,3.165
2012-13,30.522,5.756,13.598,0.423,3.159,6.805,0.464,2.598,6.793,0.382,1.854,2.195,0.844,2.329,4.0,6.329,1.183,0.512,0.378,1.183,2.183,15.963,10.99,-3.134,0.548,0.519,0.5,0.136,8.847,16.046,12.369,7.163,0.921,1.086,7.701,24.363,111.21,112.173,1.784
2013-14,33.114,6.458,14.75,0.438,3.667,7.917,0.463,2.792,6.833,0.409,2.458,2.583,0.952,2.75,3.167,5.917,0.708,0.417,0.292,0.833,1.958,18.167,12.75,1.25,0.572,0.532,0.463,0.167,8.85,10.782,9.768,3.173,0.655,0.677,5.145,22.632,122.682,114.773,1.15
2014-15,26.412,4.582,11.418,0.401,2.687,5.881,0.457,1.896,5.537,0.342,2.015,2.343,0.86,1.716,2.94,4.657,0.955,0.493,0.328,0.985,1.866,13.075,8.527,-0.209,0.525,0.484,0.485,0.176,6.694,12.854,9.882,6.377,0.952,0.952,7.685,23.403,104.4,112.031,-0.794
2015-16,29.531,5.838,13.662,0.427,3.912,8.397,0.466,1.926,5.265,0.366,2.926,3.353,0.873,1.926,3.897,5.824,1.074,0.559,0.368,1.324,1.603,16.529,11.251,0.456,0.546,0.498,0.385,0.214,6.815,15.285,10.87,6.036,0.986,0.977,8.341,24.824,104.561,112.227,-0.55
2016-17,28.512,4.174,10.058,0.415,1.605,3.477,0.462,2.57,6.581,0.39,1.663,1.93,0.861,1.477,3.023,4.5,0.872,0.407,0.186,0.744,1.93,12.581,8.676,4.756,0.577,0.543,0.654,0.165,5.623,11.439,8.576,4.533,0.655,0.496,6.199,17.499,111.94,114.096,-0.957
2017-18,21.417,2.518,5.882,0.428,0.918,1.718,0.534,1.6,4.165,0.384,0.847,1.094,0.774,1.153,2.894,4.047,0.776,0.318,0.259,0.529,1.6,7.482,5.821,2.271,0.588,0.564,0.708,0.144,5.734,15.036,10.347,5.669,0.783,0.904,7.413,13.584,110.558,111.61,-1.418
2018-19,4.173,0.273,0.896,0.304,0.156,0.377,0.414,0.117,0.519,0.225,0.156,0.208,0.75,0.234,0.468,0.701,0.247,0.052,0.013,0.182,0.325,0.818,0.505,-0.948,0.414,0.37,0.58,0.174,6.56,10.484,8.552,8.996,0.708,0.464,15.592,10.344,71.16,114.28,-6.096
2019-20,0.997,0.143,0.5,0.286,0.071,0.143,0.5,0.071,0.357,0.2,0.0,0.0,0.0,0.0,0.5,0.5,0.143,0.071,0.0,0.071,0.071,0.357,0.286,0.5,0.357,0.357,0.714,0.0,0.0,53.7,24.35,18.7,2.25,0.0,8.35,21.65,104.5,127.0,-2.8
