SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2004-05,5.159,0.423,1.5,0.282,0.205,0.692,0.296,0.218,0.808,0.27,0.231,0.244,0.947,0.167,0.628,0.795,0.654,0.154,0.026,0.192,0.526,1.295,0.941,0.192,0.403,0.355,0.538,0.154,4.934,16.689,10.734,22.926,1.069,0.103,9.843,13.991,88.771,114.4,-2.6
2005-06,17.525,1.322,3.756,0.352,0.567,1.678,0.338,0.756,2.078,0.364,0.633,0.7,0.905,0.4,1.556,1.956,1.611,0.578,0.033,0.589,1.822,4.033,3.064,0.789,0.496,0.453,0.553,0.169,2.662,10.736,6.679,13.329,1.671,0.13,13.64,12.53,103.528,109.326,-2.557
2006-07,11.107,1.25,3.148,0.397,0.557,1.273,0.437,0.693,1.875,0.37,0.489,0.557,0.878,0.341,0.92,1.261,0.761,0.477,0.011,0.375,1.216,3.682,2.623,-0.614,0.543,0.507,0.596,0.155,3.165,8.604,6.055,9.331,1.94,0.068,9.573,15.564,107.662,111.766,-2.33
2007-08,17.701,2.796,6.327,0.442,1.276,2.765,0.461,1.52,3.561,0.427,1.082,1.286,0.841,0.276,1.765,2.041,0.898,0.49,0.092,0.714,1.541,8.194,5.377,1.531,0.594,0.562,0.563,0.171,1.628,10.684,6.367,8.608,1.303,0.348,8.785,18.859,108.989,109.914,0.245
2008-09,14.835,1.721,4.731,0.364,0.788,2.096,0.376,0.933,2.635,0.354,0.721,0.788,0.915,0.25,1.356,1.606,1.202,0.837,0.106,0.433,1.808,5.096,3.624,0.548,0.502,0.462,0.557,0.152,1.977,10.593,6.374,11.289,2.808,0.58,7.954,16.654,102.476,104.689,-1.46
2009-10,7.395,0.864,2.125,0.406,0.511,1.034,0.495,0.352,1.091,0.323,0.375,0.443,0.846,0.318,0.67,0.989,0.523,0.25,0.045,0.227,0.852,2.455,1.789,0.011,0.529,0.489,0.513,0.176,4.622,10.01,7.218,8.982,1.436,0.288,7.588,14.766,91.974,106.961,0.883
2010-11,20.092,2.915,7.256,0.402,1.732,4.061,0.426,1.183,3.195,0.37,0.988,1.171,0.844,0.366,1.902,2.268,1.61,0.659,0.061,0.805,1.659,8.0,5.2,-3.378,0.515,0.483,0.44,0.136,2.104,10.563,6.261,12.5,1.558,0.222,8.812,19.822,97.866,112.254,-3.269
2013-14,1.733,0.333,0.833,0.4,0.167,0.5,0.333,0.167,0.333,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.167,0.0,0.5,0.167,0.833,0.133,-2.0,0.5,0.5,0.4,0.0,0.0,11.65,7.7,0.0,2.55,0.0,18.75,17.8,28.5,94.5,-15.55
2015-16,10.944,1.277,3.337,0.383,0.651,1.614,0.403,0.627,1.723,0.364,0.386,0.47,0.821,0.313,1.482,1.795,1.012,0.41,0.06,0.53,1.0,3.566,2.601,-0.506,0.503,0.477,0.516,0.116,2.833,14.225,8.734,14.344,1.82,0.354,12.151,16.079,78.918,108.525,-4.395
2016-17,4.978,0.512,1.659,0.309,0.232,0.756,0.306,0.28,0.902,0.311,0.207,0.293,0.708,0.146,0.573,0.72,0.634,0.159,0.024,0.195,0.463,1.512,1.035,-0.11,0.423,0.393,0.544,0.125,1.579,11.45,6.574,-8.438,1.405,0.174,7.898,18.829,75.476,113.929,-5.621
