SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,39.536,11.033,19.407,0.569,11.033,19.385,0.569,0.0,0.022,0.0,6.637,12.879,0.515,4.198,8.846,13.044,3.604,0.593,2.659,3.022,3.418,28.703,23.216,7.143,0.572,0.569,0.001,0.342,11.97,24.984,18.582,18.141,0.801,4.84,10.829,32.068,114.167,100.867,7.501
2001-02,36.744,10.517,18.54,0.567,10.517,18.529,0.568,0.0,0.011,0.0,6.126,10.632,0.576,3.471,7.494,10.966,2.92,0.586,2.126,2.678,3.0,27.161,21.506,7.885,0.585,0.567,0.001,0.33,10.631,22.147,16.501,16.358,0.829,4.115,10.307,31.844,115.744,99.965,7.897
2002-03,37.208,10.074,17.741,0.568,10.074,17.741,0.568,0.0,0.0,0.0,6.58,10.58,0.622,3.975,7.383,11.358,3.086,0.556,2.383,2.852,3.247,26.728,21.97,4.802,0.597,0.568,0.0,0.371,11.687,22.535,17.21,15.592,0.78,4.485,11.287,30.171,117.911,103.823,6.732
2003-04,37.621,8.178,13.944,0.586,8.178,13.944,0.586,0.0,0.0,0.0,4.889,10.333,0.473,3.744,8.033,11.778,2.789,0.456,2.522,2.778,3.5,21.244,17.603,5.867,0.574,0.586,0.0,0.351,11.033,24.413,17.726,14.247,0.637,5.087,13.237,26.112,108.169,98.697,4.711
2004-05,33.64,8.724,14.667,0.595,8.724,14.667,0.595,0.0,0.0,0.0,4.632,10.011,0.463,3.126,6.782,9.908,2.586,0.471,2.184,2.816,3.609,22.08,16.925,6.046,0.579,0.595,0.0,0.316,11.036,22.022,16.908,15.037,0.769,5.134,13.715,30.776,109.174,100.395,4.213
2005-06,30.903,7.928,13.145,0.603,7.928,13.145,0.603,0.0,0.0,0.0,3.482,7.867,0.443,2.976,6.253,9.229,1.831,0.41,1.663,3.048,3.783,19.337,13.806,3.542,0.582,0.603,0.0,0.265,12.07,22.828,17.73,11.729,0.687,4.26,15.688,29.951,105.744,102.085,1.938
2006-07,27.898,7.022,11.956,0.587,7.022,11.956,0.587,0.0,0.0,0.0,2.956,7.133,0.414,2.511,4.844,7.356,1.867,0.2,1.356,2.422,3.422,17.0,11.644,-0.156,0.563,0.587,0.0,0.247,11.089,20.214,15.595,14.641,0.436,4.225,13.734,30.466,104.091,103.614,1.441
2007-08,27.883,5.194,8.955,0.58,5.194,8.955,0.58,0.0,0.0,0.0,3.0,5.955,0.504,2.657,6.224,8.881,1.448,0.522,1.448,2.776,3.642,13.388,10.058,0.418,0.578,0.58,0.0,0.335,12.048,25.066,18.912,8.471,0.998,3.722,20.306,23.814,102.785,105.046,-0.857
2008-09,29.633,6.737,11.066,0.609,6.737,11.053,0.61,0.0,0.013,0.0,4.066,6.829,0.595,2.461,5.868,8.329,1.658,0.645,1.421,2.211,3.329,17.539,14.124,1.803,0.623,0.609,0.001,0.367,10.169,22.42,16.599,9.263,1.084,3.415,13.857,24.423,116.32,109.4,1.099
2009-10,22.825,4.769,8.554,0.558,4.769,8.538,0.559,0.0,0.015,0.0,2.2,4.2,0.524,1.754,4.646,6.4,1.462,0.262,1.154,1.985,3.231,11.738,8.295,1.277,0.564,0.558,0.002,0.257,9.877,23.373,17.034,11.566,0.595,3.706,16.545,25.889,103.234,102.688,-1.038
2010-11,18.624,3.293,4.951,0.665,3.293,4.951,0.665,0.0,0.0,0.0,1.78,3.244,0.549,1.171,3.171,4.341,0.659,0.415,1.024,1.366,3.024,8.366,6.42,4.707,0.656,0.665,0.0,0.36,7.818,18.859,13.623,6.056,1.367,4.162,17.377,19.736,107.359,99.308,-0.882
