SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2006-07,2.931,0.277,0.769,0.36,0.077,0.169,0.455,0.2,0.6,0.333,0.031,0.031,1.0,0.062,0.338,0.4,0.092,0.077,0.0,0.062,0.323,0.785,0.452,-0.492,0.501,0.49,0.78,0.04,1.7,8.32,4.946,2.626,0.826,0.0,3.903,10.823,58.457,102.457,-5.569
2007-08,4.966,0.929,1.875,0.495,0.286,0.571,0.5,0.643,1.304,0.493,0.054,0.071,0.75,0.089,0.571,0.661,0.107,0.036,0.071,0.071,0.321,2.554,1.8,-0.375,0.67,0.667,0.695,0.029,2.03,10.841,6.686,3.395,0.327,0.703,1.954,21.33,90.108,106.162,0.903
2008-09,14.512,2.2,4.95,0.444,0.712,1.375,0.518,1.488,3.575,0.416,0.262,0.288,0.913,0.238,1.325,1.562,0.5,0.25,0.062,0.288,0.888,6.15,4.12,-2.275,0.606,0.595,0.722,0.053,3.038,10.93,6.825,4.845,0.807,0.496,6.29,15.78,98.563,117.817,-2.42
2009-10,4.525,0.525,1.35,0.389,0.25,0.462,0.541,0.275,0.888,0.31,0.088,0.112,0.778,0.012,0.4,0.412,0.075,0.088,0.025,0.025,0.262,1.412,0.824,-1.062,0.505,0.491,0.657,0.065,0.111,7.459,3.47,2.793,0.476,0.452,0.487,13.796,63.296,118.222,-4.213
2010-11,3.806,0.603,1.155,0.522,0.155,0.362,0.429,0.448,0.793,0.565,0.138,0.138,1.0,0.069,0.431,0.5,0.052,0.017,0.086,0.069,0.241,1.793,1.352,-0.655,0.737,0.716,0.687,0.119,1.935,12.632,8.206,0.516,0.074,0.926,6.452,16.448,90.806,111.645,8.894
2011-12,15.489,2.292,4.806,0.477,0.389,0.792,0.491,1.903,4.014,0.474,0.306,0.361,0.846,0.167,1.486,1.653,0.167,0.222,0.139,0.333,0.917,6.792,4.621,2.014,0.684,0.675,0.835,0.064,1.458,11.375,6.198,1.675,0.622,0.773,6.759,16.702,124.288,107.559,-6.12
2012-13,18.377,2.011,4.815,0.418,0.348,0.902,0.386,1.663,3.913,0.425,0.326,0.359,0.909,0.207,1.489,1.696,0.38,0.315,0.087,0.13,1.109,6.011,4.091,2.511,0.604,0.59,0.813,0.068,1.323,9.707,5.303,3.079,0.754,0.318,2.196,13.457,112.378,110.756,0.379
2013-14,6.616,0.714,1.774,0.403,0.095,0.286,0.333,0.619,1.488,0.416,0.071,0.071,1.0,0.095,0.655,0.75,0.167,0.143,0.048,0.06,0.524,2.119,1.45,0.952,0.587,0.577,0.839,0.04,1.783,12.605,7.203,3.04,0.757,0.434,4.224,11.6,80.017,110.552,-2.772
2014-15,2.664,0.297,0.757,0.393,0.041,0.108,0.375,0.257,0.649,0.396,0.0,0.027,0.0,0.027,0.27,0.297,0.149,0.0,0.027,0.068,0.311,0.851,0.461,-0.716,0.554,0.562,0.857,0.0,0.857,12.843,8.26,6.757,0.0,0.786,6.12,14.511,70.743,115.171,-2.043
2015-16,1.165,0.211,0.474,0.444,0.026,0.079,0.333,0.184,0.395,0.467,0.026,0.026,1.0,0.0,0.132,0.132,0.0,0.0,0.0,0.026,0.079,0.632,0.366,0.184,0.651,0.639,0.833,0.056,0.0,17.91,9.82,0.0,0.0,0.0,2.5,23.97,111.6,102.7,5.92
2016-17,0.996,0.091,0.318,0.286,0.045,0.045,1.0,0.045,0.273,0.167,0.0,0.0,0.0,0.0,0.136,0.136,0.0,0.0,0.0,0.0,0.045,0.227,0.064,0.0,0.357,0.357,0.857,0.0,0.0,19.625,10.325,0.0,0.0,0.0,0.0,16.125,62.5,112.25,-10.362
