SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,26.964,4.105,9.484,0.433,2.747,6.211,0.442,1.358,3.274,0.415,2.611,3.347,0.78,1.063,3.084,4.147,1.758,0.916,0.579,1.421,2.589,12.179,8.652,3.032,0.556,0.504,0.345,0.275,4.497,11.976,8.268,10.207,1.856,1.567,11.562,20.933,109.681,106.0,0.973
2001-02,26.555,4.213,10.04,0.42,2.947,6.16,0.478,1.267,3.88,0.326,1.893,2.387,0.793,0.853,3.147,4.0,1.4,0.867,0.427,1.693,2.653,11.587,6.979,0.813,0.522,0.483,0.386,0.189,3.811,13.018,8.632,8.222,1.842,1.224,13.392,22.184,97.459,108.527,-2.708
2002-03,29.319,5.149,11.586,0.444,3.897,8.299,0.47,1.253,3.287,0.381,1.931,2.506,0.771,1.207,3.598,4.805,1.264,0.839,0.632,1.621,3.264,13.483,8.367,-0.402,0.531,0.499,0.284,0.167,4.836,14.258,9.492,7.387,1.579,1.559,11.46,23.074,100.384,109.628,-2.465
2003-04,29.752,5.169,11.592,0.446,4.141,8.845,0.468,1.028,2.746,0.374,2.465,3.141,0.785,0.915,3.662,4.577,1.789,0.901,0.282,1.662,2.831,13.831,8.81,0.31,0.533,0.49,0.237,0.213,3.881,15.39,9.576,11.076,1.543,0.739,11.228,23.057,103.0,105.522,-0.573
2004-05,25.535,4.145,9.447,0.439,3.026,6.711,0.451,1.118,2.737,0.409,1.789,2.276,0.786,0.592,2.526,3.118,1.447,0.539,0.224,1.487,2.921,11.197,6.274,-2.224,0.536,0.498,0.29,0.189,2.668,11.232,6.879,9.668,1.101,0.625,12.128,21.794,100.465,111.549,-3.43
2005-06,24.544,4.17,9.094,0.459,2.396,4.962,0.483,1.774,4.132,0.429,1.245,1.717,0.725,0.717,4.132,4.849,0.849,0.642,0.283,1.038,3.17,11.358,7.342,1.094,0.577,0.556,0.454,0.137,3.453,19.647,11.467,5.402,1.224,0.759,9.22,21.155,105.551,111.653,-0.904
2006-07,26.33,3.833,9.269,0.414,2.09,4.705,0.444,1.744,4.564,0.382,1.308,1.846,0.708,0.808,4.038,4.846,2.192,0.705,0.359,1.359,2.923,10.718,7.287,2.141,0.532,0.508,0.492,0.141,3.45,18.553,11.078,14.321,1.4,1.317,12.488,20.118,101.974,106.211,0.062
2007-08,28.527,4.279,10.368,0.413,3.059,6.382,0.479,1.221,3.985,0.306,1.691,2.25,0.752,0.912,3.838,4.75,2.515,0.588,0.426,1.441,2.824,11.471,7.568,-3.103,0.505,0.472,0.384,0.163,3.543,16.014,9.702,14.946,1.156,1.041,11.124,20.757,96.556,110.524,-1.898
2008-09,16.601,2.526,5.895,0.429,1.487,3.355,0.443,1.039,2.539,0.409,1.171,1.592,0.736,0.553,2.132,2.684,0.895,0.408,0.145,0.934,1.947,7.263,4.428,0.513,0.551,0.517,0.431,0.199,3.938,14.641,9.308,8.392,1.456,0.502,11.088,20.458,99.939,112.197,-2.526
2009-10,9.507,1.633,3.533,0.462,1.1,2.1,0.524,0.533,1.433,0.372,0.7,0.8,0.875,0.433,0.933,1.367,0.467,0.333,0.067,0.467,1.033,4.5,3.05,-0.367,0.579,0.538,0.406,0.198,4.983,8.144,6.583,7.194,1.539,0.417,8.944,21.056,104.0,111.5,-2.511
