SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2004-05,16.635,2.072,4.687,0.442,2.036,4.53,0.449,0.036,0.157,0.231,1.458,2.096,0.695,1.072,1.843,2.916,1.024,0.843,0.217,0.88,1.807,5.639,4.345,-0.301,0.503,0.446,0.033,0.311,6.48,12.893,9.629,10.208,2.584,0.967,14.152,16.557,95.412,108.075,-1.904
2005-06,14.276,1.329,3.229,0.412,1.314,3.157,0.416,0.014,0.071,0.2,1.1,1.814,0.606,1.114,2.0,3.114,0.871,0.814,0.157,0.886,1.429,3.771,3.214,-0.157,0.468,0.414,0.022,0.341,8.911,15.949,12.433,8.77,2.758,0.981,17.807,16.267,90.807,106.737,-1.572
2006-07,21.034,3.254,6.143,0.53,3.254,6.032,0.539,0.0,0.111,0.0,1.698,2.778,0.611,1.635,2.46,4.095,1.111,0.952,0.302,1.397,2.27,8.206,6.295,0.317,0.557,0.53,0.018,0.276,10.166,13.805,12.064,9.564,2.202,1.025,15.787,19.297,104.033,103.18,0.064
2007-08,11.603,1.49,2.902,0.514,1.373,2.471,0.556,0.118,0.431,0.273,1.0,1.549,0.646,0.647,1.686,2.333,0.882,0.627,0.235,0.471,1.02,4.098,3.933,-0.039,0.572,0.534,0.149,0.345,5.686,13.767,9.947,9.628,2.409,1.623,11.121,14.521,108.0,102.163,1.37
2008-09,25.669,3.453,7.368,0.469,2.5,4.774,0.524,0.953,2.594,0.367,1.472,2.198,0.67,1.255,2.981,4.236,1.877,1.632,0.321,1.179,2.255,9.33,8.125,3.566,0.56,0.533,0.352,0.2,5.634,13.397,9.486,10.272,3.235,1.033,11.823,16.718,109.276,103.429,2.028
2009-10,36.012,5.397,13.685,0.394,3.534,8.11,0.436,1.863,5.575,0.334,2.027,3.123,0.649,1.068,4.452,5.521,3.781,1.726,0.548,2.205,2.219,14.685,10.573,-0.178,0.488,0.462,0.407,0.148,3.194,14.679,8.639,16.717,2.506,1.151,12.735,21.165,98.958,106.917,0.343
2010-11,33.422,3.976,9.965,0.399,2.929,6.529,0.449,1.047,3.435,0.305,1.812,2.576,0.703,0.8,4.459,5.259,2.141,1.506,0.4,1.471,2.306,10.812,7.911,-0.353,0.487,0.452,0.345,0.182,2.83,16.17,9.467,10.696,2.368,0.989,12.014,18.184,95.926,106.0,-0.49
2011-12,28.127,3.5,8.396,0.417,2.896,6.583,0.44,0.604,1.812,0.333,1.646,2.125,0.775,0.854,3.625,4.479,2.812,1.438,0.521,1.583,1.521,9.25,7.846,-3.583,0.496,0.453,0.216,0.196,3.488,15.271,9.4,16.62,2.802,1.678,14.298,18.188,97.268,104.415,0.759
2012-13,23.344,2.984,7.159,0.417,1.778,3.841,0.463,1.206,3.317,0.364,1.238,1.508,0.821,0.698,3.524,4.222,1.794,1.143,0.317,1.333,1.143,8.413,6.863,-0.762,0.538,0.501,0.463,0.173,3.341,16.905,10.177,12.73,2.68,1.112,15.264,18.007,96.607,100.036,1.221
2013-14,33.651,4.742,10.333,0.459,2.538,4.978,0.51,2.204,5.355,0.412,1.828,2.366,0.773,1.29,4.871,6.161,2.258,1.538,0.258,1.57,2.204,13.516,11.176,2.398,0.594,0.566,0.518,0.177,4.365,17.019,10.543,10.356,2.366,0.634,12.782,17.533,111.239,104.148,2.532
2014-15,35.854,4.41,10.86,0.406,2.11,4.35,0.485,2.3,6.51,0.353,1.6,1.85,0.865,0.95,4.73,5.68,2.53,1.82,0.19,1.64,2.37,12.72,10.002,2.23,0.545,0.512,0.599,0.147,2.901,14.219,8.58,11.288,2.607,0.418,12.171,16.076,108.141,104.97,1.133
2015-16,34.942,4.253,10.46,0.407,2.08,4.402,0.473,2.172,6.057,0.359,1.483,1.897,0.782,0.851,3.598,4.448,2.207,1.989,0.31,1.437,2.218,12.161,9.476,-0.563,0.538,0.51,0.579,0.142,2.557,11.453,6.938,9.473,2.809,0.703,10.856,16.043,105.547,109.686,-0.286
2016-17,34.625,3.989,9.728,0.41,1.663,3.033,0.548,2.326,6.696,0.347,1.152,1.522,0.757,0.674,4.913,5.587,2.152,1.75,0.239,0.891,1.717,11.457,9.886,3.815,0.551,0.53,0.688,0.118,2.143,15.681,8.929,8.68,2.448,0.545,7.769,14.036,111.637,109.088,1.054
