SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-10-31,76E,KNI,KNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2000-11-01,76E,RAP,76E,13.025,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.5,1.0,4.0,2.45,6.5,0.667,0.667,0.0,0.0,0.0,8.6,5.0,6.0,0.0,0.0,14.3,14.0,111.0,93.0,-3.9
2000-01,2000-11-03,76E,MAG,MAG,17.717,3.0,4.333,0.692,3.0,4.333,0.692,0.0,0.0,0.0,0.333,0.333,1.0,0.0,1.667,1.667,0.667,0.333,0.333,1.0,0.667,6.333,4.767,10.333,0.707,0.692,0.0,0.077,0.0,10.65,5.7,5.75,1.0,1.2,17.75,14.55,115.0,101.5,-0.75
2000-01,2000-11-04,76E,HEA,HEA,21.33,3.5,5.5,0.636,3.0,4.5,0.667,0.5,1.0,0.5,0.75,1.0,0.75,0.25,2.0,2.25,1.25,0.5,0.25,2.75,1.75,8.25,4.575,9.0,0.694,0.682,0.182,0.136,1.033,9.933,5.767,10.8,1.167,0.8,26.4,17.433,101.0,95.0,-1.6
2000-01,2000-11-09,76E,TIM,TIM,17.994,2.8,4.6,0.609,2.4,3.8,0.632,0.4,0.8,0.5,0.6,0.8,0.75,0.2,1.6,1.8,1.0,0.4,0.2,2.4,1.4,6.6,3.32,5.8,0.666,0.652,0.174,0.13,0.775,7.45,4.325,8.1,0.875,0.6,32.3,18.0,75.75,98.25,-8.1
2000-01,2000-11-11,76E,CEL,76E,18.442,2.667,4.667,0.571,2.333,3.667,0.636,0.333,1.0,0.333,0.5,0.667,0.75,0.167,1.667,1.833,1.167,0.5,0.167,2.5,1.167,6.167,2.983,4.667,0.622,0.607,0.214,0.107,0.62,7.66,4.46,10.38,1.22,0.48,33.34,17.82,73.0,97.0,-7.04
2000-01,2000-11-15,76E,CAV,76E,19.6,2.714,5.286,0.514,2.286,3.857,0.593,0.429,1.429,0.3,0.714,0.857,0.833,0.143,2.143,2.286,1.571,0.857,0.143,2.286,1.714,6.571,3.729,5.286,0.58,0.554,0.27,0.135,0.517,9.533,5.317,13.883,1.95,0.4,29.317,17.767,77.333,93.833,-4.75
2000-01,2000-11-17,76E,HEA,76E,20.515,2.625,5.25,0.5,2.125,3.625,0.586,0.5,1.625,0.308,0.625,0.75,0.833,0.125,2.5,2.625,2.125,1.0,0.125,2.25,1.75,6.375,4.162,6.0,0.571,0.548,0.31,0.119,0.443,11.9,6.4,16.086,2.229,0.343,29.214,16.886,80.857,94.857,-3.643
2000-01,2000-11-20,76E,CEL,CEL,20.674,2.778,5.333,0.521,2.222,3.778,0.588,0.556,1.556,0.357,0.778,0.889,0.875,0.111,2.444,2.556,2.556,1.0,0.111,2.222,1.667,6.889,5.011,6.222,0.602,0.573,0.292,0.146,0.388,11.775,6.35,19.662,2.275,0.3,28.375,17.312,87.625,94.25,-1.538
2000-01,2000-11-22,76E,CHO,CHO,21.485,3.0,5.6,0.536,2.2,3.8,0.579,0.8,1.8,0.444,1.1,1.5,0.733,0.2,2.5,2.7,2.7,1.1,0.1,2.3,1.9,7.9,5.91,6.1,0.631,0.607,0.321,0.196,0.744,11.589,6.422,19.6,2.4,0.267,27.589,17.689,91.556,94.0,-0.6
2000-01,2000-11-24,76E,HAW,HAW,21.718,2.818,5.364,0.525,2.091,3.727,0.561,0.727,1.636,0.444,1.364,1.727,0.789,0.182,2.455,2.636,2.636,1.091,0.091,2.364,1.818,7.727,5.727,6.273,0.631,0.593,0.305,0.254,0.67,11.3,6.18,19.18,2.39,0.24,28.7,17.45,90.8,94.6,-0.95
2000-01,2000-11-25,76E,SPU,SPU,21.757,2.583,5.333,0.484,1.917,3.667,0.523,0.667,1.667,0.4,1.25,1.583,0.789,0.167,2.5,2.667,2.583,1.0,0.083,2.333,1.75,7.083,4.95,4.75,0.587,0.547,0.313,0.234,0.609,11.536,6.282,18.855,2.173,0.218,28.691,17.182,83.818,93.727,-2.291
2000-01,2000-11-29,76E,WIZ,76E,21.302,2.538,5.308,0.478,1.923,3.692,0.521,0.615,1.615,0.381,1.308,1.615,0.81,0.154,2.308,2.462,2.462,0.923,0.077,2.154,1.769,7.0,4.815,3.615,0.582,0.536,0.304,0.246,0.558,10.575,5.758,18.475,1.992,0.2,26.3,17.067,86.917,95.083,-2.067
2000-01,2000-12-01,76E,CHO,76E,21.597,2.643,5.714,0.462,2.0,3.929,0.509,0.643,1.786,0.36,1.357,1.786,0.76,0.214,2.571,2.786,2.357,1.071,0.071,2.143,1.714,7.286,5.036,3.357,0.56,0.519,0.312,0.238,0.854,11.685,6.462,17.662,2.3,0.185,25.323,17.777,86.615,94.0,-1.815
