SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2017-18,2017-10-17,CEL,CAV,CAV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-18,2017-10-18,CEL,BUC,CEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-18,2017-10-20,CEL,76E,76E,3.81,0.667,1.333,0.5,0.667,1.0,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.333,1.333,0.767,-1.333,0.5,0.5,0.25,0.0,0.0,0.0,0.0,13.7,0.0,0.0,0.0,15.0,110.0,119.0,-4.1
2017-18,2017-10-24,CEL,KNI,CEL,4.6,0.5,1.5,0.333,0.5,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.25,0.0,0.0,0.0,0.5,1.0,0.275,-1.5,0.333,0.333,0.333,0.0,0.0,12.55,6.75,6.85,0.0,0.0,0.0,13.4,55.0,105.0,-8.35
2017-18,2017-10-26,CEL,BUC,BUC,4.546,0.4,1.2,0.333,0.4,0.8,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.4,0.8,0.22,-1.6,0.333,0.333,0.333,0.0,0.0,8.367,4.5,4.567,0.0,0.0,0.0,8.933,36.667,105.0,-7.3
2017-18,2017-10-28,CEL,HEA,HEA,3.788,0.333,1.0,0.333,0.333,0.667,0.5,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.167,0.0,0.0,0.0,0.333,0.667,0.183,-1.333,0.333,0.333,0.333,0.0,0.0,8.367,4.5,4.567,0.0,0.0,0.0,8.933,36.667,105.0,-7.3
2017-18,2017-10-30,CEL,SPU,CEL,3.247,0.286,0.857,0.333,0.286,0.571,0.5,0.0,0.286,0.0,0.0,0.0,0.0,0.0,0.286,0.286,0.143,0.0,0.0,0.0,0.286,0.571,0.157,-1.143,0.333,0.333,0.333,0.0,0.0,8.367,4.5,4.567,0.0,0.0,0.0,8.933,36.667,105.0,-7.3
2017-18,2017-11-01,CEL,KIN,CEL,3.464,0.375,1.125,0.333,0.375,0.75,0.5,0.0,0.375,0.0,0.0,0.0,0.0,0.125,0.25,0.375,0.25,0.0,0.0,0.125,0.375,0.75,0.175,-1.0,0.333,0.333,0.333,0.0,5.6,6.275,5.925,10.875,0.0,0.0,6.25,15.625,47.25,107.0,-9.675
2017-18,2017-11-03,CEL,THU,THU,4.531,0.667,1.667,0.4,0.556,1.111,0.5,0.111,0.556,0.2,0.0,0.0,0.0,0.222,0.333,0.556,0.333,0.222,0.111,0.444,0.333,1.444,0.756,-1.333,0.433,0.433,0.333,0.0,6.58,6.72,6.62,11.24,1.66,1.2,11.66,18.72,54.8,101.8,-6.92
2017-18,2017-11-05,CEL,MAG,MAG,4.078,0.6,1.5,0.4,0.5,1.0,0.5,0.1,0.5,0.2,0.0,0.0,0.0,0.2,0.3,0.5,0.3,0.2,0.1,0.4,0.3,1.3,0.68,-1.2,0.433,0.433,0.333,0.0,6.58,6.72,6.62,11.24,1.66,1.2,11.66,18.72,54.8,101.8,-6.92
2017-18,2017-11-06,CEL,HAW,HAW,3.896,0.545,1.455,0.375,0.455,1.0,0.455,0.091,0.455,0.2,0.0,0.0,0.0,0.182,0.273,0.455,0.273,0.182,0.091,0.364,0.273,1.182,0.555,-1.636,0.406,0.406,0.312,0.0,5.483,5.6,5.517,9.367,1.383,1.0,9.717,19.067,45.667,101.333,-9.733
2017-18,2017-11-08,CEL,LAK,CEL,4.008,0.5,1.333,0.375,0.417,0.917,0.455,0.083,0.417,0.2,0.0,0.0,0.0,0.167,0.333,0.5,0.25,0.167,0.083,0.333,0.333,1.083,0.5,-1.5,0.406,0.406,0.313,0.0,4.7,8.071,6.414,8.029,1.186,0.857,8.329,16.343,39.143,103.0,-9.4
2017-18,2017-11-10,CEL,HOR,CEL,3.699,0.462,1.231,0.375,0.385,0.846,0.455,0.077,0.385,0.2,0.0,0.0,0.0,0.154,0.308,0.462,0.231,0.154,0.077,0.308,0.308,1.0,0.462,-1.385,0.406,0.406,0.312,0.0,4.7,8.071,6.414,8.029,1.186,0.857,8.329,16.343,39.143,103.0,-9.4
