SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2023-24,2023-11-01,LAK,CLI,LAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-24,2023-11-04,LAK,MAG,MAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-24,2023-11-06,LAK,HEA,HEA,1.357,0.0,0.333,0.0,0.0,0.333,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.233,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,131.0,-16.2
2023-24,2023-11-12,LAK,BLA,LAK,1.018,0.0,0.25,0.0,0.0,0.25,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.175,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,131.0,-16.2
2023-24,2023-11-22,LAK,MAV,LAK,0.814,0.0,0.2,0.0,0.0,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.14,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,131.0,-16.2
2023-24,2023-11-25,LAK,CAV,CAV,0.678,0.0,0.167,0.0,0.0,0.167,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.117,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,131.0,-16.2
2023-24,2023-11-27,LAK,76E,76E,0.581,0.0,0.143,0.0,0.0,0.143,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.1,-0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,131.0,-16.2
2023-24,2023-11-29,LAK,PIS,PIS,0.806,0.125,0.25,0.5,0.125,0.25,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.125,0.0,0.25,0.0,-1.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,24.4,32.5,143.5,-12.85
2023-24,2023-11-30,LAK,THU,THU,1.161,0.111,0.556,0.2,0.111,0.444,0.25,0,0.111,0.0,0.0,0.0,0.0,0.111,0.0,0.111,0,0,0,0.111,0.111,0.222,-0.2,-1.667,0.2,0.2,0.2,0.0,10.8,0.0,4.533,0.0,0.0,0.0,16.667,26.533,33.0,133.333,-22.333
2023-24,2024-01-05,LAK,GRI,LAK,1.447,0.1,0.6,0.167,0.1,0.4,0.25,0,0.2,0.0,0.2,0.2,1.0,0.2,0.0,0.2,0,0,0,0.1,0.1,0.4,0.02,-2.0,0.291,0.167,0.333,0.333,14.45,0.0,6.75,0.0,0.0,0.0,12.5,25.1,59.5,134.75,-17.25
2023-24,2024-04-04,MAV,HAW,MAV,1.315,0.091,0.545,0.167,0.091,0.364,0.25,0,0.182,0.0,0.182,0.182,1.0,0.182,0.0,0.182,0,0,0,0.091,0.091,0.364,0.018,-1.818,0.291,0.167,0.333,0.333,14.45,0.0,6.75,0.0,0.0,0.0,12.5,25.1,59.5,134.75,-17.25
2023-24,2024-04-05,MAV,WAR,MAV,1.206,0.083,0.5,0.167,0.083,0.333,0.25,0,0.167,0.0,0.167,0.167,1.0,0.167,0.0,0.167,0,0,0,0.083,0.083,0.333,0.017,-1.667,0.291,0.167,0.333,0.333,14.45,0.0,6.75,0.0,0.0,0.0,12.5,25.1,59.5,134.75,-17.25
2023-24,2024-04-07,MAV,ROC,MAV,1.113,0.077,0.462,0.167,0.077,0.308,0.25,0,0.154,0.0,0.154,0.154,1.0,0.154,0.0,0.154,0,0,0,0.077,0.077,0.308,0.015,-1.538,0.291,0.167,0.333,0.333,14.45,0.0,6.75,0.0,0.0,0.0,12.5,25.1,59.5,134.75,-17.25
2023-24,2024-04-09,MAV,HOR,HOR,1.034,0.071,0.429,0.167,0.071,0.286,0.25,0,0.143,0.0,0.143,0.143,1.0,0.143,0.0,0.143,0,0,0,0.071,0.071,0.286,0.014,-1.429,0.291,0.167,0.333,0.333,14.45,0.0,6.75,0.0,0.0,0.0,12.5,25.1,59.5,134.75,-17.25
2023-24,2024-04-12,MAV,PIS,MAV,0.965,0.067,0.4,0.167,0.067,0.267,0.25,0,0.133,0.0,0.133,0.133,1.0,0.133,0.0,0.133,0,0,0,0.067,0.067,0.267,0.013,-1.333,0.291,0.167,0.333,0.333,14.45,0.0,6.75,0.0,0.0,0.0,12.5,25.1,59.5,134.75,-17.25
2023-24,2024-04-14,MAV,THU,THU,1.331,0.062,0.375,0.167,0.062,0.25,0.25,0,0.125,0.0,0.125,0.125,1.0,0.125,0.062,0.188,0,0,0,0.125,0.062,0.25,-0.031,-1.375,0.291,0.167,0.333,0.333,11.56,3.06,6.98,0.0,0.0,0.0,30.0,21.38,47.6,130.6,-17.12
