SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2016-17,2016-10-26,GRI,TIM,GRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,2016-10-29,GRI,KNI,KNI,19.1,0.5,3.5,0.143,0.5,1.5,0.333,0.0,2.0,0.0,1.0,2.0,0.5,0.5,1.0,1.5,2.0,0.5,0.0,1.5,1.5,2.0,-0.2,4.0,0.228,0.143,0.571,0.286,3.1,5.1,4.2,14.5,1.4,0.0,25.5,14.1,61.0,113.0,-12.6
2016-17,2016-10-30,GRI,WIZ,GRI,20.95,1.0,4.0,0.25,1.0,2.0,0.5,0.0,2.0,0.0,0.667,1.333,0.5,0.333,0.667,1.0,2.0,0.333,0.0,1.667,1.667,2.667,-0.167,2.667,0.291,0.25,0.5,0.167,1.55,2.55,2.1,13.15,0.7,0.0,27.05,13.3,65.0,116.0,-11.45
2016-17,2016-11-01,GRI,TIM,TIM,23.1,1.5,5.0,0.3,1.25,2.5,0.5,0.25,2.5,0.1,1.0,1.75,0.571,0.5,0.5,1.0,2.25,0.25,0.0,1.25,2.5,4.25,1.125,0.5,0.368,0.325,0.5,0.2,2.433,1.7,2.1,14.1,0.467,0.0,18.033,13.767,84.0,114.333,-9.2
2016-17,2016-11-02,GRI,PEL,GRI,24.824,1.6,5.4,0.296,1.2,3.0,0.4,0.4,2.4,0.167,2.2,3.0,0.733,0.6,0.6,1.2,2.8,1.4,0.0,1.6,2.8,5.8,3.58,-3.4,0.432,0.333,0.444,0.407,2.625,2.4,2.5,18.475,2.675,0.0,19.075,15.075,89.0,113.0,-5.475
2016-17,2016-11-04,GRI,CLI,GRI,20.687,1.333,4.5,0.296,1.0,2.5,0.4,0.333,2.0,0.167,1.833,2.5,0.733,0.5,0.5,1.0,2.333,1.167,0.0,1.333,2.333,4.833,2.983,-2.833,0.432,0.333,0.444,0.407,2.625,2.4,2.5,18.475,2.675,0.0,19.075,15.075,89.0,113.0,-5.475
2016-17,2016-11-06,GRI,BLA,GRI,18.2,1.143,4.0,0.286,0.857,2.143,0.4,0.286,1.857,0.154,1.571,2.143,0.733,0.429,0.429,0.857,2.143,1.0,0.0,1.286,2.143,4.143,2.357,-3.857,0.419,0.321,0.464,0.393,2.1,1.92,2.0,24.22,2.14,0.0,25.26,17.3,76.0,113.0,-10.0
2016-17,2016-11-08,GRI,NUG,GRI,18.098,1.125,4.25,0.265,0.875,2.375,0.368,0.25,1.875,0.133,1.75,2.5,0.7,0.375,0.625,1.0,2.0,1.0,0.0,1.125,2.125,4.25,2.3,-4.625,0.397,0.294,0.441,0.412,1.75,4.083,2.8,21.817,2.283,0.0,21.05,17.9,76.167,112.333,-9.65
2016-17,2016-11-12,GRI,BUC,BUC,18.95,1.333,4.444,0.3,0.889,2.333,0.381,0.444,2.111,0.211,1.778,2.444,0.727,0.333,0.889,1.222,2.444,1.333,0.111,1.333,2.444,4.889,3.356,-3.778,0.443,0.35,0.475,0.4,1.5,6.157,3.529,22.857,3.043,0.571,22.386,17.771,81.429,110.143,-6.971
2016-17,2016-11-14,GRI,JAZ,JAZ,18.712,1.3,4.3,0.302,0.9,2.2,0.409,0.4,2.1,0.19,1.6,2.2,0.727,0.3,0.8,1.1,2.4,1.4,0.2,1.3,2.6,4.6,3.2,-4.0,0.437,0.349,0.488,0.372,1.312,5.388,3.088,22.263,3.45,1.225,22.712,17.0,79.75,109.25,-6.3
2016-17,2016-11-16,GRI,CLI,CLI,19.379,1.273,4.273,0.298,0.818,2.182,0.375,0.455,2.091,0.217,1.636,2.182,0.75,0.273,0.909,1.182,2.364,1.273,0.182,1.273,2.818,4.636,3.055,-3.091,0.443,0.351,0.489,0.383,1.167,5.922,3.3,20.989,3.067,1.089,22.078,16.278,83.444,110.222,-6.156
2016-17,2016-11-18,GRI,MAV,MAV,19.908,1.333,4.25,0.314,0.833,2.167,0.385,0.5,2.083,0.24,1.5,2.0,0.75,0.25,1.083,1.333,2.417,1.167,0.25,1.333,2.917,4.667,3.058,-3.333,0.455,0.373,0.49,0.353,1.05,6.66,3.69,20.43,2.76,1.31,23.2,15.71,85.1,110.7,-5.88
2016-17,2016-11-19,GRI,TIM,GRI,20.393,1.385,4.538,0.305,0.846,2.308,0.367,0.538,2.231,0.241,1.462,2.0,0.731,0.231,1.308,1.538,2.308,1.231,0.231,1.462,3.0,4.769,2.831,-2.538,0.44,0.364,0.492,0.322,0.955,7.364,4.073,19.182,2.891,1.191,23.391,16.382,82.273,106.909,-6.064
2016-17,2016-11-21,GRI,HOR,HOR,20.685,1.5,4.643,0.323,1.0,2.357,0.424,0.5,2.286,0.219,1.857,2.357,0.788,0.286,1.429,1.714,2.643,1.214,0.214,1.429,3.0,5.357,3.721,-1.214,0.472,0.377,0.492,0.4,1.267,8.042,4.55,22.533,2.842,1.092,22.267,16.633,88.167,105.167,-4.192
2016-17,2016-11-23,GRI,76E,76E,20.908,1.533,4.733,0.324,1.0,2.467,0.405,0.533,2.267,0.235,1.733,2.2,0.788,0.267,1.467,1.733,2.667,1.133,0.267,1.333,3.133,5.333,3.673,-1.6,0.468,0.38,0.479,0.366,1.169,8.154,4.592,22.077,2.623,1.377,20.554,16.262,89.385,105.077,-4.269
2016-17,2016-11-25,GRI,HEA,GRI,22.212,1.562,4.812,0.325,1.0,2.438,0.41,0.562,2.375,0.237,1.75,2.188,0.8,0.25,1.625,1.875,2.875,1.312,0.312,1.375,3.25,5.438,4.05,-1.062,0.471,0.383,0.494,0.364,1.086,8.45,4.65,22.193,2.779,1.45,20.693,15.807,90.071,103.429,-3.786
2016-17,2016-11-26,GRI,HEA,HEA,22.955,1.471,5.0,0.294,0.941,2.647,0.356,0.529,2.353,0.225,1.882,2.294,0.821,0.294,1.765,2.059,3.118,1.235,0.412,1.412,3.176,5.353,4.035,-1.765,0.445,0.347,0.471,0.376,1.2,8.7,4.82,22.927,2.593,1.693,20.447,15.74,88.6,103.533,-3.88
2016-17,2016-11-28,GRI,HOR,GRI,23.022,1.389,4.833,0.287,0.889,2.556,0.348,0.5,2.278,0.22,2.111,2.611,0.809,0.278,1.778,2.056,3.0,1.222,0.444,1.389,3.167,5.389,4.067,-1.611,0.45,0.339,0.471,0.437,1.125,8.775,4.856,21.831,2.569,1.838,20.125,15.625,89.562,104.25,-3.981
2016-17,2016-11-30,GRI,RAP,RAP,23.077,1.368,5.0,0.274,0.842,2.579,0.327,0.526,2.421,0.217,2.0,2.474,0.809,0.263,1.737,2.0,3.053,1.158,0.421,1.368,3.158,5.263,3.784,-1.947,0.432,0.326,0.484,0.4,1.059,8.529,4.7,21.929,2.418,1.729,19.594,15.694,87.529,104.941,-4.529
2016-17,2016-12-01,GRI,MAG,GRI,23.682,1.65,5.35,0.308,0.95,2.8,0.339,0.7,2.55,0.275,2.05,2.55,0.804,0.25,1.75,2.0,3.1,1.25,0.4,1.4,3.2,6.05,4.485,-2.55,0.467,0.374,0.477,0.383,1.0,8.594,4.644,21.856,2.533,1.633,19.211,15.933,90.5,106.333,-3.817
2016-17,2016-12-03,GRI,LAK,GRI,23.98,1.762,5.476,0.322,1.095,3.048,0.359,0.667,2.429,0.275,2.095,2.714,0.772,0.238,1.857,2.095,3.333,1.19,0.429,1.429,3.19,6.286,4.752,-2.19,0.471,0.383,0.443,0.383,0.947,9.032,4.816,23.242,2.4,1.716,19.032,16.147,91.368,106.263,-3.653
