SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-11-01,CEL,PIS,CEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2000-11-03,CEL,RAP,CEL,20.35,6.0,9.5,0.632,4.5,6.5,0.692,1.5,3.0,0.5,3.0,3.0,1.0,1.5,4.5,6.0,2.0,0.0,1.5,2.0,0.5,16.5,14.9,12.0,0.762,0.711,0.316,0.316,8.2,21.1,15.1,26.1,0.0,4.9,15.6,27.9,131.0,87.0,13.5
2000-01,2000-11-04,CEL,CAV,CAV,25.367,6.667,13.0,0.513,5.0,9.667,0.517,1.667,3.333,0.5,2.667,2.667,1.0,2.0,4.333,6.333,1.667,0.0,1.0,3.333,1.333,17.667,11.933,6.333,0.623,0.577,0.256,0.205,8.8,17.75,13.4,16.05,0.0,2.45,18.95,31.0,107.0,95.5,3.15
2000-01,2000-11-07,CEL,RAP,RAP,29.605,7.0,15.25,0.459,5.25,11.75,0.447,1.75,3.5,0.5,3.75,4.0,0.938,2.25,4.75,7.0,1.25,0.0,0.75,3.5,1.75,19.5,11.725,6.75,0.573,0.516,0.23,0.246,8.6,18.0,13.267,10.7,0.0,1.633,17.167,30.6,102.333,96.667,1.0
2000-01,2000-11-10,CEL,KNI,CEL,29.114,6.6,14.6,0.452,4.8,11.0,0.436,1.8,3.6,0.5,3.0,3.2,0.938,2.0,4.2,6.2,1.6,0.2,0.6,3.4,2.0,18.0,10.54,0.4,0.562,0.514,0.247,0.205,7.225,16.275,11.425,14.35,0.45,1.225,17.875,28.725,98.0,100.5,0.45
2000-01,2000-11-11,CEL,76E,76E,32.448,7.167,15.833,0.453,5.333,12.0,0.444,1.833,3.833,0.478,3.0,3.333,0.9,1.667,5.5,7.167,2.167,0.167,0.5,3.333,1.667,19.167,11.667,0.667,0.554,0.511,0.242,0.189,5.78,18.92,12.2,16.36,0.36,0.98,16.54,28.54,98.2,102.2,0.62
2000-01,2000-11-15,CEL,WIZ,CEL,33.774,7.0,16.571,0.422,5.143,12.857,0.4,1.857,3.714,0.5,2.714,3.429,0.792,1.571,5.714,7.286,2.429,0.286,0.571,3.286,2.143,18.571,10.543,1.143,0.514,0.478,0.224,0.164,5.217,18.667,11.8,16.783,0.5,1.1,15.717,28.333,93.167,100.333,0.017
2000-01,2000-11-17,CEL,HAW,CEL,34.95,7.375,17.25,0.428,5.25,13.375,0.393,2.125,3.875,0.548,2.625,3.5,0.75,1.875,6.125,8.0,2.75,0.375,0.75,3.25,2.25,19.5,11.85,1.125,0.519,0.489,0.225,0.152,5.986,19.586,12.643,16.886,0.6,1.443,15.071,28.071,96.714,102.0,0.629
2000-01,2000-11-18,CEL,WIZ,WIZ,35.498,7.556,17.222,0.439,5.333,13.222,0.403,2.222,4.0,0.556,2.444,3.333,0.733,1.889,6.0,7.889,2.667,0.444,0.778,3.222,2.111,19.778,12.3,2.222,0.529,0.503,0.232,0.142,5.938,19.725,12.525,16.012,0.7,1.525,14.988,27.513,99.0,103.5,0.712
2000-01,2000-11-20,CEL,76E,CEL,35.47,7.7,17.7,0.435,5.3,13.2,0.402,2.4,4.5,0.533,2.6,3.4,0.765,2.0,6.1,8.1,2.6,0.4,0.7,3.3,2.2,20.4,12.53,-0.4,0.531,0.503,0.254,0.147,6.256,20.767,13.033,15.867,0.622,1.356,14.922,28.344,99.444,105.222,0.856
2000-01,2000-11-22,CEL,ROC,CEL,35.244,7.455,17.727,0.421,5.182,13.0,0.399,2.273,4.727,0.481,2.545,3.455,0.737,1.909,6.0,7.909,2.636,0.364,0.636,3.455,2.455,19.727,11.291,-2.545,0.512,0.485,0.267,0.144,5.93,20.27,12.65,15.98,0.56,1.22,15.45,28.53,96.2,106.5,-0.44
2000-01,2000-11-24,CEL,MAG,CEL,34.8,7.25,17.5,0.414,5.167,13.083,0.395,2.083,4.417,0.472,2.583,3.417,0.756,1.917,6.417,8.333,3.083,0.417,0.583,3.333,2.333,19.167,11.467,-0.917,0.504,0.474,0.252,0.148,6.118,21.091,13.391,18.836,0.664,1.109,15.036,28.391,96.364,103.818,0.173
2000-01,2000-11-26,CEL,VGR,CEL,35.408,7.385,17.846,0.414,5.308,13.462,0.394,2.077,4.385,0.474,2.769,3.769,0.735,2.0,6.769,8.769,3.0,0.462,0.538,3.231,2.462,19.615,11.831,-0.538,0.503,0.472,0.246,0.155,6.308,21.9,13.908,18.208,0.708,1.017,14.392,28.55,96.75,103.25,0.208
2000-01,2000-11-28,CEL,CAV,CAV,35.5,7.357,17.786,0.414,5.357,13.5,0.397,2.0,4.286,0.467,2.786,3.857,0.722,1.857,6.714,8.571,3.143,0.5,0.5,3.143,2.571,19.5,11.757,-0.143,0.5,0.47,0.241,0.157,5.823,21.546,13.5,19.085,0.754,0.938,14.008,28.269,96.308,103.0,0.154
2000-01,2000-11-30,CEL,BUC,BUC,36.048,7.467,17.667,0.423,5.4,13.267,0.407,2.067,4.4,0.47,3.067,4.2,0.73,1.733,6.8,8.533,3.0,0.467,0.467,3.267,2.667,20.067,12.047,0.8,0.514,0.481,0.249,0.174,5.407,21.493,13.279,18.071,0.7,0.871,14.436,28.236,97.143,101.857,0.257
2000-01,2000-12-01,CEL,TIM,CEL,36.22,7.5,17.75,0.423,5.375,13.062,0.411,2.125,4.688,0.453,2.938,4.0,0.734,1.625,6.875,8.5,2.875,0.5,0.438,3.312,2.5,20.062,11.919,0.188,0.514,0.482,0.264,0.165,5.047,22.113,13.333,17.207,0.74,0.813,14.613,28.24,96.467,102.933,-0.04
