SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2017-18,2017-11-17,MAV,TIM,MAV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-18,2017-11-18,MAV,BUC,MAV,3.465,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,-3.5,0.5,0.5,0.0,0.0,0.0,33.8,15.6,0.0,0.0,0.0,0.0,13.3,101.0,119.0,-8.2
2017-18,2017-11-20,MAV,CEL,MAV,3.367,0.333,0.667,0.5,0.333,0.667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.667,0.333,0.333,0.0,0.0,0.667,0.667,0.833,-2.333,0.5,0.5,0.0,0.0,0.0,16.9,7.8,19.95,8.2,0.0,0.0,6.65,175.5,89.5,11.4
2017-18,2017-11-22,MAV,GRI,GRI,2.525,0.25,0.5,0.5,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.25,0.25,0.0,0.0,0.5,0.5,0.625,-1.75,0.5,0.5,0.0,0.0,0.0,16.9,7.8,19.95,8.2,0.0,0.0,6.65,175.5,89.5,11.4
2017-18,2017-11-25,MAV,THU,MAV,3.05,0.2,0.4,0.5,0.2,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.2,0.0,0.0,0.4,0.4,0.64,0.4,0.5,0.5,0.0,0.0,0.0,11.267,5.2,21.267,5.467,0.0,0.0,4.433,191.333,94.0,7.833
2017-18,2017-11-27,MAV,SPU,SPU,2.847,0.167,0.333,0.5,0.167,0.333,0.5,0.0,0.0,0.0,0.167,0.333,0.5,0.0,0.333,0.333,0.333,0.167,0.0,0.0,0.333,0.5,0.633,0.5,0.521,0.5,0.0,0.5,0.0,8.45,3.9,15.95,4.1,0.0,0.0,9.275,174.25,96.25,4.95
2017-18,2017-11-29,MAV,NET,MAV,2.459,0.143,0.286,0.5,0.143,0.286,0.5,0.0,0.0,0.0,0.143,0.286,0.5,0.0,0.286,0.286,0.286,0.143,0.0,0.0,0.286,0.429,0.543,0.429,0.521,0.5,0.0,0.5,0.0,6.76,3.12,12.76,3.28,0.0,0.0,7.42,139.4,101.6,2.8
2017-18,2017-12-02,MAV,CLI,MAV,2.151,0.125,0.25,0.5,0.125,0.25,0.5,0.0,0.0,0.0,0.125,0.25,0.5,0.0,0.25,0.25,0.25,0.125,0.0,0.0,0.25,0.375,0.475,0.375,0.521,0.5,0.0,0.5,0.0,6.76,3.12,12.76,3.28,0.0,0.0,7.42,139.4,101.6,2.8
2017-18,2017-12-04,MAV,NUG,MAV,2.788,0.222,0.556,0.4,0.222,0.556,0.4,0.0,0.0,0.0,0.222,0.444,0.5,0.222,0.333,0.556,0.222,0.111,0.0,0.111,0.444,0.667,0.511,0.111,0.444,0.4,0.0,0.4,4.833,7.667,5.917,10.633,2.733,0.0,3.417,10.883,130.667,100.5,-0.2
2017-18,2017-12-06,MAV,CEL,CEL,2.509,0.2,0.5,0.4,0.2,0.5,0.4,0.0,0.0,0.0,0.2,0.4,0.5,0.2,0.3,0.5,0.2,0.1,0.0,0.1,0.4,0.6,0.46,0.1,0.444,0.4,0.0,0.4,4.833,7.667,5.917,10.633,2.733,0.0,3.417,10.883,130.667,100.5,-0.2
2017-18,2017-12-08,MAV,BUC,BUC,2.287,0.182,0.455,0.4,0.182,0.455,0.4,0.0,0.0,0.0,0.182,0.364,0.5,0.182,0.273,0.455,0.182,0.091,0.0,0.091,0.364,0.545,0.418,0.091,0.444,0.4,0.0,0.4,4.143,6.571,5.071,9.114,2.343,0.0,2.929,9.329,112.0,102.143,-1.129
2017-18,2017-12-10,MAV,TIM,TIM,2.728,0.25,0.5,0.5,0.25,0.5,0.5,0.0,0.0,0.0,0.167,0.333,0.5,0.167,0.417,0.583,0.167,0.083,0.083,0.083,0.5,0.667,0.567,0.083,0.515,0.5,0.0,0.333,3.625,9.812,6.525,7.975,2.05,1.438,2.562,8.975,123.0,102.875,-0.337
2017-18,2017-12-12,MAV,SPU,MAV,3.891,0.308,0.769,0.4,0.308,0.769,0.4,0.0,0.0,0.0,0.154,0.308,0.5,0.154,0.538,0.692,0.154,0.308,0.231,0.077,0.615,0.769,0.815,-0.769,0.425,0.4,0.0,0.2,3.222,10.378,6.567,7.089,2.833,2.4,2.278,9.233,115.0,101.111,0.222
2017-18,2017-12-14,MAV,WAR,WAR,4.119,0.286,0.857,0.333,0.286,0.786,0.364,0.0,0.071,0.0,0.143,0.286,0.5,0.143,0.5,0.643,0.143,0.357,0.286,0.143,0.571,0.714,0.707,-0.786,0.363,0.333,0.083,0.167,2.9,9.34,5.91,6.38,3.29,3.31,5.38,10.34,103.5,99.1,-0.52
2017-18,2017-12-16,MAV,SPU,SPU,5.222,0.267,0.933,0.286,0.267,0.867,0.308,0.0,0.067,0.0,0.133,0.267,0.5,0.133,0.533,0.667,0.133,0.4,0.267,0.133,0.667,0.667,0.6,-1.133,0.317,0.286,0.071,0.143,2.636,9.273,5.664,5.8,3.218,3.009,4.891,9.818,94.091,101.0,-1.427
2017-18,2017-12-18,MAV,SUN,MAV,4.978,0.25,0.875,0.286,0.25,0.812,0.308,0.0,0.062,0.0,0.125,0.25,0.5,0.125,0.5,0.625,0.125,0.375,0.25,0.125,0.688,0.625,0.538,-1.312,0.317,0.286,0.071,0.143,2.417,8.5,5.192,5.317,2.95,2.758,4.483,9.0,86.25,102.25,-3.042
2017-18,2018-04-03,HAW,HEA,HEA,4.765,0.235,0.824,0.286,0.235,0.765,0.308,0.0,0.059,0.0,0.118,0.235,0.5,0.118,0.471,0.588,0.118,0.353,0.235,0.118,0.647,0.588,0.506,-1.706,0.317,0.286,0.071,0.143,2.231,7.846,4.792,4.908,2.723,2.546,4.138,8.308,79.615,102.692,-3.362
2017-18,2018-04-04,HAW,HEA,HAW,4.5,0.222,0.778,0.286,0.222,0.722,0.308,0.0,0.056,0.0,0.111,0.222,0.5,0.111,0.444,0.556,0.111,0.333,0.222,0.111,0.611,0.556,0.478,-1.611,0.317,0.286,0.071,0.143,2.231,7.846,4.792,4.908,2.723,2.546,4.138,8.308,79.615,102.692,-3.362
2017-18,2018-04-06,HAW,WIZ,WIZ,4.908,0.263,0.842,0.312,0.211,0.737,0.286,0.053,0.105,0.5,0.211,0.316,0.667,0.105,0.526,0.632,0.105,0.316,0.263,0.211,0.737,0.789,0.563,-1.632,0.402,0.344,0.125,0.25,2.071,8.45,5.0,4.557,2.529,2.864,6.771,8.929,80.571,103.429,-3.593
2017-18,2018-04-08,HAW,CEL,CEL,5.129,0.3,0.85,0.353,0.2,0.7,0.286,0.1,0.15,0.667,0.2,0.3,0.667,0.1,0.5,0.6,0.1,0.3,0.25,0.25,0.8,0.9,0.58,-1.3,0.458,0.412,0.176,0.235,1.933,7.887,4.667,4.253,2.36,2.673,9.653,8.973,81.2,103.6,-3.62
2017-18,2018-04-10,HAW,76E,HAW,5.23,0.286,0.905,0.316,0.19,0.762,0.25,0.095,0.143,0.667,0.19,0.286,0.667,0.143,0.524,0.667,0.095,0.333,0.238,0.333,0.81,0.857,0.467,-1.19,0.416,0.368,0.158,0.211,2.962,8.381,5.438,3.988,2.65,2.506,12.175,9.988,77.5,103.375,-4.881
2019-20,2020-01-08,MAV,NUG,MAV,5.305,0.347,0.91,0.363,0.216,0.736,0.28,0.13,0.173,0.714,0.173,0.26,0.635,0.13,0.476,0.606,0.087,0.303,0.216,0.303,0.995,0.995,0.51,-1.948,0.463,0.43,0.181,0.181,2.655,7.512,4.874,3.574,2.375,2.247,10.913,9.306,83.473,99.328,-4.739
2019-20,2020-01-10,MAV,LAK,MAV,5.181,0.361,0.898,0.437,0.237,0.733,0.358,0.124,0.165,0.682,0.165,0.248,0.606,0.124,0.485,0.608,0.083,0.289,0.206,0.289,0.95,1.011,0.548,-1.768,0.533,0.502,0.173,0.173,2.535,9.844,5.825,3.412,2.267,2.145,10.417,9.81,97.861,106.722,-3.905
2019-20,2020-01-11,MAV,76E,MAV,5.033,0.349,0.863,0.462,0.23,0.705,0.386,0.118,0.158,0.652,0.158,0.237,0.58,0.118,0.5,0.618,0.079,0.277,0.197,0.309,0.909,0.974,0.508,-1.746,0.553,0.523,0.165,0.165,2.424,11.62,6.961,3.263,2.169,2.051,16.486,10.688,89.258,105.103,-5.52
2019-20,2020-01-14,MAV,WAR,WAR,5.103,0.37,0.896,0.429,0.256,0.711,0.412,0.113,0.185,0.625,0.152,0.228,0.556,0.113,0.517,0.63,0.076,0.265,0.189,0.298,0.871,1.004,0.533,-1.737,0.516,0.488,0.214,0.158,2.323,11.368,6.776,3.128,2.078,1.966,15.105,10.604,90.317,104.967,-5.43
2019-20,2020-01-17,MAV,BLA,MAV,4.917,0.358,0.864,0.438,0.248,0.685,0.435,0.109,0.179,0.6,0.146,0.218,0.534,0.109,0.5,0.609,0.073,0.254,0.182,0.288,0.836,0.969,0.515,-1.669,0.522,0.495,0.219,0.152,2.23,12.064,7.108,3.002,1.995,1.887,15.834,10.77,90.851,105.102,-5.521
