SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2023-24,2023-10-25,PIS,HEA,HEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-24,2023-10-27,PIS,HOR,HOR,13.44,0.5,3.5,0.143,0.0,2.5,0.0,0.5,1.0,0.5,0.5,1.0,0.5,1.5,2.0,3.5,1.5,0.0,2.5,1.0,1.0,2.0,2.6,-7.0,0.254,0.214,0.286,0.143,10.9,13.0,12.0,13.7,0.0,12.8,20.2,15.4,75.0,106.0,-2.0
2023-24,2023-10-28,PIS,BUL,PIS,18.82,1.0,5.333,0.188,0.667,4.333,0.154,0.333,1.0,0.333,1.0,1.333,0.75,2.333,4.333,6.667,3.0,0.0,2.0,1.667,2.333,3.333,3.7,-1.333,0.282,0.219,0.188,0.188,13.2,20.55,17.2,20.1,0.0,7.75,21.75,16.25,80.5,98.5,-2.7
2023-24,2023-10-30,PIS,THU,THU,21.928,1.5,5.75,0.261,1.25,4.5,0.278,0.25,1.25,0.2,1.5,2.0,0.75,2.5,5.5,8.0,3.5,0.25,1.75,1.75,2.5,4.75,5.7,0.5,0.358,0.283,0.217,0.261,13.2,22.733,18.6,19.733,0.567,5.967,20.7,15.867,94.667,100.333,-1.0
2023-24,2023-11-01,PIS,BLA,PIS,23.662,2.4,7.4,0.324,2.2,6.0,0.367,0.2,1.4,0.143,1.8,2.4,0.75,3.4,5.0,8.4,3.4,0.4,2.0,2.0,2.8,6.8,7.28,-2.2,0.402,0.338,0.189,0.243,15.275,20.5,18.575,18.775,0.8,6.65,19.525,18.15,97.0,104.25,-1.125
2023-24,2023-11-02,PIS,PEL,PEL,24.707,3.333,8.5,0.392,3.167,6.833,0.463,0.167,1.667,0.1,1.5,2.0,0.75,3.333,4.833,8.167,3.167,0.667,1.667,2.0,3.0,8.333,8.15,-3.333,0.444,0.402,0.196,0.176,14.46,19.68,17.6,17.38,1.26,5.32,18.12,19.06,98.8,104.6,-1.12
2023-24,2023-11-05,PIS,SUN,PIS,24.756,3.571,9.714,0.368,3.429,7.429,0.462,0.143,2.286,0.062,2.143,2.714,0.789,3.571,4.429,8.0,3.429,0.571,1.571,2.143,3.286,9.429,8.271,-5.143,0.432,0.375,0.235,0.221,15.383,18.167,17.333,19.567,1.05,5.1,17.267,21.95,99.333,108.833,-2.483
2023-24,2023-11-06,PIS,WAR,PIS,26.426,3.875,10.25,0.378,3.5,7.875,0.444,0.375,2.375,0.158,1.875,2.375,0.789,3.75,4.375,8.125,3.5,1.0,1.875,2.0,3.25,10.0,9.575,-6.125,0.443,0.396,0.232,0.183,15.486,17.514,16.986,18.8,1.643,5.471,15.757,21.286,102.143,109.286,-1.086
2023-24,2023-11-08,PIS,BUC,BUC,27.659,4.111,10.222,0.402,3.667,7.667,0.478,0.444,2.556,0.174,2.0,2.444,0.818,3.778,4.222,8.0,3.333,1.333,1.667,1.889,3.111,10.667,10.589,-5.111,0.472,0.424,0.25,0.196,15.438,16.3,16.212,17.5,2.113,4.788,14.8,20.537,107.625,110.625,-0.288
2023-24,2023-11-10,PIS,76E,PIS,28.573,4.0,10.0,0.4,3.6,7.6,0.474,0.4,2.4,0.167,1.8,2.2,0.818,3.7,5.0,8.7,3.3,1.2,1.6,1.9,3.2,10.2,10.18,-5.2,0.465,0.42,0.24,0.18,14.756,18.189,16.856,16.544,1.878,4.533,15.378,19.444,105.556,110.556,-0.8
