SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2017-18,2017-10-18,HEA,MAG,MAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-18,2017-10-21,HEA,PAC,HEA,2.85,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.75,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0,117.0,-20.4
2017-18,2017-10-23,HEA,HAW,HEA,1.9,0.0,0.333,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,-0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0,117.0,-20.4
2017-18,2017-10-25,HEA,SPU,HEA,1.425,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.375,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0,117.0,-20.4
2017-18,2017-10-28,HEA,CEL,HEA,5.056,0.4,1.4,0.286,0.4,1.4,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.4,1.6,0.0,0.0,0.2,0.0,1.0,0.8,0.28,-1.8,0.286,0.286,0.0,0.0,3.05,23.85,12.9,0.0,0.0,2.1,0.0,11.05,38.5,119.0,-14.6
2017-18,2017-10-30,HEA,TIM,HEA,8.267,0.667,1.833,0.364,0.667,1.833,0.364,0.0,0.0,0.0,0.333,0.333,1.0,0.333,1.5,1.833,0.0,0.167,0.333,0.167,1.333,1.667,1.033,-3.0,0.421,0.364,0.0,0.182,3.867,18.833,11.033,0.0,0.7,2.533,5.667,11.033,62.0,113.667,-10.167
2017-18,2017-11-01,HEA,BUL,HEA,11.54,1.286,2.857,0.45,1.286,2.857,0.45,0.0,0.0,0.0,0.714,1.143,0.625,1.714,1.714,3.429,0.0,0.143,0.286,0.286,1.571,3.286,2.771,-4.857,0.489,0.45,0.0,0.25,12.35,16.95,14.425,0.0,0.525,1.9,6.225,12.475,79.75,115.25,-7.875
2017-18,2017-11-03,HEA,NUG,NUG,11.731,1.25,2.75,0.455,1.25,2.75,0.455,0.0,0.0,0.0,0.875,1.25,0.7,1.5,2.0,3.5,0.0,0.375,0.25,0.25,1.375,3.375,3.2,-3.25,0.511,0.455,0.0,0.318,9.88,19.22,14.42,0.0,1.9,1.52,4.98,12.04,92.0,107.6,-4.78
2017-18,2017-11-05,HEA,CLI,CLI,10.819,1.111,2.444,0.455,1.111,2.444,0.455,0.0,0.0,0.0,0.778,1.111,0.7,1.333,1.889,3.222,0.0,0.333,0.222,0.222,1.222,3.0,2.878,-2.222,0.511,0.455,0.0,0.318,8.233,20.967,14.783,0.0,1.583,1.267,4.15,10.033,76.667,106.667,-4.517
2017-18,2017-11-06,HEA,WAR,WAR,9.837,1.0,2.2,0.455,1.0,2.2,0.455,0.0,0.0,0.0,0.7,1.0,0.7,1.2,1.7,2.9,0.0,0.3,0.2,0.2,1.2,2.7,2.55,-2.5,0.511,0.455,0.0,0.318,7.057,17.971,12.671,0.0,1.357,1.086,3.557,8.6,65.714,108.714,-7.629
2017-18,2017-11-08,HEA,SUN,SUN,10.147,1.0,2.091,0.478,1.0,2.091,0.478,0.0,0.0,0.0,0.727,1.0,0.727,1.273,1.909,3.182,0.0,0.364,0.364,0.273,1.091,2.727,2.927,-2.545,0.539,0.478,0.0,0.348,8.188,19.35,13.95,0.0,1.65,2.6,8.238,8.525,73.875,105.5,-5.512
2017-18,2017-11-10,HEA,JAZ,JAZ,9.302,0.917,1.917,0.478,0.917,1.917,0.478,0.0,0.0,0.0,0.667,0.917,0.727,1.167,1.75,2.917,0.0,0.333,0.333,0.25,1.0,2.5,2.683,-2.333,0.539,0.478,0.0,0.348,8.188,19.35,13.95,0.0,1.65,2.6,8.238,8.525,73.875,105.5,-5.512
2017-18,2017-11-12,HEA,PIS,PIS,8.586,0.846,1.769,0.478,0.846,1.769,0.478,0.0,0.0,0.0,0.615,0.846,0.727,1.077,1.615,2.692,0.0,0.308,0.308,0.231,0.923,2.308,2.477,-2.154,0.539,0.478,0.0,0.348,8.188,19.35,13.95,0.0,1.65,2.6,8.238,8.525,73.875,105.5,-5.512
2017-18,2017-11-15,HEA,WIZ,HEA,7.973,0.786,1.643,0.478,0.786,1.643,0.478,0.0,0.0,0.0,0.571,0.786,0.727,1.0,1.5,2.5,0.0,0.286,0.286,0.214,0.857,2.143,2.3,-2.0,0.539,0.478,0.0,0.348,8.188,19.35,13.95,0.0,1.65,2.6,8.238,8.525,73.875,105.5,-5.512
2017-18,2017-11-17,HEA,WIZ,WIZ,7.441,0.733,1.533,0.478,0.733,1.533,0.478,0.0,0.0,0.0,0.533,0.733,0.727,0.933,1.4,2.333,0.0,0.267,0.267,0.2,0.8,2.0,2.147,-1.867,0.539,0.478,0.0,0.348,8.188,19.35,13.95,0.0,1.65,2.6,8.238,8.525,73.875,105.5,-5.512
2017-18,2017-11-19,HEA,PAC,HEA,7.234,0.688,1.438,0.478,0.688,1.438,0.478,0.0,0.0,0.0,0.562,0.812,0.692,0.875,1.375,2.25,0.0,0.25,0.25,0.25,0.75,1.938,2.006,-2.188,0.54,0.478,0.0,0.391,7.278,19.833,13.711,0.0,1.467,2.311,13.233,9.867,71.556,104.556,-6.411
2017-18,2017-11-22,HEA,CEL,HEA,7.262,0.765,1.529,0.5,0.765,1.529,0.5,0.0,0.0,0.0,0.529,0.765,0.692,0.824,1.294,2.118,0.0,0.235,0.235,0.235,0.765,2.059,2.024,-2.882,0.552,0.5,0.0,0.346,6.55,17.85,12.34,0.0,1.32,2.08,11.91,10.69,77.1,108.0,-6.3
2017-18,2017-11-24,HEA,TIM,TIM,6.858,0.722,1.444,0.5,0.722,1.444,0.5,0.0,0.0,0.0,0.5,0.722,0.692,0.778,1.222,2.0,0.0,0.222,0.222,0.222,0.722,1.944,1.911,-2.722,0.552,0.5,0.0,0.346,6.55,17.85,12.34,0.0,1.32,2.08,11.91,10.69,77.1,108.0,-6.3
2017-18,2017-11-26,HEA,BUL,BUL,6.497,0.684,1.368,0.5,0.684,1.368,0.5,0.0,0.0,0.0,0.474,0.684,0.692,0.737,1.158,1.895,0.0,0.211,0.211,0.211,0.684,1.842,1.811,-2.579,0.552,0.5,0.0,0.346,6.55,17.85,12.34,0.0,1.32,2.08,11.91,10.69,77.1,108.0,-6.3
2017-18,2017-11-28,HEA,CAV,CAV,6.172,0.65,1.3,0.5,0.65,1.3,0.5,0.0,0.0,0.0,0.45,0.65,0.692,0.7,1.1,1.8,0.0,0.2,0.2,0.2,0.65,1.75,1.72,-2.45,0.552,0.5,0.0,0.346,6.55,17.85,12.34,0.0,1.32,2.08,11.91,10.69,77.1,108.0,-6.3
2017-18,2017-11-29,HEA,KNI,KNI,6.757,0.952,1.571,0.606,0.952,1.571,0.606,0.0,0.0,0.0,0.667,0.857,0.778,0.714,1.286,2.0,0.095,0.19,0.238,0.19,0.619,2.571,2.648,-1.714,0.66,0.606,0.0,0.424,6.445,19.264,12.845,2.518,1.2,2.382,10.827,11.736,89.909,108.091,-3.255
2017-18,2017-12-01,HEA,HOR,HEA,7.839,1.091,1.727,0.632,1.091,1.727,0.632,0.0,0.0,0.0,0.682,0.909,0.75,0.727,1.409,2.136,0.091,0.273,0.227,0.227,0.727,2.864,2.909,-2.545,0.673,0.632,0.0,0.395,6.158,19.4,12.567,2.308,1.375,2.183,11.133,11.592,92.667,109.0,-3.342
2017-18,2017-12-03,HEA,WAR,HEA,8.287,1.043,1.783,0.585,1.043,1.783,0.585,0.0,0.0,0.0,0.696,0.957,0.727,0.826,1.435,2.261,0.087,0.435,0.304,0.348,0.826,2.783,2.887,-3.0,0.631,0.585,0.0,0.39,7.246,18.923,12.885,2.131,2.092,2.708,13.631,11.969,88.846,106.538,-3.438
2017-18,2017-12-06,HEA,SPU,SPU,8.772,1.125,1.917,0.587,1.125,1.917,0.587,0.0,0.0,0.0,0.792,1.083,0.731,0.833,1.417,2.25,0.083,0.458,0.292,0.333,0.875,3.042,3.079,-3.542,0.635,0.587,0.0,0.413,7.171,18.143,12.464,1.979,2.129,2.514,12.657,12.286,92.571,108.286,-3.243
2017-18,2017-12-09,HEA,NET,NET,9.131,1.2,2.0,0.6,1.2,2.0,0.6,0.0,0.0,0.0,0.76,1.04,0.731,0.88,1.4,2.28,0.08,0.48,0.36,0.4,0.92,3.16,3.184,-3.88,0.643,0.6,0.0,0.38,7.893,17.48,12.493,1.847,2.187,2.927,14.033,12.6,93.2,109.333,-3.273
2017-18,2017-12-11,HEA,GRI,GRI,9.547,1.192,2.038,0.585,1.192,2.038,0.585,0.0,0.0,0.0,0.731,1.0,0.731,0.923,1.462,2.385,0.154,0.462,0.385,0.385,1.0,3.115,3.196,-2.962,0.628,0.585,0.0,0.358,8.1,17.412,12.575,2.494,2.05,3.025,13.156,12.256,94.812,108.75,-3.238
2017-18,2017-12-13,HEA,BLA,HEA,10.042,1.333,2.185,0.61,1.333,2.185,0.61,0.0,0.0,0.0,0.852,1.148,0.742,0.889,1.556,2.444,0.222,0.519,0.444,0.37,1.148,3.519,3.648,-2.481,0.654,0.61,0.0,0.39,7.624,17.653,12.582,3.276,2.212,3.394,12.382,12.665,99.647,107.118,-2.265
2017-18,2017-12-15,HEA,HOR,HOR,10.764,1.393,2.214,0.629,1.393,2.214,0.629,0.0,0.0,0.0,1.036,1.393,0.744,0.964,1.643,2.607,0.286,0.5,0.429,0.464,1.214,3.821,3.904,-2.75,0.676,0.629,0.0,0.468,7.894,17.811,12.778,3.694,2.089,3.206,13.444,12.822,101.722,107.944,-2.072
2017-18,2017-12-16,HEA,CLI,HEA,11.144,1.517,2.345,0.647,1.517,2.345,0.647,0.0,0.0,0.0,1.034,1.379,0.75,0.966,1.724,2.69,0.31,0.483,0.414,0.517,1.31,4.069,4.038,-2.655,0.689,0.647,0.0,0.441,7.8,17.884,12.811,3.916,1.979,3.037,13.984,13.111,103.0,107.895,-2.084
2017-18,2017-12-18,HEA,HAW,HAW,11.714,1.533,2.5,0.613,1.533,2.5,0.613,0.0,0.0,0.0,1.1,1.467,0.75,1.067,1.7,2.767,0.4,0.467,0.4,0.5,1.367,4.167,4.12,-2.733,0.662,0.613,0.0,0.44,8.2,17.205,12.68,4.645,1.88,2.885,13.285,13.205,103.7,107.85,-2.25
2017-18,2017-12-20,HEA,CEL,CEL,12.319,1.581,2.613,0.605,1.581,2.613,0.605,0.0,0.0,0.0,1.226,1.645,0.745,1.161,1.839,3.0,0.419,0.484,0.452,0.581,1.452,4.387,4.319,-2.677,0.657,0.605,0.0,0.469,8.619,17.41,13.005,4.662,1.867,2.995,13.833,13.39,103.905,107.905,-2.233
