SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2017-18,2017-10-18,76E,WIZ,WIZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-18,2017-10-20,76E,CEL,76E,17.335,3.5,7.0,0.5,3.5,7.0,0.5,0.0,0.0,0.0,2.0,3.0,0.667,1.5,3.5,5.0,2.5,1.0,0.5,0.5,1.5,9.0,9.2,1.5,0.541,0.5,0.0,0.286,8.8,18.3,13.8,20.8,2.7,1.8,5.7,20.6,124.0,110.0,4.8
2017-18,2017-10-21,76E,RAP,RAP,23.857,3.667,8.333,0.44,3.667,8.333,0.44,0.0,0.0,0.0,2.333,4.0,0.583,2.0,5.0,7.0,3.333,1.0,0.333,1.667,1.667,9.667,8.767,-1.333,0.479,0.44,0.0,0.28,7.95,20.2,13.9,21.3,2.0,0.9,14.2,20.25,103.0,105.5,1.05
2017-18,2017-10-23,76E,PIS,PIS,26.237,4.5,10.25,0.439,4.5,9.75,0.462,0.0,0.5,0.0,2.75,5.0,0.55,1.75,6.0,7.75,4.5,0.75,0.25,2.0,1.25,11.75,10.075,-6.0,0.472,0.439,0.049,0.268,6.233,24.0,14.467,31.667,1.333,0.6,13.9,22.667,100.333,110.333,1.633
2017-18,2017-10-25,76E,ROC,76E,27.71,5.2,10.4,0.5,5.2,10.0,0.52,0.0,0.4,0.0,3.2,5.2,0.615,1.8,6.8,8.6,5.6,0.8,0.2,2.4,1.4,13.6,12.8,-2.4,0.536,0.5,0.038,0.308,6.55,25.15,15.725,38.9,1.375,0.45,16.1,22.9,109.0,104.5,4.875
2017-18,2017-10-28,76E,MAV,MAV,28.77,5.5,11.5,0.478,5.5,11.0,0.5,0.0,0.5,0.0,2.667,4.667,0.571,1.833,6.5,8.333,6.167,1.167,0.333,2.667,1.5,13.667,12.7,-4.167,0.504,0.478,0.043,0.232,6.5,23.82,14.96,38.78,1.96,1.14,16.54,23.66,104.8,104.4,4.1
2017-18,2017-10-30,76E,ROC,ROC,29.464,6.143,12.0,0.512,6.143,11.571,0.531,0.0,0.429,0.0,2.714,4.571,0.594,1.857,6.286,8.143,6.429,1.429,0.429,2.429,1.714,15.0,14.614,-3.714,0.535,0.512,0.036,0.226,6.583,23.35,14.683,38.933,2.4,1.65,14.717,23.7,112.5,105.0,5.85
2017-18,2017-11-01,76E,HAW,76E,30.603,6.625,12.375,0.535,6.625,11.875,0.558,0.0,0.5,0.0,2.875,5.125,0.561,1.75,6.25,8.0,6.75,1.25,0.375,2.75,1.875,16.125,15.05,-2.0,0.551,0.535,0.04,0.232,6.2,22.1,14.086,38.443,2.057,1.414,15.6,24.2,112.714,105.857,5.186
2017-18,2017-11-03,76E,PAC,76E,30.924,6.778,12.778,0.53,6.778,12.222,0.555,0.0,0.556,0.0,2.889,5.222,0.553,2.0,6.556,8.556,7.0,1.333,0.333,2.889,1.889,16.444,15.467,-0.222,0.545,0.53,0.043,0.226,6.8,22.562,14.612,38.3,2.125,1.238,15.862,24.388,112.0,104.625,5.05
2017-18,2017-11-07,76E,JAZ,JAZ,31.685,6.6,12.8,0.516,6.6,12.3,0.537,0.0,0.5,0.0,3.0,5.1,0.588,2.0,6.8,8.8,7.4,1.4,0.6,3.1,2.0,16.2,15.58,1.0,0.538,0.516,0.039,0.234,6.678,22.767,14.678,37.878,2.156,1.7,16.911,24.033,111.333,104.111,4.722
2017-18,2017-11-09,76E,KIN,KIN,32.084,6.636,13.636,0.487,6.636,13.091,0.507,0.0,0.545,0.0,2.909,4.818,0.604,1.909,7.273,9.182,7.273,1.545,0.818,3.364,2.273,16.182,14.982,1.091,0.514,0.487,0.04,0.213,6.35,23.07,14.92,37.32,2.31,2.2,17.3,24.94,107.2,101.4,4.22
2017-18,2017-11-11,76E,WAR,WAR,31.65,6.583,13.167,0.5,6.583,12.667,0.52,0.0,0.5,0.0,3.167,5.083,0.623,1.75,6.833,8.583,7.167,1.583,0.75,3.417,2.5,16.333,14.967,1.333,0.53,0.5,0.038,0.241,5.773,21.609,13.882,37.636,2.418,2.0,18.073,24.845,108.909,101.636,4.4
2017-18,2017-11-13,76E,CLI,CLI,31.436,6.538,13.462,0.486,6.538,13.0,0.503,0.0,0.462,0.0,3.0,5.0,0.6,1.846,6.462,8.308,7.231,1.615,0.692,3.462,2.385,16.077,14.446,0.462,0.513,0.486,0.034,0.223,6.158,20.767,13.625,37.758,2.475,1.833,18.033,25.367,106.75,103.417,3.6
